Id|Description|Speaker|Text
ZeusWithAthena01|Zeus With Athena 01|Zeus|O proszę, Zagreusie, oto nadchodzi dzielna Atena, pierwsza spośród wszystkich moich krewnych, aby się z tobą skontaktować, w całej swej bystrości. Tak proaktywna, że skontaktowałaś się z Zagreusem, zanim nawet mi powiedziałaś, moja droga!
ZeusWithAthena01|Zeus With Athena 01|Athena|Lordzie Ojcze, gdybym tylko mogła załatwiać jeszcze więcej takich spraw szybko i dyskretnie, tak że tylko najważniejsze z nich wzniosłyby się do poziomu twojej uwagi. Chociaż jestem pewna, że Zagreus i ja jesteśmy bardzo wdzięczni, że zainterweniowałeś.
AresWithAthena01|Ares With Athena 01|Ares|Chciałem jedynie porozmawiać z tobą raz jeszcze na osobności, krewny mój, tylko że, widzisz...
AresWithAthena01|Ares With Athena 01|Athena|...Tylko że widzisz, drogi Kuzynie, niektórzy członkowie naszej rodziny predysponowani są do rzeczy nie do opisania. Ja tylko ostrzegam cię przed moim przyrodnim bratem. A teraz kontynuuj.
AresWithAthena01|Ares With Athena 01|Ares|Znowu mi przerywasz, droga siostro. Wiesz, że tego nie lubię. Ostrzegam cię, żebyś nie wsadzała nosa w moje sprawy. Będę pomagał krewnym tak, jak mi się podoba.
AresWithAthena01|Ares With Athena 01|Athena|Ty i tak robisz tylko to, co ci się podoba, Lordzie Aresie. Żebyś tylko zmierzał w tym samym kierunku, co my wszyscy.
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Musisz nam wybaczyć, mały bożku, znaczy się całej swej rozległej rodzinie tu na Olimpie! Niektórzy z nas są niezwykle zadufani w sobie i muszą wszystko komplikować bardziej niż to potrzebne.
AphroditeWithAthena01|Aphrodite With Athena 01|Athena|Zastanawiam się, najdroższa Afrodyto, czy byłabyś skłonna powtórzyć mi takie rzeczy prosto w twarz?
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Och, musisz doskonale zdawać sobie sprawę, że zrobiłabym z twoją twarzą o wiele więcej niż tylko to, droga Ateno! Szczerze mówiąc, sporo tam trzeba poprawić!
AphroditeWithAthena02|Aphrodite With Athena 02|Aphrodite|Najdroższy, musisz wiedzieć, że Bogini Atena i ja nie zawsze mamy wspólny punkt widzenia, być może dlatego, że ona nieustannie zbyt dużo myśli o pewnych sprawach, podczas gdy mnie prowadzi moje serce!
AphroditeWithAthena02|Aphrodite With Athena 02|Athena|Cieszę się zatem, że się rozumiemy. Byłoby to niezwykle zawstydzające, gdybyśmy zostały przyłapane na kłótni w obecności Zagreusa.
