Id|Description|Speaker|Text
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|{#DialogueItalicFormat}Mmmrrrrnnn{#PreviousFormat}....
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Zagreus|Wiesz, Charonie, twój wspólnik Hermes najwyraźniej założył się z tobą, że pokonam cię kiedyś dwa razy pod rząd? Nie chciałbym go rozczarować, więc... bez urazy?
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|{#DialogueItalicFormat}Nnnrrrraaaaaauuuhhhhhh{#PreviousFormat}!!
BossCharonEncounter01|Boss Charon Encounter 01|Charon|Haaahhhhh....
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|{#DialogueItalicFormat}Um{#PreviousFormat}, Charonie, słuchaj, mogę wyjaśnić. Po prostu przyzwyczaiłem się do zabierania rzeczy podróżując po królestwie mego ojca. Nie okradałem cię, szczerze!
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|To nie był odgłos zrozumienia. Moment, czemu potrząsasz swym wiosłem w taki złowieszczy sposób?
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Po prostu mnie sprawdzasz, racja, Charonie? Znaczy się, kiedy zostawiasz dużą sumę monet wyraźnie w moim zasięgu, to czego się po mnie spodziewasz?
BossCharonEncounter02|Boss Charon Encounter 02|Charon|Nrrnnhhh, hnnnn, hrrnn, {#DialogueItalicFormat}hrrrrrnnn{#PreviousFormat}...
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Brzmi dobrze, kolego, od tej pory, gdy będę cię okradał, to będzie jedynie mój sposób, na mówienie {#DialogueItalicFormat}Charonie, chciałbym teraz walczyć z tobą na śmierć i życie tak dla odmiany{#PreviousFormat}.
BossCharonMiscStart01|Boss Charon Misc Start 01|Charon|{#DialogueItalicFormat}Hrrrnnnggghh{#PreviousFormat}....
BossCharonMiscStart02|Boss Charon Misc Start 02|Charon|{#DialogueItalicFormat}Grrnrnhh, rrraahhh{#PreviousFormat}!
BossCharonMiscStart03|Boss Charon Misc Start 03|Charon|{#DialogueItalicFormat}Hrraaaahhhhhh{#PreviousFormat}!!
BossCharonMiscStart04|Boss Charon Misc Start 04|Charon|Hrrn... {#DialogueItalicFormat}grrraaauuuggghh{#PreviousFormat}!!
BossCharonMiscStart05|Boss Charon Misc Start 05|Charon|Rrnn... {#DialogueItalicFormat}hhrraaaauuuggghh{#PreviousFormat}!!
BossCharonMiscStart06|Boss Charon Misc Start 06|Charon|Grrr... {#DialogueItalicFormat}nrrraauuuggghhh{#PreviousFormat}!!
BossCharonMiscStart07|Boss Charon Misc Start 07|Charon|Urrh... {#DialogueItalicFormat}urraaauuuhhhhh{#PreviousFormat}!!
BossCharonMiscStart08|Boss Charon Misc Start 08|Charon|Krrr... {#DialogueItalicFormat}krraauuuhhhhh{#PreviousFormat}!!
BossCharonMiscStart09|Boss Charon Misc Start 09|Charon|Hhh, {#DialogueItalicFormat}hrreehhhhh{#PreviousFormat}!!
BossCharonOutro01|Boss Charon Outro 01|Charon|Haahh, nrrauhh, {#DialogueItalicFormat}haaaaah{#PreviousFormat}!!
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Zagreus|Mam cię, kolego! Dwa razy z rzędu. Myślę, że Hermes wygrywa ten wasz mały zakład. Przekaż mu, że powiedziałem {#DialogueItalicFormat}hrrrrrnnnggghh{#PreviousFormat}!
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Charon|{#DialogueItalicFormat}Hrrrrrnnnggghh{#PreviousFormat}...
CharonFirstMeeting|Charon First Meeting|Charon|Gguhhhhhh....
CharonFirstMeeting|Charon First Meeting|Zagreus|Cóż, miło cię widzieć, Charonie! Zajmuję się swoimi sprawami, napawam widokami i... hej, a co tam masz - jakieś towary na sprzedaż? W takim razie szybko się im przyjrzę.
CharonNoFastTravel01|Charon No Fast Travel 01|Zagreus|Erm, Charonie, kolego...? Pewnie nie przemyślałeś mojej propozycji, by... no wiesz... przewieść mnie promem na powierzchnię? Skoro to w sumie nie jest ci nie po drodze...
CharonNoFastTravel01|Charon No Fast Travel 01|Charon|{#DialogueItalicFormat}Rhhuuaaauuuuuhhhhh{#PreviousFormat}....
CharonShopMeeting02|Charon Shop Meeting 02|Zagreus|Hej, dobrze cię tu widzieć, kolego! I wygląda na to, że masz trochę ładnych towarów na sprzedaż, czyż nie?
CharonShopMeeting02|Charon Shop Meeting 02|Charon|Rhhuuuuggggghhhhhh....
CharonShopMeeting03|Charon Shop Meeting 03|Charon|Haaahhhhhhhhh....
CharonShopMeeting03|Charon Shop Meeting 03|Zagreus|I tobie również miłego dnia, kolego! A teraz rzućmy okiem na twoje towary, dobrze?
CharonShopMeeting04|Charon Shop Meeting 04|Zagreus|Musisz mieć sporo przystanków w tej okolicy, czyż nie, kolego Charonie? Większość umarłych znajduje się tutaj, w Asfodelu, racja?
CharonShopMeeting04|Charon Shop Meeting 04|Charon|Nnnnrrrrrhhh....
CharonShopMeeting05|Charon Shop Meeting 05|Zagreus|Hej, Charonie, jestem teraz w Asfodelu, prawda? Zawsze słyszałem, że było to jedno z tych kwiecistych miejsc w rodzaju łąki, a nie tak... przerażający piekielny krajobraz.
CharonShopMeeting05|Charon Shop Meeting 05|Charon|Hhhhaaaaaaahhh....
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Zagreus|Hej, Charonie. Jeśli za tymi drzwiami czai się na mnie coś naprawdę potwornego, to... daj mi jakiś znak, dobrze?
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Charon|Hhhaaaaaaahhh....
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Zagreus|Możesz mi podpowiedzieć jakiego rodzaju ohydny potwór czeka na mnie na kolejnej piekielnej wyspie, kolego Charonie?
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Charon|{#DialogueItalicFormat}Hheeehhhhhhh{#PreviousFormat}....
CharonHighRelationship01|Charon High Relationship 01|Zagreus|No popatrz tylko na siebie, kolego Charonie, dobrze wyglądasz! Coś się w tobie zmieniło, nie wiem dokładnie co. Zrobiłeś coś ze swoimi włosami?
CharonHighRelationship01|Charon High Relationship 01|Charon|{#DialogueItalicFormat}Urrraaauuhggghh{#PreviousFormat}...
