Id|Description|Speaker|Text
ZeusWithDemeter01|Duo - Zeus and Demeter (1)|Zeus|No no, młodzianie, cokolwiek słyszałeś o zacnej Demeter - ja mam zamiar oczyścić atmosferę. Jest dla mnie niczym siostra, tak, ale nic ponadto. Aczkolwiek zarówno jej rodziców Tytanów, jak i moich, spotkał ten sam los.
ZeusWithDemeter01|Duo - Zeus and Demeter (1)|Demeter|O proszę, Przyrodni Bracie Zeusie! Cóż za niespotykana szczerość z twojej strony. Zupełnie jakbyś czuł się zobowiązany mówić prawdę wyłącznie wtedy, gdy jestem w zasięgu słuchu.
AresWithDemeter01|Duo - Ares and Demeter (1)|Ares|Chłód śmierci przystoi Bogini Demeter, nie uważasz tak, mój zadający śmierć krewny? A ona się do niej coraz bardziej przyzwyczaja.
AresWithDemeter01|Duo - Ares and Demeter (1)|Demeter|Myślę, że się pan zapomina, Lordzie Aresie. Jako że jestem starsza wiekiem; moje głodowe klęski zgładziły dziesiątki tysięcy śmiertelnych, zanim jeszcze myśli o tego typu rzeczach przyszły ci do głowy.
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Artemis|O, cześć, Zagreusie, właśnie nie udawało mi się przekonać Pani Demeter, aby złagodziła śnieżną ciągłość, którą doświadczamy już jakiś czas. Niektórzy ze śmiertelnych są już nią całkiem zmęczeni, a z pewnością nie ułatwia to wcale polowania!
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Demeter|Śmiertelni są zaradni, Artemido. To chyba ich jedyna zaleta! Poradzą sobie z naszą długą zimą. Muszą - w końcu sami ją na siebie sprowadzili.
AphroditeWithDemeter01|Duo - Aphrodite and Demeter (1)|Aphrodite|Sędziwa bogini pór roku, Demeter, wybiera, by wyglądać tak dostojnie, jak się tylko da, jesteś w stanie w to uwierzyć, najdroższy? Choć czemu ktoś chciałby naznaczyć swoją twarz tak widocznymi liniami, tego nie wiem.
AphroditeWithDemeter01|Duo - Aphrodite and Demeter (1)|Demeter|Och, droga Afrodyto, nie rozpoznałabyś istoty sprawy nawet gdyby przeszła obok ciebie. Oblicze, które pokazujesz, nie pozostawia wątpliwości w kwestii twoich celów i zainteresowań.
DionysusWithDemeter01|Duo - Dionysus and Demeter (1)|Dionysus|Hej Zag, chciałem cię prosić o przysługę - czy mógłbyś może przekonać Panią Demeter, aby wyluzowała z tym całym przedsięwzięciem *"nie pozwolę, by cokolwiek rosło" *, którego to się podjęła?
DionysusWithDemeter01|Duo - Dionysus and Demeter (1)|Demeter|Śmiem twierdzić, mój Lordzie Dionizosie, że spożywanie mniejszej ilości wina przez pewien czas może ci dobrze zrobić. W każdym razie, nie wyłudzisz ode mnie lepszej sadzonki.
AthenaWithDemeter01|Duo - Athena and Demeter (1)|Athena|Oto przyprowadzam do ciebie Panią Demeter, Kuzynie. Poprosiłam ją, aby była spokojna o to, że mamy wszystko pod kontrolą. Aczkolwiek w swym nieskończonym współczuciu i tak przyłączyła się do twej sprawy!
AthenaWithDemeter01|Duo - Athena and Demeter (1)|Demeter|Och, nie musisz mnie obdarowywać swoimi wątłymi pochwałami, droga Ateno. Spodziewałam się, że ktoś o tak bezgranicznej inteligencji jak ty domyśli się, że widzę twoje motywy jak na dłoni.
