Id|Description|Speaker|Text
DusaFirstMeeting|Dusa First Meeting|Dusa|{#DialogueItalicFormat}Och{#PreviousFormat}! Książę we własnej osobie, ty... chcesz rozmawiać ze mną...? Ze mną?! O, łał, {#DialogueItalicFormat}o łał!!{#PreviousFormat}
DusaFirstMeeting|Dusa First Meeting|Zagreus|Ja, tylko, chciałem powiedzieć, że salon wygląda wspaniale - jak nowy. Nawet lepiej! Mam nadzieję, że naprawa nie nastręczyła zbyt wielu kłopotów.
DusaFirstMeeting|Dusa First Meeting|Dusa|M-m-m-m, {#DialogueItalicFormat}aach{#PreviousFormat}, muszę posprzątać krokwie, m...!
DusaMiscMeeting02|Dusa Misc Meeting 02|Dusa|Ja, um... mam nadzieję, że miło tu spędzasz czas! Nawet jeśli nie chcesz już tu więcej mieszkać, Wasza Wysokość!
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Zagreus|{#DialogueItalicFormat}Umm{#PreviousFormat}, Duzo? Okazuje się, że mogę tu wracać od czasu do czasu, tak jak teraz. Ale proszę, nie kłopocz się ze sprzątaniem mojego pokoju. Nie będę zostawał na długo.
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Dusa|Och, {#DialogueItalicFormat}hahaha{#PreviousFormat}, pewnie! Ale po prostu będę mieć tam na wszystko oko, od czasu do czasu, w razie gdybyś zmienił zdanie. Um... więc, do widzenia!
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|{#DialogueItalicFormat}Umm{#PreviousFormat}, Książę? Twój ojciec, ja, ja... myślę, że jest teraz porządnie wściekły z jakiegoś powodu, więc może lepiej byłoby zejść mu z drogi? Albo... mogę mu powiedzieć, że cię tu nie ma?
DusaMiscMeeting03|Dusa Misc Meeting 03|Zagreus|W porządku, Duzo. Nie boję się go i ty również nie powinnaś. Jesteś najlepszym pomocnikiem, jakiego kiedykolwiek znalazł.
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|Tylko, {#DialogueItalicFormat}ach{#PreviousFormat}, tylko wykonuję swoją pracę, Książę...!
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|Och, {#DialogueItalicFormat}um{#PreviousFormat}, więc - witaj Książę! A zatem, czy jest coś, w czym mogę ci pomóc, albo może coś jeszcze posprzątać, albo, no nie wiem, może chcesz się czegoś napić? Od czasu do czasu?
DusaMiscMeeting04|Dusa Misc Meeting 04|Zagreus|{#DialogueItalicFormat}Och{#PreviousFormat}! Drink od czasu do czasu brzmi wspaniale, Duzo, być może jutro, zakładając, że do tego czasu się stąd nie wydostanę...?
