Id|Description|Speaker|Text
OrpheusWithEurydice01|Orpheus With Eurydice 01|Orpheus|Cóż, Zagreusie, jakże wspaniale cię tu widzieć. Wraz z Eurydyką nadrabialiśmy zaległości za cały ten czas, który spędziliśmy osobno.
OrpheusWithEurydice01|Orpheus With Eurydice 01|Eurydice|Tak. A zatem, czy mógłbyś nam wybaczyć na krótką chwilę, skarbie? Jeszcze nie skończyłam nadrabiać. Ale najpierw, zanim pójdziesz!
OrpheusWithEurydice02|Orpheus With Eurydice 02|Zagreus|Nigdy nie słyszałem czegoś takiego. Chociaż brzmicie doskonale, gdy śpiewacie osobno, razem jesteście absolutnie cudowni.
OrpheusWithEurydice02|Orpheus With Eurydice 02|Orpheus|Wspaniały komplement, mój przyjacielu. Niewątpliwie to same Mojry uknuły, byśmy wraz z Eurydyką się spotkali i wspólnie śpiewali. Zakochali się. A później zostali okrutnie rozdzieleni na pewien czas!
OrpheusWithEurydice02|Orpheus With Eurydice 02|Eurydice|No no, tylko nie zaczynaj z tym znowu, jasne, Orfi? Mamy przed sobą całe życie pośmiertne! I mnóstwo pieśni do nadrobienia.
OrpheusWithEurydice02|Orpheus With Eurydice 02|Orpheus|Cóż, oczywiście masz rację, moja droga. Wybaczysz nam, Zagreusie? Nasze powołanie wzywa.
OrpheusWithEurydice03|Orpheus With Eurydice 03|Zagreus|Hej, wy dwoje, jak tam leci ostatnio? Znów ze sobą rozmawiacie? Lub też śpiewacie?
OrpheusWithEurydice03|Orpheus With Eurydice 03|Orpheus|Och, wszystko układa się niezwykle cudownie, mój przyjacielu. Nigdy nie myślałem, że ponownie ujrzę Eurydykę po tym, jak...
OrpheusWithEurydice03|Orpheus With Eurydice 03|Eurydice|Orfi po prostu nie potrafi się zamknąć, jeżeli chodzi o tamten raz, skarbie. Ale robimy postępy. Dzięki, że przyczyniłeś się do jego wizyty. Jestem pewna, że potrzebował sporo zachęty.
OrpheusWithEurydiceMiscChat01|Orpheus With Eurydice Misc Chat 01|Eurydice|Hej, miło z twojej strony, że nas odwiedzasz, Wasza Królewska Mość! Dla ciebie!
OrpheusWithEurydiceMiscChat02|Orpheus With Eurydice Misc Chat 02|Eurydice|Orfi i ja mamy się dobrze, dzięki tobie. Trzymaj się, skarbie!
OrpheusWithEurydiceMiscChat03|Orpheus With Eurydice Misc Chat 03|Eurydice|Mam nadzieję, że również znajdziesz sobie kogoś do wspólnego śpiewania, skarbie.
OrpheusWithEurydiceMiscChat04|Orpheus With Eurydice Misc Chat 04|Eurydice|Nie martw się, Wasza Wysokość, odstawię go z powrotem do pracy na czas, słyszysz to, Orfi?
OrpheusWithEurydiceMiscChat05|Orpheus With Eurydice Misc Chat 05|Eurydice|Orfi i ja jesteśmy niczym typowe stare małżeństwo, skarbie.
OrpheusWithEurydiceMiscChat06|Orpheus With Eurydice Misc Chat 06|Eurydice|Jeśli odnajdziesz tam szczęście, skarbie, nie oglądaj się.
OrpheusWithEurydiceMiscChat07|Orpheus With Eurydice Misc Chat 07|Eurydice|Nie jest tu tak źle, skarbie. Mam nadzieję, że u ciebie również.
OrpheusWithEurydiceMiscChat08|Orpheus With Eurydice Misc Chat 08|Eurydice|Cóż mogę rzec, skarbie. Lubimy ćwiczyć nasz ulubiony kawałek!
OrpheusWithEurydiceMiscChat09|Orpheus With Eurydice Misc Chat 09|Eurydice|A któż by inny, jak nie dzieciak Hadesa złożył nam obojgu wizytę!
OrpheusWithEurydiceMiscChat18|Orpheus With Eurydice Misc Chat 18|Eurydice|Zgadnij co ostatnio robiliśmy, skarbie? A teraz, wybaczysz nam?
OrpheusWithEurydiceMiscChat19|Orpheus With Eurydice Misc Chat 19|Eurydice|Właśnie skończyliśmy jeść! Mnóstwo nam zostało.
OrpheusWithEurydiceMiscChat20|Orpheus With Eurydice Misc Chat 20|Eurydice|Jedyną rzeczą, która jest lepsza niż śpiew, skarbie, to śpiew z osobą, którą kochasz.
OrpheusWithEurydiceMiscChat21|Orpheus With Eurydice Misc Chat 21|Eurydice|Orfi właśnie ćwiczy przed swoim następnym występem dla Hadesa Seniora!
OrpheusWithEurydiceMiscChat22|Orpheus With Eurydice Misc Chat 22|Eurydice|Kto by pomyślał, właśnie byliśmy zajęci śpiewaniem, skarbie!
OrpheusWithEurydiceMiscChat23|Orpheus With Eurydice Misc Chat 23|Eurydice|Nie miałam wiele szczęścia w próbach nauczenia Orfiego jak się gotuje, ale śpiewać to on umie, o tak!
OrpheusWithEurydiceMiscChat24|Orpheus With Eurydice Misc Chat 24|Eurydice|Spójrz, Orfi, mamy widownię! A zatem śpiewaj z głębi serca!
