Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...Spędziłam wiele dni pielęgnując ten ogród... albo nocy? Dość ciężko określić tu czas. Ale przetrwał dłużej, niż bym się tego mogła spodziewać...
Ending01|Ending 01|Hades|... Persefono... ja...
Ending01|Ending 01|Persephone|Cerber! Tak bardzo za tobą tęskniłam! Obowiązkowy jak zawsze, czyż nie?
Ending01|Ending 01|Hades|... Przepraszam. Wiedz, że przepraszam.
Ending01|Ending 01|Persephone|Hadesie... wyglądasz na zmęczonego. Choć to nie tylko mnie należą się przeprosiny.
Ending01|Ending 01|Hades|Wiem. Wiem, ja.... Dlaczego wróciłaś? Jeśli Olimp... jeśli twoja matka odkryje, co się stało, to nawet Zeus, nawet {#DialogueItalicFormat}on {#PreviousFormat} nie byłby w stanie powstrzymać tego, co mogłoby się tutaj wydarzyć!
Ending01|Ending 01|Persephone|{#DialogueItalicFormat}Och{#PreviousFormat}, mam pomysł lub dwa na to, jak możemy się tym zająć. Ale ty i Zagreus musicie pomóc mi w kwestii rozwiązania tej sprawy. Albo, jeśli wolisz, może powrócę tam, skąd przybyłam?
Ending01|Ending 01|Hades|Rozwiązania? Co, zamierzasz rozdać im wszystkim {#DialogueItalicFormat}Ambrozje{#PreviousFormat}? Nawet ty nie możesz naprawić zepsutej rodziny, Persefono.
Ending01|Ending 01|Persephone|Masz rację, Hadesie! Nie mogę. A na pewno nie sama. A zatem pomożesz mi, czy co?
Ending01|Ending 01|Hades|...Zrobię wszystko, o co mnie poprosisz.
Ending01|Ending 01|Persephone|A zatem, najpierw porozmawiaj ze swoim synem.
Ending01|Ending 01|Hades|...{#DialogueItalicFormat}Mm{#PreviousFormat}. Zagreusie? Poznałeś już Persefonę, naszą Królową. Oczekuję, że będziesz okazywał jej szacunek, zawsze!
Ending01|Ending 01|Zagreus|Łał, Ojcze, nazwałeś mnie po imieniu! Cóż to za dziwne doznanie, które odczuwam? Być może to ten {#DialogueItalicFormat}szacunek{#PreviousFormat}, o którym mówisz?
Ending01|Ending 01|Persephone|Och, przestańcie, oboje. Nie każ mi tego żałować, Hadesie. Porozmawiaj z nim szczerze. O sobie, nie o mnie. No dalej.
Ending01|Ending 01|Hades|Tak. Ja... Zagreusie. Wiem, że były czasy... kiedy pozwoliłem moim nastrojom odbijać się na tobie. Okazywałem bardzo mało cierpliwości. Podważałem twoje zdanie, często, gdy moje było błędne. Zatem, przepraszam cię, mój synu. Nie mam żadnych wymówek. I nie proszę o wybaczenie.
Ending01|Ending 01|Zagreus|A co z tym, kiedy kłamałeś na temat Matki, przepraszasz też za to? Twoje głupie nastroje i kierowanie ich na mnie... już dawno nauczyłem się tego po tobie spodziewać. I żywiłem do ciebie z tego powodu urazę. Ale zawsze myślałem... że jesteś uczciwy.
Ending01|Ending 01|Hades|Twoja matka nie przybyła tu dobrowolnie, kiedy się pierwszy raz poznaliśmy. Kiedy odeszła... wierzyła, że urodziłeś się martwy... jej decyzja była ostateczna. Wierzyłem, że będzie jej lepiej bez większości z nas, wliczając Olimp. Oszukiwanie was obojga... rozrywało mnie wewnętrznie. Ale musiało tak być.
Ending01|Ending 01|Zagreus|Cóż, nie musiałeś kierować na mnie tych swoich wewnętrznych zmagań przez całe moje życie. Chociaż, myślę, że rozumiem. Żałuję tylko, że nie mogłem zrozumieć wcześniej. A zatem, uch... co teraz? Przyzwyczaiłem się do plądrowania twojego królestwa, chyba naprawdę będę za tym tęsknić.
Ending01|Ending 01|Hades|Odnośnie tego... twoje {#DialogueItalicFormat}plądrowanie {#PreviousFormat}ujawniło wiele wad w naszych zabezpieczeniach. Takich, które nigdy nie trafiają do raportów. Nasza reputacja opiera się na tym, że nie ma stąd ucieczki. Czy mógłbyś... nadal próbować się uwolnić? Nie dla mojego dobra. Ale dla tego królestwa. Dla Królowej.
Ending01|Ending 01|Persephone|Zagreusie... jeśli wciąż będziesz walczył tam w terenie... pomoże to zachować pozory, że wszystko jest jak zawsze.
Ending01|Ending 01|Zagreus|Pytanie, Ojcze. Powiedzmy, że się zgodzę. Kiedy znów dotrę na powierzchnię... czy to nadal ty będziesz tam na mnie czekał?
Ending01|Ending 01|Hades|Ach, chłopcze. Jeśli choć przez chwilę myślałeś, że z powodu tej całej sytuacji będzie ci lżej, to wkrótce przekonasz się, że wprost przeciwnie.
Ending01|Ending 01|Zagreus|A zatem, po prostu walczę, aby dostać się na powierzchnię i raz za razem zabijam swojego ojca, tak?
Ending01|Ending 01|Hades|Prawie masz rację!
Ending01|Ending 01|Persephone|Być może zajmiesz się również moją mała chatką, gdy będziesz już w okolicy? Ogrodowi wcale wiele nie potrzeba. Chciałabym utrzymać to miejsce w przyzwoitym stanie. W razie gdybym nie mogła tego znosić zbyt długo.
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}Hahaha{#PreviousFormat}, cóż! Myślę, że zobaczę, co mogę zrobić.
Ending01|Ending 01|Persephone|Po prostu daj z siebie wszystko. I najwyraźniej ja również mam pracę do wykonania. Powiedziałabym, że sporo jej przed sobą mamy. A zatem, może zaczniemy?
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}Po tym całym czasie{#PreviousFormat}, to było tylko kilka dni! Ale jedne z tych lepszych. Matka i Ojciec znów razem, zawarłem kilka nowych przyjaźni, zdobyłem ten ładny obraz! Łatwizna. Wszystko w porządku w Podziemiach!
LordHadesAboutPersephoneMeeting01|Lord Hades About Persephone Meeting 01|Hades|Teraz już wiesz, że nawet jeśli zdołasz mnie pokonać, to wkrótce potem zginiesz i tak! A mimo to nadal to robisz! Całkowicie bezsensowne.
LordHadesAboutPersephoneMeeting01|Lord Hades About Persephone Meeting 01|Zagreus|Odnalazłem ją, Ojcze. I będę odnajdywał Matkę ponownie. I ponownie, i ponownie, aż dostanę pewne odpowiedzi, wreszcie. Ona również chciałaby dostać pewne odpowiedzi, zaczynając od {#DialogueItalicFormat}czemu jej nigdy nie powiedziałeś, że żyję{#PreviousFormat}? Pozwoliłeś jej odejść i pozostawiłeś ją z jej żalem!
LordHadesAboutPersephoneMeeting01|Lord Hades About Persephone Meeting 01|Hades|{#DialogueItalicFormat}Zamilcz{#PreviousFormat}, chłopcze! Daruj sobie te wszystkie ignoranckie i bezpodstawne oskarżenia. Wydajesz się być niezdolny do zważania na moją prośbę, aby nie paplać o sprawie, której nigdy nie zrozumiesz. A zatem, zachowam energię na tę walkę!
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Hades|Nigdy nie powinieneś był żyć. Potrzeba było całej siły Nyks, aby zapobiec temu, co powinno się niechybnie wydarzyć. A teraz nie jesteś w stanie pozostać martwy. Takie to gorzkie poczucie humoru mają Mojry.
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Zagreus|Nyks uratowała mnie... Więc według Mojr nigdy nie powinienem był się urodzić, jako że ani ty, ani Matka nie jesteście z Podziemi, coś w tym stylu? A może to było tylko kolejne kłamstwo, które powiedziałaś, Matce i komukolwiek innemu?
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Hades|{#DialogueItalicFormat}Bah! {#PreviousFormat}Myślisz, że wszystko jest kłamstwem. To królestwo pod naszymi stopami zostało mi wyznaczone pod pewnymi warunkami, nie żebym miał duży wybór. Wśród nich: jeden mieszkaniec z powierzchni, taki ktoś jak ja, nigdy nie miał mieć dziedzica.
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Zagreus|Wierzyłeś w to? Więc dlaczego i tak podjąłeś próbę posiadania dziecka?
