Id|Description|Speaker|Text
HermesSecondPickUp|Hermes Second Pick Up|Hermes|Jak leci, Kuzynku? Mogę do ciebie mówić Kuzynku? Mam tu dla ciebie coś, co powinno mocno przyspieszyć twoje walki na śmierć i życie!
HermesExpectingZeus01|Hermes Expecting Zeus 01|Hermes|Wybacz, szefie, mój tatuś miał pilne sprawy do załatwienia. Ale ja tu jestem! Przekazuję ci tę wiadomość, a także to.
HermesExpectingPoseidon01|Hermes Expecting Poseidon 01|Hermes|Jestem tu, aby przekazać, że Posejdon jest już w drodze, szefie. Czasem jest nieco powolny. Ale już wkrótce spotkasz się z nim ponownie!
HermesExpectingAthena01|Hermes Expecting Athena 01|Hermes|Spodziewasz się kogoś innego, szefie? Być może mojej pewnej przyrodniej siostry? Cóż, ciężka sprawa, dotarłem tu pierwszy. Chcesz coś z tego czy nie?
HermesExpectingAres01|Hermes Expecting Ares 01|Hermes|Jak tylko się dowiedziałem, że chcesz się zobaczyć z Aresem, szefie, dotarłem tu najszybciej, jak mogłem! On mnie nigdy nie prześcignie. A tym bardziej w tej jego zbroi.
HermesExpectingAphrodite01|Hermes Expecting Aphrodite 01|Hermes|Afrodyta wspomniała, że się odrobinę spóźni, Kuzynku, choć z pewnością to rozumiesz. A poza tym, ja tu jestem! A przynajmniej duchem.
HermesExpectingArtemis01|Hermes Expecting Artemis 01|Hermes|Chciałem dać ci znać, że moja siostra Artemida cię szuka. Powinieneś już niedługo spotkać ją w którejś komnacie!
HermesExpectingDionysus01|Hermes Expecting Dionysus 01|Hermes|Obawiam się, że Dionizos nie mógł się tu zjawić, szefie. Choć punktualność nigdy nie była jedną z jego mocniejszych stron.
HermesExpectingDemeter01|Hermes Expecting Demeter 01|Hermes|Ten chłód, którego spodziewałeś się w powietrzu, to nie była tym razem Demeter, szefie. Nie, to tylko ja pędzący do ciebie na jednej nodze. Myślę, że wywołuje to małą, przyjemną bryzę!
HermesBeatCharonQuestComplete|Hermes Beat Charon Quest Complete|Hermes|Udało ci się to, Kuzynku! I przez {#DialogueItalicFormat}to {#PreviousFormat}mam na myśli akt pokonania mojego pozornie niezniszczalnego wspólnika-przewoźnika, który uważa się za całkiem twardego pośród bóstw Podziemi! Nie był pewien, czy masz to w sobie i jeśli mogę być na tyle śmiały, to ja również nie byłem!
HermesAboutPlume02|Hermes About Plume 02|Hermes|Hej, wygląda na to, że dość dobrze wykorzystujesz to wymyślne pióro! Trzymaj tak dalej, a może pewnego dnia będziesz choć w połowie tak szybki jak ja!
HermesAboutSkelly01|Hermes About Skelly 01|Hermes|Mam sokole oko, szefie, więc zauważyłem, że posiadasz pewien ząb, który ze sobą nosisz. Wiem, że jesteś z krainy umarłych i w ogóle, ale czy nie uważasz, że to jest trochę dziwne?
HermesAboutPersephoneMeeting01|Hermes About Persephone Meeting 01|Hermes|Słyszałem, że w końcu się stamtąd wydostałeś, Kuzynku! Wielkie gratulacje z tego powodu: Winszuję! Ten sekret jest u mnie bezpieczny, rzecz jasna! Pozostali tutaj myślą, że nadal próbujesz. Chociaż, jak sądzę, próbujesz!
HermesPostEnding01|Hermes Post Ending 01|Hermes|Słyszałem, że pewien osobnik wrócił z tobą tam na dół do domu, Kuzynku! Powiedziałbym, że to wspaniała nowina, z wyjątkiem tego, że to {#DialogueItalicFormat}nie jest {#PreviousFormat}nowina, przynajmniej jeszcze nie! Ale jeśli nadejdzie taki czas, że chciałbyś o tym rozpowiedzieć, to po prostu daj mi znać!
HermesPostEnding01|Hermes Post Ending 01|Hermes|A zatem, {#DialogueItalicFormat}ty {#PreviousFormat}możesz się stamtąd wydostawać raz za razem, żeby {#DialogueItalicFormat}twój ojciec {#PreviousFormat}mógł wymyślać kolejne sposoby na jeszcze większe utrudnianie potencjalnej ucieczki? Coś w tym stylu? Brzmi jak ciekawy obowiązek, Kuzynku!
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Zagreus|Tym razem to ja będę posłańcem. W imię Hadesa! Olimpie, to jest oficjalna wiadomość! Lordzie Hermesie? Przybyłem tu tak szybko, jak mogłem.
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Hermes|O, wygląda na to, że tym razem masz wiadomość dla {#DialogueItalicFormat}mnie{#PreviousFormat}, wyjątkowa sytuacja, czyż nie, szefie? Pewnego rodzaju zaproszenie z tego co widzę. Jesteś pewien, że powinienem to mieć, skoro nie jestem oficjalnie zaangażowany?
HermesPostEpilogue01|Hermes Post Epilogue 01|Hermes|Muszę ci przyznać, Kuzynku, że to była prawdziwa uczta tam u ciebie! Trochę niezręcznie jest udawać, że dopiero co się poznaliśmy, ale hej, jestem bogiem Olimpu! Co oznacza, że mogę udawać pośród najlepszych. Dobry ubaw, Kuzynku! Cieszę się, że wszystko się udało.
HermesExpectingMiscOlympian01|Hermes Expecting Misc Olympian 01|Hermes|Obawiam się, że bóg Olimpu, którego się spodziewałeś, nie mógł się tu pojawić, gdyż ja jestem o wiele szybszy, szefie!
HermesExpectingMiscOlympian02|Hermes Expecting Misc Olympian 02|Hermes|Być może spodziewałeś się kogoś innego, szefie. Ale zwyczajnie nie mogłem się powstrzymać, aby tego kogoś tym razem prześcignąć!
HermesExpectingMiscOlympian03|Hermes Expecting Misc Olympian 03|Hermes|Przybyłem tu tak szybko, jak mogłem, Kuzynku. Co najwyraźniej sprawia, że jestem nieco szybciej od moich krewnych!
HermesExpectingMiscOlympian04|Hermes Expecting Misc Olympian 04|Hermes|Jestem pewien, że ten upominek, który ze sobą masz, już niedługo się przyda, szefie!
HermesExpectingMiscOlympian05|Hermes Expecting Misc Olympian 05|Hermes|Moi krewni zazwyczaj całkiem szybko przybywają na wezwanie kogoś, kto nosi ich upominki. Hm!
HermesExpectingMiscOlympian06|Hermes Expecting Misc Olympian 06|Hermes|Może i nie jestem bogiem, którego w tym momencie oczekujesz, szefie, ale sprawię, że popędzisz na to spotkanie w mgnieniu oka!
HermesAboutZeus01|Hermes About Zeus 01|Hermes|Kontaktował się już z tobą mój tatko, co, Kuzynku? Wspaniały facet. Nie spędzamy razem jednak zbyt wiele czasu! Wiesz, jak jest. Cóż, do zobaczenia!
HermesAboutZeus02|Hermes About Zeus 02|Hermes|Wiesz, Kuzynku, mój tatko nigdy nie daje mi swoich piorunujących błogosławieństw! Jest bardzo zaangażowany w to, co się z tobą dzieje, czyż nie?
HermesAboutPoseidon01|Hermes About Poseidon 01|Hermes|Chcę ci coś, szefie, powiedzieć. Powodem, dla którego Wuj Posejdon dotarł do ciebie przede mną jest to, że mu na to pozwoliłem. Odnosi on wrażenie, że jest dziarski jak zawsze! {#DialogueItalicFormat}Ha!{#PreviousFormat}
