Id|Description|Speaker|Text
HypnosFirstMeeting|Hypnos First Meeting|Hypnos|Witaj w Domu Hadesa, w którym... hej, chwila, ja cię znam - to znaczy, że musiałeś tam gdzieś zginąć, co? Cóż, nie smuć się - praktycznie każdy kiedyś umiera!
HypnosMiscMeeting01|Hypnos Misc Meeting 01|Hypnos|Och! Cześć. Zapytałbym cię, jak poszło, ale skoro znowu się tu pojawiasz, to zdaje się, że już wiem, co? Och cóż, po prostu wejdź!
HypnosMiscMeeting02|Hypnos Misc Meeting 02|Hypnos|O, dobrze, już wróciłeś, co? Kilkoro z nas założyło się, jak długo tam wytrzymasz, a ja po prostu {#DialogueItalicFormat}wiedziałem{#PreviousFormat}, że wrócisz w {#DialogueItalicFormat}mgnieniu oka{#PreviousFormat}!
HypnosMiscMeeting03|Hypnos Misc Meeting 03|Hypnos|O, cześć! {#DialogueItalicFormat}Um{#PreviousFormat}, witaj w domu! Ponownie! Idź wprost przed siebie! Wydaje mi się, że twój tata jest o coś zły.
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Hypnos|Łał, zginąłeś już co najmniej {#DialogueItalicFormat}pięć razy{#PreviousFormat}, tak myślę? Umieranie jest dobre dla całego tutejszego ekosystemu, także, uch, dzięki! Pomagasz uczynić Podziemia lepszym miejscem!
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Zagreus|Świetnie! Po prostu umierać raz po raz i wszystko będzie dobrze.
HypnosMiscMeeting05|Hypnos Misc Meeting 05|Hypnos|Fajnie tak patrzeć na Zlewisko Styksu, wiesz? Te fale we krwi i w ogóle, a czasem ktoś z niego wyskoczy, jak ty! Personel Domu i honorowi goście, nikt więcej. Wpisuję ich na listę i upewniam się, że mają miły pobyt!
HypnosMiscMeeting06|Hypnos Misc Meeting 06|Hypnos|{#DialogueItalicFormat}Oooch{#PreviousFormat}, udało ci się tym razem dotrzeć aż do Asfodelu, bardzo fajnie! Co prawda i tak zginąłeś, ale nie tak szybko jak kiedyś, więc w sumie jest to jakiś postęp, racja?
HypnosRunProgress01_A|Hypnos Run Progress A 01|Hypnos|Hej, łał, udało ci się! Zgodnie z moją listą, umarłeś jakieś pięćdziesiąt razy, {#DialogueItalicFormat}co najmniej{#PreviousFormat}! To więcej niż ktokolwiek tutaj, tak myślę!
HypnosRunProgress01|Hypnos Run Progress 01|Hypnos|Hej, pozwól, że pierwszy to powiem: {#DialogueItalicFormat}Gratulacje{#PreviousFormat}! Zginąłeś już sto razy odkąd pilnuję wyników. Odkąd zacząłem to zliczać. Nie żeby była jakaś nagroda czy coś, ale w sumie podróż jest nagrodą samą w sobie, czy coś takiego, racja?
HypnosRunProgress02|Hypnos Run Progress 02|Hypnos|Nie uwierzysz w to, jesteś gotowy? Trzy... setki... {#DialogueItalicFormat}razy{#PreviousFormat}!! Tak jest! Umarłeś trzysta razy! To niczym... więcej niż cała wioska za sprawą trzęsienia ziemi!
