Id|Description|Speaker|Text
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Meg. *Och*. Nie spodziewałem się towarzystwa. Czy po prostu sobie tutaj węszysz czy... jest coś, w czym mogę ci pomóc?
MegaeraBedroom01|Megaera Bedroom 01|Megaera|...Właśnie wychodziłam, Zagreusie. Byłem po prostu w okolicy - wcale nie dzięki tobie - i pomyślałam, że zabiorę ostatnie z moich rzeczy. Muszę przyznać, że naprawdę piekielnie zaniedbałeś to miejsce.
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|...Wyszła. Świetnie. Wspaniale! Zdaje się, że w takim razie wrócimy do ciągłego zabijania się nawzajem.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Znowu czegoś zapomniałaś z mojej komnaty sypialnej, co, Meg?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Nie. Musimy porozmawiać, po raz kolejny. Teraz w to wszystko zaangażowały się moje siostry. Naprawdę wywołałeś spory zamęt.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Przykro mi. Moja matka gdzieś tam jest. Nie spocznę, dopóki jej nie znajdę. Nie zrozumiałabyś.
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Nie wiesz tego. Chodzi mi o to, że... zaangażowanie moich sióstr wiele zmienia. Zdejmuje ze mnie część presji.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|O co ci chodzi?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Chodzi mi o to, że... wiem, że musisz odnaleźć swoją matkę, Zagreusie. Mam swoją rolę do odegrania w tym wszystkim, ale zobaczmy, co jestem w stanie dla ciebie zrobić, jeżeli w ogóle jest coś takiego.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Meg...! Ona... *ach*.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Wiem. Przykro mi. Ale to jest coś, co muszę zrobić. Nie zrozumiałabyś.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Część presji... czekaj, co masz zamiar zrobić?
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|Chodzi mi o to, że... wiem, że robisz to, co musisz zrobić, Zagreusie. Moje siostry i ja zawsze będziemy próbować cię powstrzymać. Ale ja robię to tylko dlatego, że muszę. Rozumiesz?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Meg... co za niespodzianka. Znowu. O co chodzi? ...Co się stało? Czekaj. Dlaczego tak na mnie patrzysz?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Zagreusie, czy mógłbyś się wreszcie zamknąć, przestać zadawać te swoje idiotyczne pytania i podejść tutaj? Teraz.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Ja... ty naprawdę... och...
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Myślałem, że nigdy nie zapytasz. Ale cieszy mnie, że tak się stało.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Um, Meg, ja... chodzi mi o to, czy ty... czy między nami wszystko w porządku, czy...?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Przestań się przy mnie tak niepewnie zachowywać, Zag. Za ten czas powinieneś mnie już lepiej znać. Ale tak, jeśli musisz wiedzieć... myślę, że między nami jest w porządku. Ale jeśli powiesz o tym żywej duszy albo nawet umarłej, to cię zabiję, rozumiesz?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Ja... absolutnie, Meg, tak, rozumiem. A zatem... co teraz?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Co teraz? Pewnie zobaczymy się na granicy Tartaru. A może tutaj. Tak długo, jak będziemy to kontynuować.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Tak długo, jak będziemy to kontynuować?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Zadajesz zbyt wiele pytań, Zag. Nie mam na nie odpowiedzi, a poza tym: Wiesz więcej o życiu chwilą niż ja. Do zobaczenia.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Do zobaczenia! ...Tak.
Text|Text|Zagreus|...Ja... Meg, to mi naprawdę schlebia i jesteś mi bardzo bliska, ale... to nie tego oczekuję od naszej relacji. Obawiam się, że musiałem cię zwieść. Wybacz mi. Proszę, powiedz, że nadal będziesz moją przyjaciółką?
Text|Text|Megaera|...Naprawdę tego pragniesz...? Aby być moim przyjacielem? *Heh. *Ciężko cię czasami rozgryźć, Zag. Ale wiesz co, próbowaliśmy różnych rzeczy. Czemu mielibyśmy nie spróbować tego, co proponujesz? A zatem, widzimy się w terenie.
Text|Text|Megaera|...Jesteś pewien? Słuchaj, ja... to naprawdę w porządku. Widzimy się zatem w terenie.
Text|Text|Zagreus|...Tak. Czasami muszę spowolnić pewne sprawy. Jestem wdzięczny, że ostatnio lepiej się dogadujemy. Ale zbytnio się narzucałem. Wybacz mi. Jesteś mym drogim przyjacielem. Nie chcę zrobić nic, co by cię skrzywdziło. Albo kogokolwiek innego.
Text|Text|Thanatos|Ja... och. Tak. Rozumiem. Ty również jesteś moim drogim przyjacielem. Chociaż ostatnio strasznie dużo zrobiliśmy, by temu zagrozić, czyż nie? Słuchaj, uważaj na siebie, Zag. Widzimy się później.
Text|Text|Zagreus|...Tak, widzimy się później.
Text|Text|Zagreus|Tan... *hahaha*, tak się cieszę! Tylko... wiesz, że Megajra też tutaj była...?
Text|Text|Thanatos|*Tsk. *Znam Megajrę znacznie dłużej niż ty. Jak myślisz, kto mnie do tego namówił?
Text|Text|Zagreus|Ha! Ona, czyż nie? To dobrze! To dobrze.
Text|Text|Thanatos|Jesteś pewien? Cóż... rozumiem. Chyba powinienem wrócić już do swoich obowiązków.
Text|Text|Zagreus|...Do zobaczenia, Tan.
Text|Text|Zagreus|...Hej... słuchaj. Zależy mi na tobie. Na was obojgu. Bardzo. Cieszę się, że jesteśmy tak blisko... że jesteście tak blisko, zamiast skakać sobie do gardeł jak przedtem. Ale myślę, że to dla mnie trochę za dużo, jak na ten moment.
Text|Text|Megaera|...Jesteś pewien? Słuchaj... to zupełnie w porządku. Jesteś już pod wystarczającą presją. A zatem, do zobaczenia tam w terenie.
Text|Text|Thanatos|Porozmawiamy kiedy indziej, w porządku?
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Zamknij się wreszcie, Zagreusie. I chodź tutaj.
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Zadajesz zbyt wiele pytań, Zag. Ale tak, powiedziałabym, że w porządku, póki co. Ale jeśli komuś o tym powiesz, zabiję cię, rozumiesz?
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Zagreus|Ale... nie, czekaj... nawet Tanowi...?
