Id|Description|Speaker|Text
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|...Powiadam ci, jesteś {#DialogueItalicFormat}w błędzie{#PreviousFormat}, Asterionie! On nie jest z {#DialogueItalicFormat}rodziny królewskiej{#PreviousFormat}, a z pewnością nie z takiej, którą {#DialogueItalicFormat}ja {#PreviousFormat}bym rozpoznał! Jest jedynie bezimiennym, dawno zapomnianym pomniejszym bogiem zrodzonym z głębin i powinien tam pozostać!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Minotaur|Ja również byłem niegdyś zniesławiony tego rodzaju słowami, królu. Jak wiele razy stanęliśmy naprzeciw tego przeciwnika? I według mojego mniemania walczył dzielnie.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|{#DialogueItalicFormat}Dzielnie{#PreviousFormat}?! Chowanie się za tymi kolumnami nazywasz {#DialogueItalicFormat}dzielnym{#PreviousFormat}, Asterionie? Musimy omówić ten dziwny zanik osądu po tym, jak osiągniemy nasze zwycięstwo!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|Mam nadzieję, że jesteś z siebie całkowicie zadowolony, piekielny pomiocie. Ponieważ Asterion jest na mnie zły! O tyle o ile. Mówi, że źle cię oceniłem! {#DialogueItalicFormat}Skandaliczność{#PreviousFormat}.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Minotaur|Nie słuchasz mnie, królu. Nadal musimy się sporo nauczyć o tym przeciwniku. Za każdym razem jest inaczej uzbrojony. Bronie, dane przez bogów umiejętności i tym podobne. Pomimo naszych wysiłków... ciężko jest rozeznać jego strategie.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|A teraz mówisz, że nie potrafię walczyć, Asterionie? Pomimo, że nie miałem problemów, aby pokonać {#DialogueItalicFormat}ciebie {#PreviousFormat}w tym twoim labiryncie? Dalej, zabierzmy się za tę walkę!
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|Cóż, robalu! Walcz z nami, jak sądzę. I w pełni skorzystaj z tego zniszczenia, które zasiałeś! Nie jesteśmy drużyną! Jesteśmy zaledwie dwoma wojownikami, którym jednocześnie zlecono, aby tu teraz być.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Minotaur|Królu, myślę, że przesadzasz w tym momencie. Postaraj się być rozsądny. I bardziej weź pod uwagę mój punkt widzenia. Myślę, że nie proszę o zbyt wiele.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|Prosisz mnie o niemożliwe! Ale zabierzmy się za walkę. I przegrajmy, jestem pewien, ponieważ jeżeli nie jesteśmy drużyną, to czym jesteśmy, Asterionie...?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Minotaur|Musisz wybaczyć Czempionowi, mały. Nie był sobą. Aczkolwiek nadal będzie z tobą walczył na śmierć i życie, jestem pewien.
