Id|Description|Speaker|Text
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Och, witaj, Zagreusie. Rozumiem, że uwolniłeś mnie od mojej wiecznej kary. No więc wróciłem tutaj, żeby służyć twojemu ojcu. Dzięki.
OrpheusFirstMeeting|Orpheus First Meeting|Zagreus|Orfeuszu, wróciłeś! Słuchaj, po prostu nie denerwuj więcej Ojca w ten sposób i wszystko będzie dobrze. Poza tym... obecnie chyba bardziej złości się na mnie.
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Przykro mi, przyjacielu. Ale jeśli przybyłeś poprosić mnie o piosenkę... cóż, obawiam się, że muszę twardo obstawać przy swoim.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Orpheus|Och, witaj Zagreusie. Zastanawiałem się właśnie, czy słyszałeś może kiedyś o jakimś innym nadwornym muzyku, który stracił zapał do śpiewania? Twój ojciec kazał mi się wytłumaczyć i prawdę mówiąc było to dość trudne.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Zagreus|Jeżeli jest to jakieś pocieszenie, kolego, to myślę, że każdy jeden nieumarły nadworny muzyk służący w sali tronowej boga umarłych przechodził przez wszystko to, co ty.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Orpheus|Jest tu strasznie cicho, wiesz, kiedy jesteś tam i ówdzie? Wprawia mnie to w pewne zakłopotanie prawdę mówiąc, jako że jestem rzekomo muzykiem tego dworu.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Zagreus|Słuchaj, jestem pewien, że jeśli zdecydujesz się znowu grać na tej lirze, to nikomu to nie będzie przeszkadzać. Ale uważaj na siebie, okej?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Och, witaj, Zagreusie. Wyglądasz na trochę przybitego. Dlatego tak się właśnie zastanawiałem, czy masz może ochotę na pieśń?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Zagreus|A może *Lament*? Zwykłeś często to grać!
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Och, ta ci się podoba, tak? Niestety nie mam już serca jej śpiewać. Cieszę się jednak, że ją lubisz.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|Orfeuszu, wybacz moją bezpośredniość, ale muszę zapytać. Czemu nie zaśpiewasz? Byłeś legendą, kolego! Naszym nadwornym muzykiem!
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|Cóż, to dlatego, że straciłem moją muzę, mój przyjacielu. Nic poza tym. Nie miewałeś w życiu chwil, w których straciłeś cały zapał do gonienia za swoimi pasjami?
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|Ja... zdaje się, że miewałem, tak. Ale ostatnio ponownie odnalazłem w sobie zapał i dlatego muszę się stąd wydostać.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|Naprawdę mnie to cieszy, przyjacielu. Niestety mi się w moich poszukiwaniach nie poszczęściło, nie żebym je dalej kontynuował, więc po prostu zostanę tutaj, OK?
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|Mogę coś zrobić, by pomóc ci odnaleźć twoją muzę, kolego?
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|Obawiam się, że już dawno straciłem swoją muzę, mój przyjacielu, ale naprawdę dziękuję, że pytasz. Przypuszczam, że wciąż gdzieś tam jest, w końcu kiedyś przemierzyłem tę krainę w poszukiwaniu jej i ją odnalazłem. Ale było to już jakiś czas temu.
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|Moment, odnalazłeś ją? Co się stało?
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|Cóż, wtedy jeszcze byłem żywy - sam rozumiesz. Twój ojciec... cóż, nie obchodzi go, czy ktoś chce opuścić to królestwo i w skrócie doszło do tego, że też tu utknąłem! Od tamtej pory jej nie widziałem, a do podróży już się nie nadaję.
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|To... bardzo przykro mi to słyszeć. Dziękuję, że mi powiedziałeś. Mam nadzieję, że jeszcze kiedyś ją zobaczysz.
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|Dziękuję za słowa otuchy, mój przyjacielu, ale proszę - nie martw się ani o nią, ani o mnie. Wiesz - jesteśmy martwi! Jest w porządku.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Zagreus|Kolego, jeśli nie masz nic przeciwko, to chętnie posłuchałbym więcej na temat twojej muzy.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Orpheus|Moja muza... nigdy nie było nikogo równie wspaniałego jak moja Eurydyka...! Była tak łagodna, a jednocześnie o tak mężnym sercu, że twoje własne bolało na samą myśl. Zainspirowała niezliczoną ilość moich pieśni.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Zagreus|To całkiem sporo. Cóż, wygląda na to, że nieźle ci się trafiła. Przykro mi z powodu twojej straty. Dziękuję, że podzieliłeś się ze mną wspomnieniem na jej temat.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Orpheus|Dziękuję, że mnie wysłuchałeś, mój przyjacielu. Eurydyka... ona też zwykła mnie słuchać cały czas....
OrpheusMiscMeeting07|Orpheus Misc Meeting 07|Orpheus|Rozumiem, że w swoich podróżach zaszedłeś daleko poza jamy Tartaru, mój przyjacielu? Twój kolejny heroiczny wyczyn - prawdę mówiąc to dla mnie mocno inspirujące.
OrpheusMiscMeeting07|Orpheus Misc Meeting 07|Zagreus|Wystarczająco inspirujące, żebyś... zechciał znowu śpiewać?
OrpheusMiscMeeting07|Orpheus Misc Meeting 07|Orpheus|Och, to dość śmiała insynuacja, Zagreusie, nie wiem, czy mam do tego wolę, ja... po prostu potrzebuję trochę czasu na zastanowienie, w porządku?
OrpheusAboutHades01|Orpheus About Hades 01|Zagreus|Wygląda na to, że ojciec jest na ciebie naprawdę zły, Orfeuszu. Może zastanowisz się nad powrotem do śpiewu? Wiesz, że ta groźba dalszej kary nie jest blefem.
OrpheusAboutHades01|Orpheus About Hades 01|Orpheus|Twój ojciec potrafi być... bardzo przekonujący, to prawda, przyjacielu. Jednakże tym razem... obstaję przy swoim! Nie planuję ponownie dla niego śpiewać.
OrpheusAboutHades01|Orpheus About Hades 01|Zagreus|W takim razie może dla mnie? Albo innych Twoich przyjaciół na dworze?
OrpheusAboutHades01|Orpheus About Hades 01|Orpheus|Ja... nie. Proszę. Straciłem swoją muzę. Nie mogę zrobić czegoś takiego.
OrpheusAboutPressure01|Orpheus About Pressure 01|Orpheus|Wyglądasz na całkiem zdenerwowanego ostatnimi czasy, mój przyjacielu. Czy być może doświadczasz pewnych niefortunności?
OrpheusAboutPressure01|Orpheus About Pressure 01|Zagreus|*Och*! Nie, wszystko w porządku, Orfeuszu. Mam po prostu dużo na głowie, próbując rozstrzygnąć co dalej. Coś nad czym muszę sam popracować.
OrpheusAboutPressure01|Orpheus About Pressure 01|Orpheus|Ach, cóż, szczerze rozumiem. Sam byłem niechętny, by rozmawiać o mojej od dawna zaginionej muzie przez całkiem długi czas. Cóż, jeżeli potrzebujesz trochę emocjonalnego wsparcia, wiedz, że najprawdopodobniej będę stał tu w tym miejscu...
OrpheusAboutHermes01|Orpheus About Hermes 01|Zagreus|Och, Orfeuszu? Rozmawiałem z Hermesem, posłańcem, bogiem podróży i tak dalej? To dziwne, że to *ja *przekazuję ci wiadomość w tym wypadku, ale pozdrawia cię! I również podziwia twój muzyczny talent.
OrpheusAboutHermes01|Orpheus About Hermes 01|Orpheus|Och, to miło z jego strony, mój przyjacielu. Gdy po raz pierwszy zapuściłem się w czeluści tego królestwa w poszukiwaniu duszy mej utraconej muzy... po tym jak całkowicie poległem, to właśnie Lord Hermes ją zabrał. To wydarzyło się tak szybko. Wykonał *świetną *robotę!
OrpheusAboutSinging01|Orpheus About Singing 01|Zagreus|Zawsze chciałem cię o to zapytać, Orfeuszu... Gdzie nauczyłeś się tak śpiewać? Czy to naprawdę sam Apollo cię nauczył?
