Id|Description|Speaker|Text
MegaeraWithSisyphus01|Duo - Megaera and Sisyphus (1)|Megaera|...Jeśli pomożesz mu ponownie, to przy naszym następnym spotkaniu dostaniesz tysiąc batów. A jak wrócę, to lepiej, żeby ten twój kamyczek był tam na górze, bo inaczej dostaniesz tysiąc więcej.
MegaeraWithSisyphus01|Duo - Megaera and Sisyphus (1)|Sisyphus|Brzmi dobrze, całkiem dobrze, szanowna Pani, to zdecydowanie sprawiedliwe. Trzymam za słowo! Do zobaczenia!
MegaeraWithSisyphus02|Duo - Megaera and Sisyphus (2)|Megaera|...A jeśli wiesz, co dla ciebie dobre, to lepiej zajmij się swoim głazem, ty mały oszuście. Niech ci się nie wydaje, że cię nie obserwuję.
MegaeraWithSisyphus02|Duo - Megaera and Sisyphus (2)|Sisyphus|Doceniam twoją czujność, Szanowna Pani i z pewnością wepchnę Głazika na sam szczyt tego wzgórza - pomimo faktu, że jeszcze nigdy, przenigdy mi się to nie udało!
MegaeraWithSisyphus03|Duo - Megaera and Sisyphus (3)|Megaera|...A kiedy ta cała sprawa z Księciem się zakończy, wrócimy do tego, jak było. Do tego czasu lepiej żebym regularnie widziała twój głaz na szczycie wzgórza.
MegaeraWithSisyphus03|Duo - Megaera and Sisyphus (3)|Sisyphus|W pełni to rozumiem, Szanowna Pani. Zapewniam, że Głazik, *yyy*, to znaczy ten oto głaz - będę go regularnie pchał, ciągle do przodu, jak zawsze! No to do widzenia!
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|...I na koniec, masz zakaz udzielania jakiejkolwiek dalszej pomocy Księciu Zagreusowi. Czy się rozumiemy?
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Sisyphus|Ależ absolutnie, Panie Tanatosie - ani bym śmiał o tym myśleć! Poza tym, jedyne co mam teraz w głowie to wszystkie najnowsze strategie pchania kamienia.
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|Dość! Wracaj do pracy, a ja wrócę do swojej.
ThanatosWithSisyphus02|Duo - Thanatos and Sisyphus (2)|Sisyphus|Rozumiem cię, Panie Tanatosie i zrobię jak każesz. Nie będę już pomagał Księciu Zagreusowi, tym razem jestem śmiertelnie poważny.
