Id|Description|Speaker|Text
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Będę z tobą szczery, mordeczko. Zaimponowałeś komuś naprawdę wysoko postawionemu... z racji tego, ten ktoś ma dla ciebie małą propozycję, chcesz posłuchać?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|Niech zgadnę... ten ktoś chce, żebym przebijał się walecznie przez całe Podziemia, korzystając z zawieszonego tam Paktu Skruchy, ażeby każda próba ucieczki była jeszcze bardziej niebezpieczna niż już jest, a jeśli mi się powiedzie, to w nagrodę otrzymam jakiś bezużyteczny drobiazg?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Błąd! Mówimy tu o czymś naprawdę wielkim, mordeczko, widzisz to tam nieopodal? Drobiazg. Daj spokój, co jest - boisz się?
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Po prostu wiedziałem, że masz to w sobie, mordeczko - podoba ci się twoja nowa nagroda? Pakt Skruchy, {#DialogueItalicFormat}Srakt {#PreviousFormat}Skruchy, żaden problem, wiesz o co mi chodzi? No, ale to było całkiem proste, pewnie nawet sam bym to ogarnął.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Zagreus|Zaczekaj, żebym dobrze zrozumiał. Dosłownie przebiłem się przez całe piekło i z powrotem, a moją nagrodą jest... twój posąg? Nie zrozum mnie źle, jest bardzo ładny, ale... nie wiem, czego się spodziewałem.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Słuchaj, młody, zaszło drobne nieporozumienie, gdy składaliśmy zamówienie, wiesz? Powiedziałem im, żeby zrobili coś, co podkreśli moje mocne strony, no i wyszło coś takiego. Pozostałe wyszły jednak o wiele lepiej, zobaczysz!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Kostku, pozwól, że cię o coś zapytam. Czy ty naprawdę zleciłeś przygotowanie trzech niemalże identycznych posągów siebie samego, aby nakłonić mnie do używania Paktu Skruchy?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|Teraz to mnie obraziłeś, mordeczko! Jeszcze nawet nie widziałeś trzeciego, więc jak możesz sugerować coś takiego? Być może myliłem się co do ciebie. Naprawdę myślałem, że jesteś wybrańcem!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Mówisz tak tylko po to, żebym cię przeprosił i spróbował odblokować ostatni z twoich praktycznie identycznych posągów, czyż nie.
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|{#DialogueItalicFormat}Jak możesz{#PreviousFormat}--? Zwróciłbym te posągi i zażądał zwrotu pieniędzy tu i teraz, gdybym tylko mógł się poruszać! No i gdyby można je było zwrócić.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|Słuchaj, wybacz że tak namieszałem z twoimi posągami, młody. Powaga. Gdy je zobaczyłem, to mi odwaliło. Ale wtedy pomyślałem sobie: "nie ma mowy, aby zdołał zobaczyć jak one wyszły", więc po prostu poszedłem za ciosem, wiesz?
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Zagreus|Nie powinieneś był mnie nie doceniać, kolego. Ale... z drugiej strony ja nie powinienem był wygłaszać tak przykrych opinii na temat twoich posągów. Musiałeś się naprawdę mocno napracować, ażeby je tutaj sprowadzić.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|O, a żebyś wiedział, mordeczko! Więc może uznajmy, żeśmy kwita. Sporo przeszliśmy. My oboje! Naprawdę wyciągnąłem wnioski z tego doświadczenia, a teraz lepiej się rozumiemy, co nie?
SkellyFirstMeeting|Skelly First Meeting|Skelly|Całkiem fajny lokal, młody! Jestem Kostek, jak leci, ale wystarczy już tych pogaduszek, mam tu pracę do wykonania. Więc daj mi popalić! Daj z siebie wszystko!!
SkellyFirstMeeting|Skelly First Meeting|Zagreus|Nie przypominam sobie, żebyś znajdował się na liście płac, kolego. Kto jest twoim przełożonym?
SkellyFirstMeeting|Skelly First Meeting|Skelly|{#DialogueItalicFormat}O ho-ho{#PreviousFormat}, nie zamierzam wsypać moich wspólników, mordeczko! Spróbuj to ze mnie wydobyć siłą!
SkellyMiscMeeting01|Skelly Misc Meeting 01|Zagreus|Nie sądzę, żeby udało mi się nakłonić cię, abyś tym razem zaczął się bronić?
SkellyMiscMeeting01|Skelly Misc Meeting 01|Skelly|Nie ma szans, młody, płacą mi za zbieranie cięgów, a nie ich dawanie! A teraz dawaj!!
