Id|Description|Speaker|Text
Text|Text|Zagreus|...Ja... Meg, to mi naprawdę schlebia i jesteś mi bardzo bliska, ale... to nie tego oczekuję od naszej relacji. Obawiam się, że musiałem cię zwieść. Wybacz mi. Proszę, powiedz, że nadal będziesz moją przyjaciółką?
Text|Text|Megaera|...Naprawdę tego pragniesz...? Aby być moim przyjacielem? {#DialogueItalicFormat}Heh. {#PreviousFormat}Ciężko cię czasami rozgryźć, Zag. Ale wiesz co, próbowaliśmy różnych rzeczy. Czemu mielibyśmy nie spróbować tego, co proponujesz? A zatem, widzimy się w terenie.
Text|Text|Megaera|...Jesteś pewien? Słuchaj, ja... to naprawdę w porządku. Widzimy się zatem w terenie.
Text|Text|Zagreus|...Tak. Czasami muszę spowolnić pewne sprawy. Jestem wdzięczny, że ostatnio lepiej się dogadujemy. Ale zbytnio się narzucałem. Wybacz mi. Jesteś mym drogim przyjacielem. Nie chcę zrobić nic, co by cię skrzywdziło. Albo kogokolwiek innego.
Text|Text|Thanatos|Ja... och. Tak. Rozumiem. Ty również jesteś moim drogim przyjacielem. Chociaż ostatnio strasznie dużo zrobiliśmy, by temu zagrozić, czyż nie? Słuchaj, uważaj na siebie, Zag. Widzimy się później.
Text|Text|Zagreus|...Tak, widzimy się później.
Text|Text|Zagreus|Tan... {#DialogueItalicFormat}hahaha{#PreviousFormat}, tak się cieszę! Tylko... wiesz, że Megajra też tutaj była...?
Text|Text|Thanatos|{#DialogueItalicFormat}Tsk. {#PreviousFormat}Znam Megajrę znacznie dłużej niż ty. Jak myślisz, kto mnie do tego namówił?
Text|Text|Zagreus|Ha! Ona, czyż nie? To dobrze! To dobrze.
Text|Text|Thanatos|Jesteś pewien? Cóż... rozumiem. Chyba powinienem wrócić już do swoich obowiązków.
Text|Text|Zagreus|...Do zobaczenia, Tan.
Text|Text|Zagreus|...Hej... słuchaj. Zależy mi na tobie. Na was obojgu. Bardzo. Cieszę się, że jesteśmy tak blisko... że jesteście tak blisko, zamiast skakać sobie do gardeł jak przedtem. Ale myślę, że to dla mnie trochę za dużo, jak na ten moment.
Text|Text|Megaera|...Jesteś pewien? Słuchaj... to zupełnie w porządku. Jesteś już pod wystarczającą presją. A zatem, do zobaczenia tam w terenie.
Text|Text|Thanatos|Porozmawiamy kiedy indziej, w porządku?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Tanatos...! Poprosiłbym cię, żebyś wszedł, ale... już tu jesteś. Naprawdę dobrze cię widzieć.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|Powiedz mi jedną rzecz, Zagreusie. Czy naprawdę mówiłeś poważnie o tym, że... może powinniśmy... się nie spieszyć?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Ja tylko... nie chcę cię popędzać, Tan. Wiem, że to wszystko to całkiem sporo. I chcę, żebyś wiedział... to nie jest z mojej żadnej strony jakiś tam impuls. Będę na ciebie czekał tak długo ile będzie trzeba.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|{#DialogueItalicFormat}Khh! {#PreviousFormat}Nie masz pojęcia, za którymi impulsami trzeba podążać, a które trzeba kontrolować. Mówisz, że będziesz czekać, pozwól więc, że zapytam: Na co czekasz? Na co czekasz, skoro już tu jestem? Prawda...?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Tan...! {#DialogueItalicFormat}Hahaha{#PreviousFormat}, no tak, masz rację!
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Hej, Tan, słuchaj... powiedz już coś. Nie lubię, gdy zbyt długo się nie odzywasz, co ci chodzi po głowie?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|Mnóstwo rzeczy. I będziesz musiał to polubić, Zag. To znaczy, chcę powiedzieć, że... nie odbieraj mojego milczenia w niewłaściwy sposób, dobrze? Lepiej już jednak pójdę, mam zaległości w pracy, ale... do zobaczenia. Jeśli to jest w porządku.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Jest. Jest.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Zagreusie, nie masz żadnych drzwi. Dlaczego zawsze jesteś zaskoczony?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|{#DialogueItalicFormat}Yyy{#PreviousFormat}, Meg, Tan, co... co wy dwoje... co się dzieje? Cokolwiek to jest, mogę wyjaśnić albo... moment, oboje się uśmiechacie. Och... pozwólcie... dajcie mi chwilę.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Nie doceniasz Tanatosa i mnie, Zag. Znamy się dłużej, niż ty żyjesz na tym świecie.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Thanatos|Powiedziałbym, że już całkiem dobrze się znamy, biorąc wszystko pod uwagę. Czy nie jest tak, Megajro?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Nie widzisz, że jesteśmy teraz po służbie, Zagreusie?
