Id|Description|Speaker|Text
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|{#DialogueItalicFormat}A hahaha{#PreviousFormat}, wreszcie nadszedł czas, Asterionie. Jest tutaj! Prawda, ty ohydny, nic nieznaczący pomiocie piekieł? Przygotuj się na stratowanie!!
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Zagreus|Och, to nieuczciwe... to pokryty brązem Macedończyk Tau-Lambda! Co tak nieznośny maruda jak ty robi z najbardziej wytrzymałym rydwanem na świecie?
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|{#DialogueItalicFormat}Pah{#PreviousFormat}! Nie zasługujesz na to, żeby wiedzieć. Wystarczy powiedzieć, że Asterion i ja po raz kolejny otrzymaliśmy hojną nagrodę. I nie zawahamy się użyć naszych wywalczonych z trudem zdobyczy przeciwko {#DialogueItalicFormat}tobie{#PreviousFormat}!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|On obróciłby cię przeciwko mnie, Asterionie. Widzę to w jego różnobarwnych oczach! Nie mogę pozbyć się okropnej wizji, że pewnego dnia lub nocy to ja będę tam stał samotnie, podczas gdy ty...? Podczas gdy ty staniesz naprzeciwko mnie! Z tym {#DialogueItalicFormat}demonem{#PreviousFormat}!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Zagreus|Asterionie, odnośnie tego, proszę, rozważ to jako propozycję, jeśli chcesz. Wolałbym mieć w tobie przyjaciela, niż wroga. Nie jestem pewien, czy mogę powiedzieć to samo o Tezeuszu, rzecz jasna.
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|{#DialogueItalicFormat}Ty trujący robalu{#PreviousFormat}! Wiedziałem, że masz w zanadrzu bardziej złowieszcze sztuczki, ponieważ twój styl walki nie jest sam w sobie niepokojący! Czy naprawdę nie ma takiego poziomu, do którego byś się nie zniżył?!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|...Powiadam ci, jesteś {#DialogueItalicFormat}w błędzie{#PreviousFormat}, Asterionie! On nie jest z {#DialogueItalicFormat}rodziny królewskiej{#PreviousFormat}, a z pewnością nie z takiej, którą {#DialogueItalicFormat}ja {#PreviousFormat}bym rozpoznał! Jest jedynie bezimiennym, dawno zapomnianym pomniejszym bogiem zrodzonym z głębin i powinien tam pozostać!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Minotaur|Ja również byłem niegdyś zniesławiony tego rodzaju słowami, królu. Jak wiele razy stanęliśmy naprzeciw tego przeciwnika? I według mojego mniemania walczył dzielnie.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|{#DialogueItalicFormat}Dzielnie{#PreviousFormat}?! Chowanie się za tymi kolumnami nazywasz {#DialogueItalicFormat}dzielnym{#PreviousFormat}, Asterionie? Musimy omówić ten dziwny zanik osądu po tym, jak osiągniemy nasze zwycięstwo!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|Mam nadzieję, że jesteś z siebie całkowicie zadowolony, piekielny pomiocie. Ponieważ Asterion jest na mnie zły! O tyle o ile. Mówi, że źle cię oceniłem! {#DialogueItalicFormat}Skandaliczność{#PreviousFormat}.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Minotaur|Nie słuchasz mnie, królu. Nadal musimy się sporo nauczyć o tym przeciwniku. Za każdym razem jest inaczej uzbrojony. Bronie, dane przez bogów umiejętności i tym podobne. Pomimo naszych wysiłków... ciężko jest rozeznać jego strategie.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|A teraz mówisz, że nie potrafię walczyć, Asterionie? Pomimo, że nie miałem problemów, aby pokonać {#DialogueItalicFormat}ciebie {#PreviousFormat}w tym twoim labiryncie? Dalej, zabierzmy się za tę walkę!
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|Cóż, robalu! Walcz z nami, jak sądzę. I w pełni skorzystaj z tego zniszczenia, które zasiałeś! Nie jesteśmy drużyną! Jesteśmy zaledwie dwoma wojownikami, którym jednocześnie zlecono, aby tu teraz być.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Minotaur|Królu, myślę, że przesadzasz w tym momencie. Postaraj się być rozsądny. I bardziej weź pod uwagę mój punkt widzenia. Myślę, że nie proszę o zbyt wiele.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|Prosisz mnie o niemożliwe! Ale zabierzmy się za walkę. I przegrajmy, jestem pewien, ponieważ jeżeli nie jesteśmy drużyną, to czym jesteśmy, Asterionie...?
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|Proszę, walcz ponownie u mego boku, Asterionie. Tak jak kiedyś! Musisz wybaczyć mi moje ostatnie nieprzyzwoitości. Ten przeklęty demon... jego kłamstwa i perfidia zaszły mi za skórę. Albo jej fantasmagoryjny odpowiednik!
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Minotaur|Przyrzeknij mi coś, królu. Że odrzucisz obawy o naszą więź. Ten mały nigdy jej nie zniszczy. Nawet jej nie rozumie. Jedynym, który może ją zniszczyć, jesteś ty sam.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|Ja... och, mój drogi przyjacielu, Asterionie. Rozumiem, oczywiście, masz rację, masz rację. {#DialogueItalicFormat}Masz rację{#PreviousFormat}! I uroczyście przyrzekam, w rzeczy samej, że nigdy więcej nie zwątpię w nasze braterstwo! I nigdy więcej nie będę słuchał tego demona! Razem, teraz i zawsze!!
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Theseus|Podejdź, łajdaku, a niedługo zostaniesz stratowany przez masywne koła najlepszego rydwanu w historii!
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Zagreus|Wozisz się tym rydwanem wyłącznie dzięki mnie. Wszystko ze względu na utrudnienie Paktu Skruchy! A nie ze względu na twoje czyny czy zasługi. Więc skończ z tym gadaniem!
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Theseus|{#DialogueItalicFormat}Hahahaha{#PreviousFormat}, co?! Twierdzisz, że jesteś moim dobroczyńcą, podczas gdy w rzeczywistości jesteś moim śmiertelnym - w przenośni - wrogiem! Zaraz dowiesz się, jak to jest zostać stratowanym przez rydwan!
