Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...Spędziłam wiele dni pielęgnując ten ogród... albo nocy? Dość ciężko określić tu czas. Ale przetrwał dłużej, niż bym się tego mogła spodziewać...
Ending01|Ending 01|Hades|... Persefono... ja...
Ending01|Ending 01|Persephone|Cerber! Tak bardzo za tobą tęskniłam! Obowiązkowy jak zawsze, czyż nie?
Ending01|Ending 01|Hades|... Przepraszam. Wiedz, że przepraszam.
Ending01|Ending 01|Persephone|Hadesie... wyglądasz na zmęczonego. Choć to nie tylko mnie należą się przeprosiny.
Ending01|Ending 01|Hades|Wiem. Wiem, ja.... Dlaczego wróciłaś? Jeśli Olimp... jeśli twoja matka odkryje, co się stało, to nawet Zeus, nawet {#DialogueItalicFormat}on {#PreviousFormat} nie byłby w stanie powstrzymać tego, co mogłoby się tutaj wydarzyć!
Ending01|Ending 01|Persephone|{#DialogueItalicFormat}Och{#PreviousFormat}, mam pomysł lub dwa na to, jak możemy się tym zająć. Ale ty i Zagreus musicie pomóc mi w kwestii rozwiązania tej sprawy. Albo, jeśli wolisz, może powrócę tam, skąd przybyłam?
Ending01|Ending 01|Hades|Rozwiązania? Co, zamierzasz rozdać im wszystkim {#DialogueItalicFormat}Ambrozje{#PreviousFormat}? Nawet ty nie możesz naprawić zepsutej rodziny, Persefono.
Ending01|Ending 01|Persephone|Masz rację, Hadesie! Nie mogę. A na pewno nie sama. A zatem pomożesz mi, czy co?
Ending01|Ending 01|Hades|...Zrobię wszystko, o co mnie poprosisz.
Ending01|Ending 01|Persephone|A zatem, najpierw porozmawiaj ze swoim synem.
Ending01|Ending 01|Hades|...{#DialogueItalicFormat}Mm{#PreviousFormat}. Zagreusie? Poznałeś już Persefonę, naszą Królową. Oczekuję, że będziesz okazywał jej szacunek, zawsze!
Ending01|Ending 01|Zagreus|Łał, Ojcze, nazwałeś mnie po imieniu! Cóż to za dziwne doznanie, które odczuwam? Być może to ten {#DialogueItalicFormat}szacunek{#PreviousFormat}, o którym mówisz?
Ending01|Ending 01|Persephone|Och, przestańcie, oboje. Nie każ mi tego żałować, Hadesie. Porozmawiaj z nim szczerze. O sobie, nie o mnie. No dalej.
Ending01|Ending 01|Hades|Tak. Ja... Zagreusie. Wiem, że były czasy... kiedy pozwoliłem moim nastrojom odbijać się na tobie. Okazywałem bardzo mało cierpliwości. Podważałem twoje zdanie, często, gdy moje było błędne. Zatem, przepraszam cię, mój synu. Nie mam żadnych wymówek. I nie proszę o wybaczenie.
Ending01|Ending 01|Zagreus|A co z tym, kiedy kłamałeś na temat Matki, przepraszasz też za to? Twoje głupie nastroje i kierowanie ich na mnie... już dawno nauczyłem się tego po tobie spodziewać. I żywiłem do ciebie z tego powodu urazę. Ale zawsze myślałem... że jesteś uczciwy.
Ending01|Ending 01|Hades|Twoja matka nie przybyła tu dobrowolnie, kiedy się pierwszy raz poznaliśmy. Kiedy odeszła... wierzyła, że urodziłeś się martwy... jej decyzja była ostateczna. Wierzyłem, że będzie jej lepiej bez większości z nas, wliczając Olimp. Oszukiwanie was obojga... rozrywało mnie wewnętrznie. Ale musiało tak być.
Ending01|Ending 01|Zagreus|Cóż, nie musiałeś kierować na mnie tych swoich wewnętrznych zmagań przez całe moje życie. Chociaż, myślę, że rozumiem. Żałuję tylko, że nie mogłem zrozumieć wcześniej. A zatem, uch... co teraz? Przyzwyczaiłem się do plądrowania twojego królestwa, chyba naprawdę będę za tym tęsknić.
Ending01|Ending 01|Hades|Odnośnie tego... twoje {#DialogueItalicFormat}plądrowanie {#PreviousFormat}ujawniło wiele wad w naszych zabezpieczeniach. Takich, które nigdy nie trafiają do raportów. Nasza reputacja opiera się na tym, że nie ma stąd ucieczki. Czy mógłbyś... nadal próbować się uwolnić? Nie dla mojego dobra. Ale dla tego królestwa. Dla Królowej.
Ending01|Ending 01|Persephone|Zagreusie... jeśli wciąż będziesz walczył tam w terenie... pomoże to zachować pozory, że wszystko jest jak zawsze.
Ending01|Ending 01|Zagreus|Pytanie, Ojcze. Powiedzmy, że się zgodzę. Kiedy znów dotrę na powierzchnię... czy to nadal ty będziesz tam na mnie czekał?
Ending01|Ending 01|Hades|Ach, chłopcze. Jeśli choć przez chwilę myślałeś, że z powodu tej całej sytuacji będzie ci lżej, to wkrótce przekonasz się, że wprost przeciwnie.
Ending01|Ending 01|Zagreus|A zatem, po prostu walczę, aby dostać się na powierzchnię i raz za razem zabijam swojego ojca, tak?
Ending01|Ending 01|Hades|Prawie masz rację!
Ending01|Ending 01|Persephone|Być może zajmiesz się również moją mała chatką, gdy będziesz już w okolicy? Ogrodowi wcale wiele nie potrzeba. Chciałabym utrzymać to miejsce w przyzwoitym stanie. W razie gdybym nie mogła tego znosić zbyt długo.
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}Hahaha{#PreviousFormat}, cóż! Myślę, że zobaczę, co mogę zrobić.
Ending01|Ending 01|Persephone|Po prostu daj z siebie wszystko. I najwyraźniej ja również mam pracę do wykonania. Powiedziałabym, że sporo jej przed sobą mamy. A zatem, może zaczniemy?
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}Po tym całym czasie{#PreviousFormat}, to było tylko kilka dni! Ale jedne z tych lepszych. Matka i Ojciec znów razem, zawarłem kilka nowych przyjaźni, zdobyłem ten ładny obraz! Łatwizna. Wszystko w porządku w Podziemiach!
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}A wtem, znajduje notatkę... zapisaną starannie pismem i głosem, którego Książę nigdy nie widział ani nie słyszał.
Flashback05|Flashback 05|Persephone|{#DialogueItalicFormat}"Hadesie: Nie jestem w stanie dłużej znieść tego, jak wygląda moje życie w tym miejscu. A zatem odchodzę, nawet jeśli miałoby mnie to zabić. Nie wracam na Olimp. Jeśli istnieje dla mnie jakieś miejsce na tym świecie, to musi ono być gdzieś między niebem a piekłem. Być może jest na wybrzeżu i ma niewielki ogród. Dbaj o Cerbera; będę za nim tęsknić. -- Persefona
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Tym samym, Książę Podziemi - Zagreus - wchłonął zawartość tego ukrytego listu, zapisanego ręką jego matki.
Flashback05|Flashback 05|Zagreus|Ręką jego matki, ręką mojej matki - moment, {#DialogueItalicFormat}co{#PreviousFormat}?! Chcesz powiedzieć, że ta Persefona, że jest moją... matką...? Ale Ojciec zawsze powtarzał, że Nyks była moją... Co za kłamca. Okłamał mnie. Obydwoje mnie okłamywali. Przez całe moje życie!
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Uch, yyy, tym samym Książę odkrył, nieumyślnie, dotychczas dobrze skrywaną tajemnicę swojego rodowodu. Stało się to zupełnym przypadkiem....
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Meg. {#DialogueItalicFormat}Och{#PreviousFormat}. Nie spodziewałem się towarzystwa. Czy po prostu sobie tutaj węszysz czy... jest coś, w czym mogę ci pomóc?
MegaeraBedroom01|Megaera Bedroom 01|Megaera|...Właśnie wychodziłam, Zagreusie. Byłem po prostu w okolicy - wcale nie dzięki tobie - i pomyślałam, że zabiorę ostatnie z moich rzeczy. Muszę przyznać, że naprawdę piekielnie zaniedbałeś to miejsce.
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|...Wyszła. Świetnie. Wspaniale! Zdaje się, że w takim razie wrócimy do ciągłego zabijania się nawzajem.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Znowu czegoś zapomniałaś z mojej komnaty sypialnej, co, Meg?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Nie. Musimy porozmawiać, po raz kolejny. Teraz w to wszystko zaangażowały się moje siostry. Naprawdę wywołałeś spory zamęt.
