Id|Description|Speaker|Text
ZeusWithAthena01|Zeus With Athena 01|Zeus|O proszę, Zagreusie, oto nadchodzi dzielna Atena, pierwsza spośród wszystkich moich krewnych, aby się z tobą skontaktować, w całej swej bystrości. Tak proaktywna, że skontaktowałaś się z Zagreusem, zanim nawet mi powiedziałaś, moja droga!
ZeusWithAthena01|Zeus With Athena 01|Athena|Lordzie Ojcze, gdybym tylko mogła załatwiać jeszcze więcej takich spraw szybko i dyskretnie, tak że tylko najważniejsze z nich wzniosłyby się do poziomu twojej uwagi. Chociaż jestem pewna, że Zagreus i ja jesteśmy bardzo wdzięczni, że zainterweniowałeś.
ZeusWithAres01|Zeus With Ares 01|Zeus|Bratanku! W imię mojej boskiej władzy, mój nader często błędnie rozumiany syn - Ares - wręczy ci teraz drobny symbol jego mocy. Jeszcze sprawię, że będzie pomocny!
ZeusWithAres01|Zeus With Ares 01|Ares|Stanie się, jak sobie życzysz, Lordzie Ojcze. Twoje życzenia są identyczne z moimi.
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|Młodzianie, wiem, że chciałbyś poznać urodziwą Afrodytę twarzą w twarz, albo nie wiem, możesz zdecydować, jak już tu dotrzesz, może zdecydować, nie jest tak, moja Pani Afrodyto, hm?
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|Och, doprawdy, Lordzie Zeusie! To brzmiało jak prostacka uwaga i to od {#DialogueItalicFormat}ciebie{#PreviousFormat}! Jakże zdumiewające, że złocisty wzór dla nas wszystkich obdarza tego typu słowami {#DialogueItalicFormat}mnie{#PreviousFormat}!
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|No, Zagreusie, jak tylko tu dotrzesz, to będziemy musieli znaleźć ci odpowiednią partnerkę, nieprawdaż? Jesteś wszak urodziwym młodzianem! Zazwyczaj jest tu z czego wybierać, poza nielicznymi wyjątkami, rzecz jasna... jak chociażby moją cwaną córką, Artemidą, bez jakichkolwiek skłonności do znalezienia partnera!
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|Tak, Zagreusie, pomimo tych wspaniałych kandydatów o wyrzeźbionych sylwetkach wszędzie wokół, którzy to pragną się ze mną ożenić, bądź mnie upokorzyć, z jakiegoś powodu, ja głównie wolę spędzać czas samotnie lub w towarzystwie mych zaprzyjaźnionych nimf, w lasach!
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|No no, młodzianie, cokolwiek słyszałeś o zacnej Demeter - ja mam zamiar oczyścić atmosferę. Jest dla mnie niczym siostra, tak, ale nic ponadto. Aczkolwiek zarówno jej rodziców Tytanów, jak i moich, spotkał ten sam los.
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|O proszę, Przyrodni Bracie Zeusie! Cóż za niespotykana szczerość z twojej strony. Zupełnie jakbyś czuł się zobowiązany mówić prawdę wyłącznie wtedy, gdy jestem w zasięgu słuchu.
