Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...Eu passei muitos dias cuidando desse jardim... ou noites? É meio difícil saber as horas aqui. Mas, ele durou mais tempo do que eu esperava...
Ending01|Ending 01|Hades|...Perséfone... Eu...
Ending01|Ending 01|Persephone|Cérbero! Senti sua falta. E um bom garoto como sempre, não é?
Ending01|Ending 01|Hades|...Me desculpe. Saiba que sinto muito.
Ending01|Ending 01|Persephone|Hades... você parece cansado. Entretanto, eu não sou a única a quem você deveria pedir desculpas.
Ending01|Ending 01|Hades|Eu sei. Eu sei, eu... por que você voltou? Se o Olimpo... se sua mãe descobrir o que aconteceu, nem mesmo Zeus, nem mesmo *ele *poderia impedir o que aconteceria, aqui!
Ending01|Ending 01|Persephone|Ah, eu tenho algumas ideias sobre como poderemos resolver isso. Entretanto, precisarei que você e o Zagreu cooperem comigo numa solução. Ou, se você preferir, eu poderia voltar para o lugar de onde vim.
Ending01|Ending 01|Hades|Uma solução? O que, você pretende convidar eles pra tomar uma Ambrósia? Nem mesmo você consegue consertar uma família disfuncional, Perséfone.
Ending01|Ending 01|Persephone|Você está certo, Hades! Eu não consigo. Não sozinha, certamente. Então, vai me ajudar ou o quê?
Ending01|Ending 01|Hades|...Eu faria qualquer coisa que me pedisse.
Ending01|Ending 01|Persephone|Então, primeiro, fale com o seu filho.
Ending01|Ending 01|Hades|...Mm. Zagreu? Você já conheceu a Perséfone, nossa Rainha. Eu espero que você demonstre respeito a ela, a todo momento!
Ending01|Ending 01|Zagreus|Uau, Pai, você me chamou pelo meu nome! Que sensação estranha é esta que estou sentindo? Será que é esse o *respeito *a que você se refere?
Ending01|Ending 01|Persephone|Ah, parem, vocês dois. Não faça eu me arrepender, Hades. Fale com ele honestamente. Sobre você, não eu. Vai lá.
Ending01|Ending 01|Hades|Sim. Eu... Zagreu. Eu sei que algumas vezes... eu deixei meu mau humor cair sobre você. Eu demonstrei pouca paciência. Muitas vezes, questionei seu julgamento, quando, na verdade o meu próprio era falho. Então, expresso meu arrependimento a você, meu filho. Não tenho nenhuma desculpa. E também não peço perdão.
Ending01|Ending 01|Zagreus|E sobre a parte que você mentiu pra mim sobre minha Mãe, você se arrepende disso? Seu mau humor, você descontando em mim... Eu já espero isso de você há muito tempo. E eu te ressenti por isso. Mas eu sempre achei que... você era honesto.
Ending01|Ending 01|Hades|Sua mãe não veio para cá de boa vontade quando nós nos conhecemos. Quando ela foi embora... acreditando que você tinha nascido morto... a decisão dela foi definitiva. Eu acreditei que ela estava melhor sem nós, incluindo o Olimpo. Mentir para vocês... rasgou meu coração. Mas precisava ser feito.
Ending01|Ending 01|Zagreus|Bom, você não precisava jogar sobre mim, durante minha vida toda, todo esse seu tormento interno. Mas eu acho que entendo. Eu só queria que você tivesse entendido mais cedo. Então, er... e agora? Eu fiquei tão acostumado a saquear o seu domínio, acho que vou sentir falta.
Ending01|Ending 01|Hades|Sobre isso... sua pilhagem revelou inúmeras falhas da nossa segurança. Do tipo que nunca entra nos relatórios. Nossa reputação se mantém no fato de não ter como escapar daqui. Será que você poderia... continuar tentando escapar? Não pelo meu bem. Mas pelo bem desse reino. Pela Rainha.
Ending01|Ending 01|Persephone|Zagreu... Se você continuar lutando pra sair daqui... Vai manter as aparências de que tudo continua como sempre.
Ending01|Ending 01|Zagreus|Uma pergunta, Pai. Vamos dizer que eu aceite. Da próxima vez que eu chegar na superfície... você ainda vai estar esperando lá?
Ending01|Ending 01|Hades|Ah, garoto. Se você acha que, por um momento, eu facilitaria para você; irá aprender logo que não é o caso.
Ending01|Ending 01|Zagreus|Eu só continuo lutando até a superfície e matando repetidamente meu próprio Pai, então?
Ending01|Ending 01|Hades|Você está só meio certo!
Ending01|Ending 01|Persephone|Talvez passe também pela minha cabaninha no caminho? Cuidar do jardim não daria muito trabalho. Eu gostaria de manter aquele lugar em bom estado. Caso eu não aguente a sofrência deste lugar por muito tempo.
Ending01|Ending 01|Zagreus|*Hahaha*, bom! Vou ver o que posso fazer, eu acho.
Ending01|Ending 01|Persephone|Faça o melhor que puder. E, claramente, também tenho trabalho para fazer. Eu diria que temos muito à nossa frente. Então, devemos começar?
Ending01|Ending 01|Zagreus|*Depois de todo esse tempo*, foram apenas alguns dias! Mas tem sido bom. Minha Mãe e meu Pai estão juntos novamente, fizeram alguns amigos novos, consegui essa pintura chique! Fácil. Está tudo bem no Submundo!
InspectHouse01|Inspect House 01|Storyteller|*A Casa de Hades: Esse covil sombrio e luxuoso do Rei do Submundo é o lar não apenas dele, mas de seu filho obstinado.*
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|*O que antes era uma pequena área de descanso na Casa de Hades agora está selada, completamente em ruínas desde que o Cérbero das três cabeças destruiu o cômodo, lamentando o desaparecimento do Príncipe.*
InspectShades01|Inspect Shades 01|Storyteller|*As sombras dos mortos vagam constantemente pela Casa, reclamando de suas desgraças e buscando a atenção de quem quiser ouvir.*
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|*A área de descanso da Casa de Hades é um lugar triste, apesar de ter sido criada para animar os sombrios habitantes da Casa.*
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|*Um quadro comemorativo adorna uma das paredes pouco decoradas da área de descanso, celebrando e reafirmando as conquistas daqueles que melhor servem ao Lorde Hades.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Os antigos barris de vinho escondidos nas profundezas da Casa de Lorde Hades... poucos experimentaram a safra intoxicante que eles possuem, e menos ainda são autorizados a sequer se aproximarem deles.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Os robustos barris de vinho na Casa de Hades agora estão quase que completamente desprovidos de seu conteúdo, tendo bravamente enfrentado a sede combinada dos Olimpianos durante um certo banquete.*
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|* Uma majéstica estátua dourada do Olimpo, feita com extrema destreza da pedra da montanha. Ela agora eternamente ilumina até mesmo a escuridão da Casa de Hades — um presente de despedida da familia do Lorde Mestre.*
InspectMural01|Inspect Mural 01|Storyteller|*Um vasto e intricado mosaico retrata o Rei do Submundo governando sobre a enormidade de seu domínio, enquanto seus residentes ctônicos o observam em admiração.*
InspectThrone01|Inspect Throne 01|Storyteller|*Raramente o altivo trono do sombrio Lorde Hades fica desocupado; assim, os habitantes da Casa seguem suas vidas, sem ousar questionar o acontecido.*
InspectHouseGarden01|Inspect House Garden 01|Storyteller|*O jardim da Rainha Perséfone, proibido ao príncipe por toda sua vida, agora enfim está diante dele, em todo seu esplendor.*
Flashback02|Flashback 02|Storyteller|*Ele se aventura rumo ao imponente trono de seu Lorde Pai, esperando de certa forma ser pego, mas sem saber o que está prestes a encontrar.*
Flashback03|Flashback 03|Storyteller|*Ele não sabe exatamente o que procura. Ele só sabe que sempre sentiu algo estranho, como se não pertencesse a este lugar. Quem é ele, afinal? Lorde Hades nunca toleraria esse tipo de perguntas. Então, o Príncipe Zagreu descobriria sozinho.*
Flashback04|Flashback 04|Storyteller|*Ele vasculha pelas posses de seu Lorde Pai. Não há muito que lhe chame a atenção ali. Registros e demais papiradas administrativas. Correspondência do Olimpo que ele ignorou. Nenhum traço de qualquer referência a seu filho.*
Flashback05|Flashback 05|Storyteller|*Mas, então, ele encontra um bilhete... escrito delicadamente com uma letra e voz às quais o Príncipe jamais vira ou ouvira.*
Flashback05|Flashback 05|Persephone|*\"Hades: não aguento mais viver neste lugar. Então, estou indo embora, mesmo que isso me mate. Não retornarei ao Olimpo. Se há um lugar neste mundo que eu possa chamar de lar, deve estar em algum lugar entre o céu e o inferno. Talvez seja no litoral e tenha um pequeno jardim. Cuide do Cérbero; sentirei falta dele.\*
Flashback05|Flashback 05|Storyteller|*Assim, o Príncipe do Submundo, Zagreu, absorveu o conteúdo desta carta guardada, escrita pela mão de sua mãe.*
Flashback05|Flashback 05|Zagreus|''A mão de sua mãe''... a mão de minha mãe... espere, *como assim*?! Você está dizendo que essa tal de Perséfone é... a minha mãe...? Mas meu Pai sempre disse que Nix era minha... aquele mentiroso. Ele mentiu para mim, ambos mentiram. Toda a minha vida!
Flashback05|Flashback 05|Storyteller|*Argh! Então o Príncipe descobriu, por acaso, a verdade bem guardada sobre sua linhagem. Algo totalmente por acaso...*
