Id|Description|Speaker|Text
AchillesFirstMeeting_Alt|Achilles First Meeting Alt|Achilles|Bom te ver, rapaz. Você esteve terrivelmente ocupado ultimamente, não é? Me diga se houver algo que eu possa fazer. Mas pelo que ando ouvindo, você tem cuidado muito bem das coisas.
AchillesGrantsCodex|Achilles Grants Codex|Achilles|Você vai pegar o jeito, rapaz. Apesar de todas nossas sessões de luta, nada ensina melhor do que uma luta de verdade. Então, eu tenho algo para você.
AchillesGrantsCodex|Achilles Grants Codex|Zagreus|Espere, você está me dando seu Códex? Não posso aceitar algo assim!
AchillesGrantsCodex|Achilles Grants Codex|Achilles|Por favor, eu insisto. Quero que o seu amor pela história cresça, não apenas o seu amor pela guerra. Além disso, talvez você possa terminar o resto.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|Aquiles, é verdade mesmo que o Cérbero destruiu o saguão depois que eu saí? Ele deve ter se metido em muitos problemas.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Achilles|Eu só queria que você tivesse visto, rapaz. O lugar parecia um vinhedo depois de um tufão! Seu lorde pai estava lívido. Mas ele nunca fica muito bravo com o cachorro. Pobre Dusa, ela é que está arrumando o lugar.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|Ah, não... eu estava me perguntando o que havia acontecido com a Dusa. Ela está sempre preocupada que o pai vá demiti-la, mesmo sem uma coisa dessas.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|Tenho que dizer, rapaz! Este lugar parece mais vivo que o de costume, ultimamente. Parte da velha mobília sendo restaurada, novos móveis também... é bem agradável, de verdade. E é a você que devemos agradecer, não é?
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Zagreus|Ah, as reformas? Não é nada. Mas eu estou feliz por ter feito a diferença para melhor. Nosso empreiteiro está fazendo todo o trabalho, estou apenas cuidando dos pedidos.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|E da verba. Seu pai comanda o Submundo de certa forma. Esta velha Casa é extravagante, suponho, mas ele há muito tempo parou de tentar fazer dela mais habitável. Então, as mudanças são apreciadas.
