Id|Description|Speaker|Text
ZeusWithAphrodite01|Duo - Zeus and Aphrodite (1)|Zeus|Meu jovem, sei que você gostaria de conhecer a graciosa Afrodite cara a cara, ou sei lá, você poderá decidir assim que finalmente chegar aqui! Ele poderá decidir, não é mesmo, minha Lady Afrodite, hm?
ZeusWithAphrodite01|Duo - Zeus and Aphrodite (1)|Aphrodite|Nossa, jamais, Lorde Zeus! Esse pareceu ser um comentário um tanto grosseiro de *sua parte*! Que inesperado que seu semblante dourado e reluzente para todos, dirigiria tais palavras para *mim*!
AresWithAphrodite01|Duo - Ares and Aphrodite (1)|Ares|Vejo o dia em que você finalmente chegará ao Olimpo. Há poucos entre nós aqui com interesses como os que acho que compartilhamos.
AresWithAphrodite01|Duo - Ares and Aphrodite (1)|Aphrodite|Pelo menos alguns de nós compartilham interesses aqui, não é mesmo, Lorde Ares? Quanto a *você*, queridinho, leve todo o tempo que precisar!
AresWithAphrodite02|Duo - Ares and Aphrodite (2)|Ares|Guerras travadas por conta de amor, meu primo... pode imaginar isso? Lady Afrodite e eu temos discussões constantes sobre tais eventos. Acredito que, de tempos em tempos, você pare para se perguntar como você pôde escolher lutar tanto. Não que você precise de uma razão, é claro.
AresWithAphrodite02|Duo - Ares and Aphrodite (2)|Aphrodite|Ah, Lorde Ares, realmente não há razão de confundir os pensamentos e julgamento do nosso deusinho com comentários assim, *hm*? Vamos dar a ele o que ele quer, e podemos continuar isso só entre nós.
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Hei, *hum*, Zagreu! Eu estava pensando em uma coisa, e não leve a mal ou algo assim, certo? Ah, não. É ela.
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Aphrodite|Nossa, Ártemis, você está completamente sem palavras! Isso é por causa do nosso deusinho no Submundo, ou por conta de mim? *Hm-hm*, você vai descobrir em breve, tenho certeza!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Olhe, o que eu, *ugh*, só, esquece. Falo com você outra hora, eu acho.
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Artemis|Erm, Zagreu, apesar dos meus instintos de caçadora, parece que não consegui despistar Afrodite nesse assunto específico, pois ela insistiu que nos apresentássemos a você ao mesmo tempo, não sei por qual motivo...
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Aphrodite|Oh, pare com isso, Ártemis! Tenho certeza de que você é muito capaz de se esconder de uma fera comum, mas a conheço bem. Por que você não é honesta consigo mesma, na próxima vez?
AphroditeWithZeus01|Duo - Aphrodite and Zeus (1)|Aphrodite|Queridinho, seu tio deseja falar contigo de nossa montanha, mesmo que eu tivesse garantido a ele que temos tudo sob controle!
AphroditeWithZeus01|Duo - Aphrodite and Zeus (1)|Zeus|Sejamos sinceros, Zagreu, a única coisa a qual Lady Afrodite tem sob controle é sua longuíssima lista de pretendentes salivantes, estou certo ou não estou? Afrodite, que tal dar logo sua benção e ir andando? Eu cuido das coisas por aqui.
