Id|Description|Speaker|Text
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Zeus|Então Zagreu, quando chegar, teremos de encontrar para você um par adequado, não é? Um garoto bonito que nem você! Normalmente, tem muitas opções disponíveis por aqui, com algumas exceções, claro... como minha filha astuta, Ártemis. Teimosamente se recusa a arranjar qualquer tipo de parceiro!
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Artemis|Sim, Zagreu, apesar de todos estes pretendentes perfeitos e sarados desfilando em todas as direções, desejando me desposar ou envergonhar, eu por algum motivo, prefiro passar meu tempo em maior parte sozinha ou com minhas amigas ninfas na floresta!
ArtemisWithZeus01|Duo - Artemis and Zeus (1)|Artemis|Tsk, ah, Zagreu... em vez de saudá-lo como normalmente faria, permita-me apresentar-lhe meu ilustre, gentil e generoso senhor meu pai, o seu notável Tio Zeus!
ArtemisWithZeus01|Duo - Artemis and Zeus (1)|Zeus|*Erm*, obrigado pela apresentação, Filha! Agora, prossiga, vá se divertir com suas ninfas ou algo assim! Deixe-me atender meu sobrinho aqui. Conceda a ele sua bênção leve, se desejar.
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Artemis|Você conhece meu pai e meu tio, a essa altura, certo, Zagreu? Não sei qual dos dois é pior. *Uh*, quero dizer... superior! Superior, a despeito de, tecnicamente, passar a maior parte do seu tempo no mar, sob o Olimpo, não é mesmo, Tio?
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Poseidon|Oh, Ártemis, você não precisava alardear isso ao pequeno Hades por minha conta! Além disso, esteja você no mar, acima dele, ou abaixo, faz pouca diferença para o seu valor como um deus! Vocês dois ainda são jovens! Continuem assim e logo serão praticamente tão grandes quanto eu!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Hei, *hum*, Zagreu! Eu estava pensando em uma coisa, e não leve a mal ou algo assim, certo? Ah, não. É ela.
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Aphrodite|Nossa, Ártemis, você está completamente sem palavras! Isso é por causa do nosso deusinho no Submundo, ou por conta de mim? *Hm-hm*, você vai descobrir em breve, tenho certeza!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Olhe, o que eu, *ugh*, só, esquece. Falo com você outra hora, eu acho.
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Artemis|Erm, Zagreu, apesar dos meus instintos de caçadora, parece que não consegui despistar Afrodite nesse assunto específico, pois ela insistiu que nos apresentássemos a você ao mesmo tempo, não sei por qual motivo...
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Aphrodite|Oh, pare com isso, Ártemis! Tenho certeza de que você é muito capaz de se esconder de uma fera comum, mas a conheço bem. Por que você não é honesta consigo mesma, na próxima vez?
ArtemisWithAres01|Duo - Artemis and Ares (1)|Artemis|Zagreu, eu gostaria que todos nós pudéssemos ouvi-lo para que o bom Lorde Ares aqui pudesse ser persuadido de que meus poderes servem para propósitos totalmente diferentes do que os dele!
ArtemisWithAres01|Duo - Artemis and Ares (1)|Ares|Talvez nosso conjunto de habilidades sirvam para propósitos diferentes, cara Ártemis; mas quem somos nós para duvidar do resultado final? Observe o que ocorrerá após concedermos ao nosso parente nosso poder combinado.
ArtemisWithAres02|Duo - Artemis and Ares (2)|Artemis|Zagreu, eu estava só querendo um pouco de privacidade antes dessa caçada, o que é quase sempre de minha preferência, exceto, sabe, Lorde Ares parece sempre me farejar, quando começo a mexer com equipamento de caça!
ArtemisWithAres02|Duo - Artemis and Ares (2)|Ares|Ora, minha cara Ártemis, a caçada é apenas um prelúdio para a guerra, não é mesmo? Se mortal algum soubesse caçar, oras, eles não seriam tão bons em se matarem uns aos outros.
ArtemisWithAres02|Duo - Artemis and Ares (2)|Artemis|Olhe, Lorde Ares, se eu te der melhores habilidades de pontaria, você acha que poderia ir incomodar outro alguém?
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Artemis|Ah ótimo, é você, Zagreu! Aqui, deixe-me te oferecer algumas Bençãos novinhas em folha, assim como Lorde Dionísio aqui, que tenho certeza que adoraria tagarelar na sua orelha assim como na minha!
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Dionysus|Eh, me diz que estou sendo barulhento demais, pra me afastar, e um monte de outras coisas desagradáveis assim, mas fazer o que, não é?
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Artemis|Ah, eae, Zagreu. Eu estava só tentando persuadir Lady Deméter a aplacar essa temporada nevada que ela tem causado faz um tempo. Alguns dos mortais ficaram bastante enfraquecidos, e com certeza não faz com que a caça fique mais fácil!
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Demeter|Os mortais se adaptam bem, Ártemis. Essa talvez seja sua única qualidade redentora! Eles vão achar um jeito de aguentar nosso longo inverno. Eles precisam, já que foram eles que trouxeram para si mesmos.
ArtemisAboutRamaAspect01|Artemis About Rama Aspect 01|Artemis|Um, Zagreu, você tentou falar com Coronacht nesse instante? Lembre-se, diga ao arco *Eu te vejo retesado nos braços do sétimo avatar! *Algo muito bom ocorrerá se o fizer, algum aspecto de um arqueiro divino, penso eu? Você vai experimentá-lo em breve ou não?
ArtemisAboutRamaAspect02|Artemis About Rama Aspect 02|Artemis|Ei, veja só! A mensagem deve ter funcionado! Eu praticamente consigo ver esse arco brilhante daqui! Eu mesma nunca empunhei Coronacht. Ainda não, pelo menos. Embora, se as Moiras estão enviando para mim visões de seus portadores do passado ou do futuro, ora, acredito que terei a honra de usá-lo um dia!
ArtemisAboutOlympianReunionQuest01|Artemis About Olympian Reunion Quest 01|Zagreus|Te encontrei, Caçadora, aqui. Em nome de Hades! Olimpo, esta é uma mensagem oficial! Especialmente para você, Lady Ártemis!
ArtemisAboutOlympianReunionQuest01|Artemis About Olympian Reunion Quest 01|Artemis|Algum tipo de mensagem especial para mim...! Oh, pelo jeito há uma para cada pessoa no Olimpo, então. Pareceu algo muito especial por um momento! E agora você me obriga a me comunicar com todos os outros. Excelente!
ArtemisPostEpilogue01|Artemis Post Epilogue 01|Artemis|Preciso dizer, passei um tempo muito agradável com todos durante nossa visitinha recente! Encontrei você, Tio Hades, até mesmo o grande Aquiles! Ainda não gosto da forma como você nos enganou, mas *eh*! Eu conseguirei superar, um dia. Seja como for, você ainda precisa do meu auxílio, não é?
ArtemisAboutZeus01|Artemis About Zeus 01|Artemis|Ah, o bom e velho Pai Zeus, ele deve ter te abençoado com seus raios, não foi? Sempre cuidando de todos.
ArtemisAboutPoseidon01|Artemis About Poseidon 01|Artemis|O Tio Poseidon te abençoou, não foi? E pensar que aquele ogro gordo é o irmão do seu próprio pai. Disseram para eu ser respeitosa perto dele, mas é difícil.
ArtemisAboutAthena01|Artemis About Athena 01|Artemis|Você já conheceu Atena, não foi? Eu nunca trocaria meu arco por toda aquela pompa e armadura, mas... cada um com seu gosto, eu acho.
ArtemisAboutAres01|Artemis About Ares 01|Artemis|Você é muito próximo do Ares, não é? E eles disseram que isso era impossível. Se eu fosse você, tomaria cuidado com ele.
ArtemisAboutAphrodite01|Artemis About Aphrodite 01|Artemis|Então, Afrodite chegou até você primeiro, não foi? Parece exatamente algo que ela faria. Ela tem um talento para arranjar problemas. Então, vamos manter o foco aqui!
ArtemisAboutDionysus01|Artemis About Dionysus 01|Artemis|Aquele exuberante e lascivo Dionísio tem você como amigo? Imagino que haja algum engano, não é, Zagreu?
ArtemisAboutHermes01|Artemis About Hermes 01|Artemis|Você parece estar bem ligeiro, Zagreu. Eu imaginaria que o próprio Hermes estaria acelerando os seus passos, exceto que eu não o vejo por ai há... já faz algum tempo, na verdade.
