Id|Description|Speaker|Text
ZeusWithAthena01|Zeus With Athena 01|Zeus|Ora, veja quem vem lá, Zagreu, se não é a brava Atena e toda a sua perspicácia, a primeira entre todos os meus filhos a aproximar-se de você. Tão proativa, entrou em contato com Zagreu antes mesmo de me comunicar, minha cara!
ZeusWithAthena01|Zeus With Athena 01|Athena|Meu Lorde Pai, quem dera eu pudesse resolver ainda mais assuntos de forma rápida e discreta, para que apenas os assuntos mais importantes cheguem à sua atenção, senhor. Embora, estou certa de que Zagreu e eu somos gratos que você tenha se envolvido.
AresWithAthena01|Ares With Athena 01|Ares|Eu só queria falar com você em particular mais uma vez, meu caro, mas, veja...
AresWithAthena01|Ares With Athena 01|Athena|...querido primo, que alguns membros da nossa família estão predispostos ao indescritível. Quero alertá-lo sobre meu meio-irmão, só isso. Agora continue.
AresWithAthena01|Ares With Athena 01|Ares|Você me interrompe mais uma vez, querida irmã. Você sabe que não me importo com isso. Não quero que você interfira nos meus assuntos. Ajudarei meu parente quando achar apropriado.
AresWithAthena01|Ares With Athena 01|Athena|Você só faz o que bem entende, Lorde Ares. Lembre-se de continuar na mesma direção que todos nós.
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Você deve nos perdoar, deusinho, quero dizer nossa família aqui no Olimpo! Alguns de nós são terrivelmente chatos, e devem estar fazendo com que as coisas fiquem muito mais complicadas do que precisam ser.
AphroditeWithAthena01|Aphrodite With Athena 01|Athena|Me pergunto, queridíssima Afrodite, se teria a boa vontade de repetir tais coisas diretamente para mim?
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Oh, você deve saber muito bem que eu faria muito mais do que apenas dizer isso diretamente para você, Atena querida! Francamente, você daria muito trabalho de ajudar!
AphroditeWithAthena02|Aphrodite With Athena 02|Aphrodite|Queridinho, você deve saber - a Deusa Atena e eu, nem sempre compartilhamos dos mesmos ideais, talvez porque ela pense demais cada coisinha, enquanto eu apenas deixo meu coração me guiar!
AphroditeWithAthena02|Aphrodite With Athena 02|Athena|Fico feliz que nos entendemos, então. Seria muito vergonhoso sermos pegas discutindo em frente ao Zagreu.
DionysusWithAthena01|Dionysus With Athena 01|Dionysus|Ei, Zag, quando você chegar, vai ser aquela festa, já vou avisando! Até mesmo Atena vai relaxar um pouquinho, pegar leve, entende, vai vestir algo mais confortável. É, vai ser {#DialogueItalicFormat}ótimo{#PreviousFormat}!
DionysusWithAthena01|Dionysus With Athena 01|Athena|Talvez Lorde Dionísio aqui seja o verdadeiro deus da estratégia, pois parece que ele está sempre estranhamente ciente de meus próximos movimentos, Primo. Mas, seja como for, eu irei tentar me manter focada na sua situação. Não nos banquetes dele.
AthenaWithZeus01|Athena With Zeus 01|Athena|Nobre primo, meu lorde-pai tomou interesse em sua jornada e sua luta, e agora procura ajuda-lo com os raios dos céus pessoalmente. E você tem todo o meu apoio também, é claro.
AthenaWithZeus01|Athena With Zeus 01|Zeus|Te agradeço pela generosa apresentação, justa Atena, sempre me sinto mais tranquilo quando você está por perto. Confio em nossa força combinada, sem dúvida nosso bom Zagreu terá sucesso!
AthenaWithPoseidon01|Athena With Poseidon 01|Athena|Quando eu notifiquei meu pai, Lorde Zeus, e outros membros de nossa família sobre sua existência, Zagreu, foi o Tio Poseidon quem tomou a iniciativa, e doou seu poder sobre o mar e a terra para ti. Não foi, Tio?
AthenaWithPoseidon01|Athena With Poseidon 01|Poseidon|Exatamente, Atena! Você, com sua bela memória! Não é todo dia que se descobre que meu tristonho irmão Hades teve um belo filho assim! Ele não sabe a sorte que tem! E {#DialogueItalicFormat}você{#PreviousFormat}, Sobrinho, poderia ter ainda mais sorte {#DialogueItalicFormat}aqui{#PreviousFormat}!
AthenaWithAphrodite01|Athena With Aphrodite 01|Athena|O seu dilema aproximou a nossa família, unida em um desejo de ajudá-lo, Primo. Até mesmo os que, normalmente, não pensam em ninguém mais além de si mesmos.
AthenaWithAphrodite01|Athena With Aphrodite 01|Aphrodite|Oh, se eu tivesse a sabedoria que você tem, cara Atena, eu seria muito mais capaz de captar provocações e insultos como esses! Você não engana ninguém com a sua falsa benevolência, você sabe disso.
