Id|Description|Speaker|Text
ChaosAboutBeowulfAspect01_A|Chaos About Beowulf Aspect 01 A|Chaos|Sinto que você ainda não falou com o artefato que tudo vê, chamado de Aegis. Interfira com os desígnios das Moiras o quanto quiser, então. Mas se você mudar de ideia, diga ao artefato as palavras a seguir: *Eu te vejo se mantendo firme contra a chama da serpente.*
ChaosAboutBeowulfAspect01|Chaos About Beowulf Aspect 01|Chaos|Você ainda não usou a frase de despertar que transmiti? Ou, talvez, você simplesmente optou por não mostrar-me o resultado. Eu gostaria de ver isso em algum momento. Lembre-se, Filho de Hades: diga ao artefato que tudo vê, *Eu te vejo se mantendo firme contra a chama da serpente.*
ChaosAboutBeowulfAspect02|Chaos About Beowulf Aspect 02|Chaos|Entre as infinitas possibilidades que se apresentam, ergue-se perante mim o Filho de Hades, portando meu artefato que tudo vê, mostrando-se com a aparência de um portador ainda não nascido, que será conhecido em todo o norte como Beowulf. Que divertido.
ChaosSurfaceQuestComplete|Chaos Surface Quest Complete|Chaos|Senti levemente que você conseguiria confrontar seu pai enquanto estivesse de posse do meu pequeno catalisador redondo. Me parece que o meu pedido e o seu sucesso também estavam de acordo com os desígnios das Moiras. O resultado é ainda mais divertido do que o esperado. Por isso, eu agradeço.
ChaosAboutNyx05|Chaos About Nyx 05|Chaos|Detectei atividades incomuns nas proximidades do Submundo, Filho de Hades... vasta quantidade de Escuridão, coletada em um catalisador antigo, que vejo agora quase como um farol, brilhando na noite. Este é o trabalho de Nix, ou seu, ou de ambos. Estou prevendo o resultado.
ChaosAboutNyx06|Chaos About Nyx 06|Chaos|Me agrada imensamente, Filho de Hades, ter visto a deusa Nix novamente. A significativa quantidade de tempo decorrido desde que isso aconteceu suavizou suficientemente as velhas feridas, eu penso. Assim, tornou-se a base sobre a qual nossa conexão poderá, no devido tempo, ganhar forma novamente.
ChaosAboutResponding01|Chaos About Responding 01|Chaos|Conforme nos familiarizamos, Filho de Hades, devo ser bem clara sobre um aspecto: temo que me falta paciência para discussões. Durante suas visitas, simplesmente ouça, aceite a minha marca e, em seguida, saia. Ou faça-o quando solicitado. Sim?
ChaosAboutResponding01|Chaos About Responding 01|Zagreus|...Simplesmente ouvir, então é exatamente como quando recebo aquelas mensagens dos Olimpianos. Espere, você acabou de fazer uma solicitação, certo, Mestre Caos? Ou eu deveria ter ficado em silêncio agora?
ChaosAboutResponding01|Chaos About Responding 01|Chaos|Não posso oferecer nenhum conselho. Mas sim, você recebeu uma solicitação. Pode falar livremente, ou sempre que quiser, a despeito do meu desejo de que você não o faça. O silêncio absoluto é, geralmente, a minha preferência. Pode não ser a sua.
ChaosAboutNyx01|Chaos About Nyx 01|Chaos|Entendo que Zeus e todos os seus parentes no Monte Olimpo pensem que você nasceu de Hades e da deusa Nix. Fiquei feliz ao saber desse engano. Nix foi mãe de muitos membros do Submundo, então, por que não você?
ChaosAboutNyx01|Chaos About Nyx 01|Zagreus|Ela não é minha mãe biológica, mas ela é como uma mãe para mim. Você a conhece?
ChaosAboutNyx01|Chaos About Nyx 01|Chaos|Oh, eu conheço a deusa Nix muito bem, é claro. Mas já faz um tempo desde a última vez que nos comunicamos, e eu temo... bem, eu não era do tipo bondoso, naquela época. Minha esperança é que Nix esteja bem.
ChaosAboutNyx01_B|Chaos About Nyx 01 B|Chaos|Eu sabia que você iria chegar. Mas apenas nos momentos imediatamente anteriores ao fato. Assim, estou vivenciando um resquício de surpresa. Os seus movimentos pelo Submundo são como se um véu de escuridão o ocultasse. Influência da deusa Nix, talvez? Responda.
ChaosAboutNyx01_B|Chaos About Nyx 01 B|Zagreus|Eu... não sei exatamente como responder a isso, Mestre Caos, mas Nix, sim, ela tem me auxiliado em minhas tentativas de fugir do reino do meu pai.
ChaosAboutNyx01_B|Chaos About Nyx 01 B|Chaos|Você se movimenta na escuridão, não tão infinitamente negra quanto a dela, mas me trás lembranças, entretanto. Eu a convidaria para tentar elucidar essa dúvida, e tentaria localizá-la. Uma diversão menor importância para nós dois. Agora, vejo que tenho você para fazer isso.
ChaosPostEnding01|Chaos Post Ending 01|Chaos|Recentemente, Filho de Hades, senti o que eu chamaria de um tipo de mudança brusca na residência do seu pai. Aconteceu algo digno de nota, talvez? Responda.
ChaosPostEnding01|Chaos Post Ending 01|Zagreus|Mestre Caos, é Perséfone, minha mãe. Ela voltou! Ela escolheu voltar. Então... as coisas parecem diferentes, sem dúvida, com ela por perto mas... eu não senti nenhuma mudança brusca.
ChaosPostEnding01|Chaos Post Ending 01|Chaos|Você pode não sentir essas mudanças da mesma forma que eu. A leveza deste espaço se dobra e se ajusta com o tempo. O que você descreve... deve ter sido a causa. Creio que a ocasião é bem -vinda. E estou satisfeito porque você voltou, mesmo assim.
ChaosAboutOlympianReunionQuest01|Chaos About Olympian Reunion Quest 01|Chaos|Mais uma vez, senti um tipo de instabilidade na residência de seu pai. Você quer fazer perguntas a mim sobre isso, não é? Responda.
ChaosAboutOlympianReunionQuest01|Chaos About Olympian Reunion Quest 01|Zagreus|Ah, fico feliz que você tenha perguntado, é só que... minha mãe, ela... nós estamos entrando em contato com os Olimpianos. Tentando reconectar a família. Já faz um tempo, relativamente, desde que ela e meu Pai viram os outros, mas... no caso de uma reunião realmente ocorrer, eu gostaria que você soubesse que está oficialmente convidado, também.
ChaosAboutOlympianReunionQuest01|Chaos About Olympian Reunion Quest 01|Chaos|Oficialmente convidado...? Uma proposta generosa, Filho de Hades, embora, a menos que a sua reunião ocorra no meu espeço, entenda que seria difícil para mim transportar para lá a enormidade da minha presença. Contudo... penso que conseguirei estar com vocês de alguma forma. Obrigado.
ChaosPostEpilogue01|Chaos Post Epilogue 01|Chaos|Muito me agrada que a sua reunião com os Olimpianos aconteceu. Devo informá-lo... Eu jamais detectei tantos dos meus rebentos reunidos em um único espaço. Pelo menos, não sem nenhuma intenção de violência. Estou grato por você ter me incluído e que retornou. Devemos continuar, então?
ChaosPostEpilogue01_B|Chaos Post Epilogue 01 B|Chaos|Muito me agrada que a sua reunião com os Olimpianos aconteceu. Devo informá-lo... Eu jamais detectei tantos dos meus rebentos reunidos em um único espaço. Pelo menos, não sem nenhuma intenção de violência.
ChaosAboutZeus01|Chaos About Zeus 01|Chaos|Você carrega a bênção do grande Lorde Zeus. Ele ainda acredita ter o domínio sobre o céu e a terra. Eu acho, que talvez, ele tenha se esquecido de mim.
ChaosAboutPoseidon01|Chaos About Poseidon 01|Chaos|Lorde Poseidon ofereceu sua bênção a você, ao que parece. Ele pode ser bastante arrogante e beligerante, exibindo os piores desvios de personalidade de seu pai e de Lorde Zeus.
ChaosAboutAthena01|Chaos About Athena 01|Chaos|Esta sábia deusa Atena impregnou você com seus encantos, eu vejo, ó filho de Hades. Talvez ela ache que você seja uma ferramenta com a qual sua família desestruturada ainda pode ser consertada.
ChaosAboutAres01|Chaos About Ares 01|Chaos|Não é de se surpreender que você se associe ao violento Ares, e agora carregue a sua bênção. Ele ainda me adora, sabe; no entanto, eu diria que ele não me conhece muito bem.
ChaosAboutAphrodite01|Chaos About Aphrodite 01|Chaos|Os encantos da deusa Afrodite estão sobre você inconfundivelmente, mas estou curiosa para ver se o controle que ela tem sobre o sentimento do amor nas pessoas terá algum efeito sob a terra.
ChaosAboutArtemis01|Chaos About Artemis 01|Chaos|Entendo que a deusa caçadora Ártemis recentemente passou a olhar para você. É inesperado vê-la oferecer ajuda, mesmo a um parente necessitado.
ChaosAboutDionysus01|Chaos About Dionysus 01|Chaos|Aquele bêbado, Dionísio, ofereceu seus serviços a você, não é mesmo? Ele pode ser bastante imprevisível e, por isso, oferece-me uma fonte de diversão.
ChaosAboutHermes01|Chaos About Hermes 01|Chaos|Vejo que o ligeiro Hermes o impulsiona, Ó Filho de Hades. Cuidado com a distância estreita entre a precipitação e a rapidez; uma distinção que não tenho certeza se o deus das viagens compreende totalmente.
ChaosAboutDemeter01|Chaos About Demeter 01|Chaos|A amargurada Deméter alcançou você, pelo que vejo. Ela já foi cheia de calor, sabia; mas ultimamente, pelo que sei, ela está mais propensa a remover calor.
ChaosAboutOlympians01|Chaos About Olympians 01|Chaos|Você já conheceu muitos dos deuses do Olimpo, cada um estimulando você rumo ao topo do monte. Eles atribuem esse valor a laços familiares, mas nenhum deles se lembra de quem eu sou. Não deposite muita fé neles, ó Filho de Hades.
ChaosAboutOlympians02|Chaos About Olympians 02|Chaos|Peço para você ouvir, mas não falar, Ó Filho de Hades, enquanto os Olimpianos? Eles não fazem perguntas. Eles simplesmente enviam mensagens a você, indesejadas, fornecendo uma opção de bênçãos, mas sem nada a dizer. Procuro compreender o ponto de vista deles. Mas é difícil.
ChaosAboutOlympians03|Chaos About Olympians 03|Chaos|Quando você estende uma oferenda aos Olimpianos, por um breve instante, parece que eles conseguem ouvir suas preces. Ou assim observei. Interessante que seus pensamentos são capazes de se libertarem, mas você não.
ChaosAboutHades01|Chaos About Hades 01|Chaos|Quando seu pai e seus irmãos prenderam os Titãs nos confins mais sombrios deste mundo, essa também foi a última vez que me viram. Você é diferente deles, e eu me sinto seguro em compartilhar isso com você.
ChaosAboutNyx01_C|Chaos About Nyx 01 C|Chaos|Às vezes fui descortês com a deusa Nix, quando éramos mais próximos, há muito tempo. Depois que ela teve os primeiros filhos, eu, entretanto, esperei que sua atenção permaneceria exclusiva. Eu continuei criando. Quando, finalmente, parei, percebi meu erro. Mas nosso vínculo havia sido rompido, àquele ponto.
ChaosAboutNyx02|Chaos About Nyx 02|Chaos|Sinto que algo está errado, Filho de Hades. Então, diga no que você está pensando? Posso adivinhar algumas coisas sem que precise me contar, mas prefiro ouvir de você, voluntariamente.
ChaosAboutNyx02|Chaos About Nyx 02|Zagreus|*Err*, Mestre Caos? A deusa Nix, ela... parece querer falar com você novamente. Me pergunto, você gostaria de falar com ela algum dia? Ela parece convencida de que você precisa tomar a iniciativa, se você quiser.
