Id|Description|Speaker|Text
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|{#DialogueItalicFormat}Mmmrrrrnnn{#PreviousFormat}....
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Zagreus|Me diga, Caronte, o seu sócio, Hermes, aparentemente fez uma aposta com você de que eu poderia te derrotar duas vezes seguidas em algum momento? Eu odiaria desapontá-lo, então... sem ressentimentos?
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|{#DialogueItalicFormat}Nnnrrrraaaaaauugggghhh{#PreviousFormat}!!
BossCharonEncounter01|Boss Charon Encounter 01|Charon|Haaahhhhh....
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|Hm, Caronte... eu posso explicar. É só que... eu acabei ficando acostumado a só sair pegando tudo que encontro pelo reino do meu pai. Eu não estava roubando de você, sério!
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|Isso não pareceu um som de quem compreendeu. Espera, por que está brandindo seu remo de uma forma tão ameaçadora?
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Você só está me testando aqui, não está, Caronte? Quero dizer, quando você coloca uma quantia imensa de dinheiro bem à vista, e ao meu alcance, o que você espera que eu faça?
BossCharonEncounter02|Boss Charon Encounter 02|Charon|Nrrnnhhh, hnnnn, hrrnn, {#DialogueItalicFormat}hrrrrrnnn{#PreviousFormat}...
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Parece bom, amigão, quando eu te roubar daqui para a frente, considere minha forma de dizer {#DialogueItalicFormat}''Caronte, eu gostaria de uma luta até a morte com você para quebrar um pouco a rotina''{#PreviousFormat}.
BossCharonMiscStart01|Boss Charon Misc Start 01|Charon|{#DialogueItalicFormat}Hrrrnnnggghh{#PreviousFormat}....
BossCharonMiscStart02|Boss Charon Misc Start 02|Charon|{#DialogueItalicFormat}Grrnrnhh, rrraahhh{#PreviousFormat}!
BossCharonMiscStart03|Boss Charon Misc Start 03|Charon|{#DialogueItalicFormat}Hrraaaahhhhhh{#PreviousFormat}!!
BossCharonMiscStart04|Boss Charon Misc Start 04|Charon|Hrrn... {#DialogueItalicFormat}grrraaauuuggghh{#PreviousFormat}!!
BossCharonMiscStart05|Boss Charon Misc Start 05|Charon|Rrnn... {#DialogueItalicFormat}hhrraaaauuuggghh{#PreviousFormat}!!
BossCharonMiscStart06|Boss Charon Misc Start 06|Charon|Grrr... {#DialogueItalicFormat}nrrraauuuggghhh{#PreviousFormat}!!
BossCharonMiscStart07|Boss Charon Misc Start 07|Charon|Urrh... {#DialogueItalicFormat}urraaauuuggghh{#PreviousFormat}!!
BossCharonMiscStart08|Boss Charon Misc Start 08|Charon|Krrr... {#DialogueItalicFormat}krraauuuggghh{#PreviousFormat}!!
BossCharonMiscStart09|Boss Charon Misc Start 09|Charon|Hhh, {#DialogueItalicFormat}hrreehhhhh{#PreviousFormat}!!
BossCharonOutro01|Boss Charon Outro 01|Charon|Haahh, nrraugh, {#DialogueItalicFormat}haaaaah{#PreviousFormat}!!
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Zagreus|Peguei você, amigão! Duas vezes seguidas. Acho que Hermes ganhou a pequena aposta dele com você, então. Diga a ele que eu disse {#DialogueItalicFormat}''hrrrrrnnnggghh''{#PreviousFormat}!
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Charon|{#DialogueItalicFormat}Hrrrrrnnnggghh{#PreviousFormat}...
CharonFirstMeeting|Charon First Meeting|Charon|Gguhhhhhh....
CharonFirstMeeting|Charon First Meeting|Zagreus|Mas que bom ver você, Caronte, meu amigão! Só estou cuidando dos meus assuntos, apreciando as paisagens, e, ei - o que você tem aí? Algum tipo de loja? Então, vou só dar uma olhada.
CharonNoFastTravel01|Charon No Fast Travel 01|Zagreus|Erm, Caronte, amigão...? Não suponho que tenha pensado a respeito da minha proposta de... sabe, me levar de barco até a superfície? Já que faz parte da sua rota.
CharonNoFastTravel01|Charon No Fast Travel 01|Charon|{#DialogueItalicFormat}Urrraaauuhggghh{#PreviousFormat}....
CharonShopMeeting02|Charon Shop Meeting 02|Zagreus|Olá, bom vê-lo aqui, amigão! Parece que você tem mercadorias finas para vender, não é mesmo?
CharonShopMeeting02|Charon Shop Meeting 02|Charon|Urrrnngghhhhh....
CharonShopMeeting03|Charon Shop Meeting 03|Charon|Haaahhhhhhhhh....
CharonShopMeeting03|Charon Shop Meeting 03|Zagreus|Um bom dia para você também, amigão! Agora, que tal darmos uma olhada no seu estoque?
CharonShopMeeting04|Charon Shop Meeting 04|Zagreus|Você deve fazer várias paradas por aqui, não é, Caronte, amigão? A maior parte dos mortos estão aqui em Asfódelo, correto?
CharonShopMeeting04|Charon Shop Meeting 04|Charon|Nnnnrrrrrhhh....
CharonShopMeeting05|Charon Shop Meeting 05|Zagreus|E aí, Caronte, eu estou em Asfódelo agora, não é? Eu sempre ouvi dizer que era um tipo de planície coberta de flores e não... a definição de inferno.
CharonShopMeeting05|Charon Shop Meeting 05|Charon|Hhhhaaaaaaahhh....
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Zagreus|Ei, Caronte. Se houver algo realmente horrível me esperando além daquela porta, então... me dê um sinal, tá?
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Charon|Hhhaaaaaaahhh....
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Zagreus|Poderia me dar quaisquer dicas sobre qual tipo de terrível monstruosidade espera por mim na próxima ilha infernal, Caronte, amigão?
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Charon|{#DialogueItalicFormat}Hheeehhhhhhh{#PreviousFormat}....
CharonHighRelationship01|Charon High Relationship 01|Zagreus|Bem, olha só para você, Caronte, meu amigão, você parece bem! Tem algo diferente em você, mas não sei dizer exatamente o que é. Fez alguma coisa no cabelo?
CharonHighRelationship01|Charon High Relationship 01|Charon|{#DialogueItalicFormat}Urrraaauuhggghh{#PreviousFormat}...
CharonPostFight_YouWon01|Charon Post Fight You Won 01|Zagreus|Ei, Caronte, você não está com raiva de mim depois da última vez em que colocamos tudo a limpo, está... Quero dizer, eu achei que, como você me deu um dos seus Cartões de Fidelidade, significava que devia estar tudo bem, mas... eu... só queria ter certeza.
CharonPostFight_YouWon01|Charon Post Fight You Won 01|Charon|Krrr, {#DialogueItalicFormat}krraauuuggghhhh{#PreviousFormat}...!
CharonPostFight_YouLost01|Charon Post Fight You Lost 01|Zagreus|Sem ressentimentos sobre toda aquela questão da última batalha até a morte, certo, Caronte? Principalmente porque você me destruiu. Eu estava só te zoando, você sabe disso, não é?
CharonPostFight_YouLost01|Charon Post Fight You Lost 01|Charon|Nrraaauuuggghhh...!
CharonAboutHermes01|Charon About Hermes 01|Zagreus|Oi, Caronte! Finalmente conheci Hermes, deus da rapidez, viaja trazendo almas dos que partiram para o seu barco. Ele te chama de parceiro profissional. Você e ele estão trabalhando juntos há um tempo, não estão?
CharonAboutHermes01|Charon About Hermes 01|Charon|Hrrrrrrnnnnghhhhhhhh...
CharonAboutHermes02|Charon About Hermes 02|Zagreus|Caronte, sempre pensei que os deuses do Olimpo nunca se associariam a deuses ctônicos, como você. Mas parece que Hermes é um colega próximo de você. Por um acaso, você não... sabe por que ele está me ajudando, sabe?
CharonAboutHermes02|Charon About Hermes 02|Charon|Grrrhhhooo{#DialogueItalicFormat}aaaaaahhhh{#PreviousFormat}...!
CharonAboutSkelly01|Charon About Skelly 01|Zagreus|Caronte, amigão, eu sei que você encontra um montão de mortos, e provavelmente acaba ficando difícil se lembrar de todos, mas... suponho que o nome '{#DialogueItalicFormat}Zé Caveira'{#PreviousFormat} não te faça se lembrar de alguém, faz?
CharonAboutSkelly01|Charon About Skelly 01|Charon|...Ssss... kkkhhh... rrrrnngghhh... {#DialogueItalicFormat}raauuuggghhh{#PreviousFormat}!!
CharonAboutCustomerLoyalty01|Charon About Customer Loyalty 01|Zagreus|Caronte, amigão? Como um cliente de longa data, só queria tomar um momento para dizer obrigado, mais uma vez, por seu inestimável serviço em minhas repetidas tentativas de sair daqui. O que eu teria feito sem suas mercadorias todas essas incontáveis vezes? Além de morrer ainda mais depressa.
CharonAboutCustomerLoyalty01|Charon About Customer Loyalty 01|Charon|Hrrnngghh, grhhh, {#DialogueItalicFormat}grhaaaaaaaahhhh{#PreviousFormat}...
CharonAboutSecretService01|Charon About Secret Service 01|Zagreus|Caronte? Sem nenhuma relação com qualquer coisa, eu só queria dizer que... estou muito grato por ter o seu apoio. Você sempre fez o que dava na telha... Eu nunca te vi na Casa. Mas eu sei que você se importa! E muito. Então, valeu.
CharonAboutSecretService01|Charon About Secret Service 01|Charon|...Khhrraaa {#DialogueItalicFormat}hhaaaaahhhh{#PreviousFormat}...
CharonChat03|Charon Chat 03|Charon|Hrrnmmmm....
CharonChat04|Charon Chat 04|Charon|Khhhrrrrr....
