Id|Description|Speaker|Text
AresWithDionysus01|Duo - Ares and Dionysus (1)|Ares|Ah, meu primo! Eu só estava indagando com o Lorde Dionísio aqui ''sob quais circunstâncias os maiores banquetes dos mortais são preparados''? Porque eu tenho um certo palpite, a respeito disto...
AresWithDionysus01|Duo - Ares and Dionysus (1)|Dionysus|Certo, certo, Ares, eu dou o braço a torcer, camarada. Não há nada como um festim após uma guerra, é isso aí! Desde que você esteja do lado dos sobreviventes, quero dizer! Caso contrário, acredito que eles estejam festejando com *você *aí embaixo, Zag!
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Artemis|Ah ótimo, é você, Zagreu! Aqui, deixe-me te oferecer algumas Bençãos novinhas em folha, assim como Lorde Dionísio aqui, que tenho certeza que adoraria tagarelar na sua orelha assim como na minha!
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Dionysus|Eh, me diz que estou sendo barulhento demais, pra me afastar, e um monte de outras coisas desagradáveis assim, mas fazer o que, não é?
AphroditeWithDionysus01|Duo - Aphrodite and Dionysus (1)|Aphrodite|Meus poderes, queridinho, frequentemente combinam bem com os do Dionísio, com seu poder de convencer mentes a encontrarem beleza onde não há!
AphroditeWithDionysus01|Duo - Aphrodite and Dionysus (1)|Dionysus|*Ah, haha*, não precisa me lisonjear assim, Lady Afrodite! A beleza está quase que completamente na mente de quem vê, certeza! E também nos músculos, num queixo forte e num sorriso galã e... bem, quem sou eu para te dizer o que é belo, né?
DionysusWithZeus01|Duo - Dionysus and Zeus (1)|Dionysus|Ei, Zag, meu pai está aqui e quer falar com você. Seja legal, e concorde com o que ele disser, certo?
DionysusWithZeus01|Duo - Dionysus and Zeus (1)|Zeus|Aquele Dionísio, sempre muito gentil com as apresentações. Que bom que pelo menos ele mostra o devido respeito por mim. Talvez um dia ele possa instruí-lo nos costumes aqui do Olimpo.
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|*Uh*, Zag, *ahh*... seu tio está por aqui. Não meu Pai, *hmm*, quero dizer o outro, e ele queria ver como você está, se está bem, então...
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Poseidon|*Ah-hah*, aí está você, meu sobrinho! Dionísio tá te mostrando como se faz ou o quê? Se quer uma festa de verdade, é só vir *comigo*! Agora, receba minha benção, *vá*!
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|*Oh*, então, tamo aqui cara, esperando por você! Sabemos que vai conseguir! Eu diria, eventualmente?
