Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...Eu passei muitos dias cuidando desse jardim... ou noites? É meio difícil saber as horas aqui. Mas, ele durou mais tempo do que eu esperava...
Ending01|Ending 01|Hades|...Perséfone... Eu...
Ending01|Ending 01|Persephone|Cérbero! Senti sua falta. E um bom garoto como sempre, não é?
Ending01|Ending 01|Hades|...Me desculpe. Saiba que sinto muito.
Ending01|Ending 01|Persephone|Hades... você parece cansado. Entretanto, eu não sou a única a quem você deveria pedir desculpas.
Ending01|Ending 01|Hades|Eu sei. Eu sei, eu... por que você voltou? Se o Olimpo... se sua mãe descobrir o que aconteceu, nem mesmo Zeus, nem mesmo {#DialogueItalicFormat}ele {#PreviousFormat}poderia impedir o que aconteceria, aqui!
Ending01|Ending 01|Persephone|Ah, eu tenho algumas ideias sobre como poderemos resolver isso. Entretanto, precisarei que você e o Zagreu cooperem comigo numa solução. Ou, se você preferir, eu poderia voltar para o lugar de onde vim.
Ending01|Ending 01|Hades|Uma solução? O que, você pretende convidar eles pra tomar uma Ambrósia? Nem mesmo você consegue consertar uma família disfuncional, Perséfone.
Ending01|Ending 01|Persephone|Você está certo, Hades! Eu não consigo. Não sozinha, certamente. Então, vai me ajudar ou o quê?
Ending01|Ending 01|Hades|...Eu faria qualquer coisa que me pedisse.
Ending01|Ending 01|Persephone|Então, primeiro, fale com o seu filho.
Ending01|Ending 01|Hades|...Mm. Zagreu? Você já conheceu a Perséfone, nossa Rainha. Eu espero que você demonstre respeito a ela, a todo momento!
Ending01|Ending 01|Zagreus|Uau, Pai, você me chamou pelo meu nome! Que sensação estranha é esta que estou sentindo? Será que é esse o {#DialogueItalicFormat}respeito {#PreviousFormat}a que você se refere?
Ending01|Ending 01|Persephone|Ah, parem, vocês dois. Não faça eu me arrepender, Hades. Fale com ele honestamente. Sobre você, não eu. Vai lá.
Ending01|Ending 01|Hades|Sim. Eu... Zagreu. Eu sei que algumas vezes... eu deixei meu mau humor cair sobre você. Eu demonstrei pouca paciência. Muitas vezes, questionei seu julgamento, quando, na verdade o meu próprio era falho. Então, expresso meu arrependimento a você, meu filho. Não tenho nenhuma desculpa. E também não peço perdão.
Ending01|Ending 01|Zagreus|E sobre a parte que você mentiu pra mim sobre minha Mãe, você se arrepende disso? Seu mau humor, você descontando em mim... Eu já espero isso de você há muito tempo. E eu te ressenti por isso. Mas eu sempre achei que... você era honesto.
Ending01|Ending 01|Hades|Sua mãe não veio para cá de boa vontade quando nós nos conhecemos. Quando ela foi embora... acreditando que você tinha nascido morto... a decisão dela foi definitiva. Eu acreditei que ela estava melhor sem nós, incluindo o Olimpo. Mentir para vocês... rasgou meu coração. Mas precisava ser feito.
Ending01|Ending 01|Zagreus|Bom, você não precisava jogar sobre mim, durante minha vida toda, todo esse seu tormento interno. Mas eu acho que entendo. Eu só queria que você tivesse entendido mais cedo. Então, er... e agora? Eu fiquei tão acostumado a saquear o seu domínio, acho que vou sentir falta.
Ending01|Ending 01|Hades|Sobre isso... sua pilhagem revelou inúmeras falhas da nossa segurança. Do tipo que nunca entra nos relatórios. Nossa reputação se mantém no fato de não ter como escapar daqui. Será que você poderia... continuar tentando escapar? Não pelo meu bem. Mas pelo bem desse reino. Pela Rainha.
Ending01|Ending 01|Persephone|Zagreu... Se você continuar lutando pra sair daqui... Vai manter as aparências de que tudo continua como sempre.
Ending01|Ending 01|Zagreus|Uma pergunta, Pai. Vamos dizer que eu aceite. Da próxima vez que eu chegar na superfície... você ainda vai estar esperando lá?
Ending01|Ending 01|Hades|Ah, garoto. Se você acha que, por um momento, eu facilitaria para você; irá aprender logo que não é o caso.
Ending01|Ending 01|Zagreus|Eu só continuo lutando até a superfície e matando repetidamente meu próprio Pai, então?
Ending01|Ending 01|Hades|Você está só meio certo!
Ending01|Ending 01|Persephone|Talvez passe também pela minha cabaninha no caminho? Cuidar do jardim não daria muito trabalho. Eu gostaria de manter aquele lugar em bom estado. Caso eu não aguente a sofrência deste lugar por muito tempo.
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}Hahaha{#PreviousFormat}, bom! Vou ver o que posso fazer, eu acho.
Ending01|Ending 01|Persephone|Faça o melhor que puder. E, claramente, também tenho trabalho para fazer. Eu diria que temos muito à nossa frente. Então, devemos começar?
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}Depois de todo esse tempo{#PreviousFormat}, foram apenas alguns dias! Mas tem sido bom. Minha Mãe e meu Pai estão juntos novamente, fizeram alguns amigos novos, consegui essa pintura chique! Fácil. Está tudo bem no Submundo!
LordHadesAboutPersephoneMeeting01|Lord Hades About Persephone Meeting 01|Hades|Agora você sabe disso, mesmo que você for capaz de me superar, você perecerá no final, logo após. E ainda assim persiste! Quão sem sentido.
LordHadesAboutPersephoneMeeting01|Lord Hades About Persephone Meeting 01|Zagreus|Eu a encontrei, Pai. E vou encontrar minha Mãe de novo. De novo, e de novo, até que eu finalmente receba algumas respostas. Ela gostaria de algumas respostas também, começando com {#DialogueItalicFormat}''por que você nunca contou a ela que eu sobrevivi''{#PreviousFormat}? Você a deixou ir, e a deixou sofrer o luto sozinha!
LordHadesAboutPersephoneMeeting01|Lord Hades About Persephone Meeting 01|Hades|{#DialogueItalicFormat}Silêncio{#PreviousFormat}, garoto! Guarde todas suas acusações ignorantes e sem cabimento. Você parece ser incapaz de ouvir meus pedidos de não se intrometer em assuntos que jamais irá compreender. Então, pouparei meu folego para esta luta!
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Hades|Nem era para você ter vivido. Precisou de toda a força de Nix para alterar o que era uma absoluta certeza. Agora você não consegue permanecer morto. Tal é o humor irônico das Moiras.
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Zagreus|Nix me salvou... Então, de acordo com as Moiras nem era para eu ter nascido, já que nem você ou minha Mãe eram nativos do Submundo, alguma coisa assim? Ou essa também foi só mais uma mentira que você contou, para minha Mãe e para todo mundo?
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Hades|{#DialogueItalicFormat}Bah! {#PreviousFormat}Você acha que tudo é mais uma mentira. O reino sob nossos pés foi entregue a mim sob certas condições, não que eu tivesse podido escolher. Entre elas: alguém da superfície como eu jamais poderia ter um herdeiro.
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Zagreus|Você realmente acreditava nisso? Então por que sequer tentar ter uma criança?
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Hades|Você não sabe de nada! Porque alguém {#DialogueItalicFormat}escolheria {#PreviousFormat}ter uma criança é um mistério para mim. As Moiras disseram que eu nunca teria um herdeiro. Talvez {#DialogueItalicFormat}isso {#PreviousFormat}é o que queriam dizer.
LordHadesAboutPersephoneMeeting05|Lord Hades About Persephone Meeting 05|Hades|E pensar que o Olimpo o esteve ajudando. Você deve estar realmente grato a eles por seu apoio, sem o qual nada disso teria sido possível.
LordHadesAboutPersephoneMeeting05|Lord Hades About Persephone Meeting 05|Zagreus|Ah é, sobre isso. Pai, você.... você deixou a minha Mãe ir porque temeu que o Olimpo descobriria? E... que não responderiam bem às circunstâncias se descobrissem?
LordHadesAboutPersephoneMeeting05|Lord Hades About Persephone Meeting 05|Hades|{#DialogueItalicFormat}Tsch. {#PreviousFormat}Sinta-se grato por não terem descoberto ainda, com o tanto de confusão que você causou. Você não os conhece tão bem quanto pensa. Pergunte a si mesmo porque ela deixou o Olimpo e como. Ou melhor, pergunte {#DialogueItalicFormat}a ela{#PreviousFormat}.
LordHadesAboutPersephoneMeeting05|Lord Hades About Persephone Meeting 05|Zagreus|Bem, ela parece bem amável, então... te conhecendo, você provavelmente a enganou e convenceu a assinar algum contrato para ela se juntar a você, ou algo do tipo. Já que você não podia ir ao Olimpo, porque não trazer o Olimpo até você?
LordHadesAboutPersephoneMeeting05|Lord Hades About Persephone Meeting 05|Hades|{#DialogueItalicFormat}Hah{#PreviousFormat}! Surpreendentemente não tão longe da realidade. Eu a peguei, garoto! Eu a trouxe comigo até aqui embaixo. É isso que você quer ouvir? Isso te irrita? Venha, liberte esta raiva, então!
LordHadesAboutPersephoneMeeting06|Lord Hades About Persephone Meeting 06|Hades|Então, garoto. Você perguntou a ela? Sobre como ela se juntou a mim no Submundo. Confirmou todas as suas suspeitas, enfim?
