Id|Description|Speaker|Text
HermesSecondPickUp|Hermes Second Pick Up|Hermes|O que está acontecendo aí, Priminho? Posso chamá-lo de Priminho? Tenho algo para você que fará suas batalhas até a morte terminarem muito mais rápido!
HermesExpectingZeus01|Hermes Expecting Zeus 01|Hermes|Desculpe, chefe, meu pai tinha assuntos urgentes para resolver. Mas eu estou aqui! Repassando a você esta mensagem e isto.
HermesExpectingPoseidon01|Hermes Expecting Poseidon 01|Hermes|Estou aqui para lhe dizer que Poseidon está a caminho, chefe. Às vezes, ele é um pouco lento. Mas, no fim das contas, você se encontrará com ele de novo!
HermesExpectingAthena01|Hermes Expecting Athena 01|Hermes|Esperando outra pessoa, chefe? Uma certa meia-irmã minha, por acaso? Bem, que pena que eu cheguei aqui primeiro. Quer um desses, ou não?
HermesExpectingAres01|Hermes Expecting Ares 01|Hermes|Assim que soube que você queria ver Ares, chefe, cheguei aqui o mais rápido que pude! Ele nunca vai me vencer. Muito menos com toda essa armadura.
HermesExpectingAphrodite01|Hermes Expecting Aphrodite 01|Hermes|Afrodite disse que está só um pouco atrasada, primo, mas eu sei que você entende. Além disso, eu estou aqui! De alguma forma, em espírito.
HermesExpectingArtemis01|Hermes Expecting Artemis 01|Hermes|Queria que você soubesse que minha irmã, Ártemis, está procurando por você. Você deve encontrá-la em algum aposento, agora!
HermesExpectingDionysus01|Hermes Expecting Dionysus 01|Hermes|Receio que Dionísio não virá para ajudá-lo, chefe. Embora a pontualidade nunca tenha sido uma de suas qualidades.
HermesExpectingDemeter01|Hermes Expecting Demeter 01|Hermes|Aquele frio no ar que você estava esperando, não era Deméter, dessa vez, chefe! Nada disso, era eu, correndo até aqui num piscar de olhos. Cria um ventinho bem agradável, eu acho!
HermesBeatCharonQuestComplete|Hermes Beat Charon Quest Complete|Hermes|Você ganhou dele, Primo! E quando digo {#DialogueItalicFormat}ele{#PreviousFormat}, me referi ao meu parceiro aparentemente invencível, o barqueiro a quem você derrotou e que se vangloria de ser duro na queda entre as divindades do Submundo! Ele não tinha certeza se você era capaz e, sendo sincero, eu também não!
HermesAboutPlume02|Hermes About Plume 02|Hermes|Ei, parece que você está fazendo bom uso dessa pluma chique! Continue assim, talvez um dia você tenha metade da minha velocidade!
HermesAboutSkelly01|Hermes About Skelly 01|Hermes|Eu tenho o olho aguçado, chefe, e não pude deixar de notar que você anda carregando um dente pra lá e pra cá. Eu sei que você vem do mundo dos mortos, e tal, mas você não acha que isso é um pouco esquisito?
HermesAboutPersephoneMeeting01|Hermes About Persephone Meeting 01|Hermes|Ouvi falar que você finalmente saiu daí, Primo! Devo-lhe grandes felicitações por isso: Parabéns! O seu segredo está seguro comigo, é claro! Os outros aqui acham que você ainda está tentando. Embora, parece que você está!
HermesPostEnding01|Hermes Post Ending 01|Hermes|Ouvi dizer que uma certa pessoa agora está de volta à sua casa lá embaixo, Primo! Eu deveria dizer que é uma novidade maravilhosa, exceto que {#DialogueItalicFormat}não {#PreviousFormat}é novidade, pelo menos, ainda não! Embora, se algum dia você quiser espalhar a notícia, é só me dar um sinal!
HermesPostEnding01|Hermes Post Ending 01|Hermes|Então {#DialogueItalicFormat}você {#PreviousFormat}continua fugindo daí, uma vez atrás da outra, para que o {#DialogueItalicFormat}seu pai {#PreviousFormat}possa continuar encontrando formas de dificultar ainda mais a sua fuga? Algo do tipo? Parece um trabalho interessante, Primo!
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Zagreus|Eu serei o mensageiro desta vez. Em nome de Hades! Olimpo, esta é uma mensagem oficial! Lorde Hermes? Cheguei aqui mais rápido possível.
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Hermes|Oras, parece que você tem uma mensagem só para {#DialogueItalicFormat}mim{#PreviousFormat}, desta vez, isso é muito especial, hein, chefe? É alguma espécie de convite, pelo que parece. Você tem certeza que eu deveria ter recebido isso, considerando-se que não estou oficialmente envolvido?
HermesPostEpilogue01|Hermes Post Epilogue 01|Hermes|Tenho que admitir, Primo, aquela festa lá na sua casa foi irreal! Foi um pouco estranho ter que fingir que não nos conhecíamos, mas ei, eu sou um Olimpiano! Significa que consigo posar de durão contra qualquer um deles. Bons tempos, Primo! Fico feliz que tudo deu certo.
HermesExpectingMiscOlympian01|Hermes Expecting Misc Olympian 01|Hermes|Temo que o seu visitante Olimpiano de praxe ainda não conseguiu chegar aqui, porque eu sou muito mais rápido, chefe!
HermesExpectingMiscOlympian02|Hermes Expecting Misc Olympian 02|Hermes|Você pode estar esperando outra pessoa aqui, chefe. Mas eu não podia deixar de chegar na frente dessa vez!
HermesExpectingMiscOlympian03|Hermes Expecting Misc Olympian 03|Hermes|Cheguei o mais rápido que pude, Primo. O que, por acaso, é bem mais rápido do que os meus parentes!
HermesExpectingMiscOlympian04|Hermes Expecting Misc Olympian 04|Hermes|Tenho certeza que a recordação que você trouxe será útil muito em breve, chefe!
HermesExpectingMiscOlympian05|Hermes Expecting Misc Olympian 05|Hermes|Minha família normalmente é muito rápida ao atender o chamado de qualquer um que esteja de posse de uma das lembranças deles! Huh!
HermesExpectingMiscOlympian06|Hermes Expecting Misc Olympian 06|Hermes|Posso não ser o deus que você está procurando no momento, chefe, mas eu vou deixá-lo preparado para essa visita rapidinho!
HermesAboutZeus01|Hermes About Zeus 01|Hermes|Você já ouviu falar do meu pai, não ouviu, Primo? Uma pessoa maravilhosa. Mas não passamos muito tempo juntos! Sabe como é. Bem, até mais!
HermesAboutZeus02|Hermes About Zeus 02|Hermes|Sabe, Primo, meu velho nunca dá suas bênçãos de relâmpagos pra mim! Ele está bem investido no que acontece com você, não é?
HermesAboutPoseidon01|Hermes About Poseidon 01|Hermes|Quero lhe contar uma coisa, chefe. A razão pela qual o tio Poseidon chegou até você antes de mim é porque eu deixei. Como sempre, ele se acha muito ágil! {#DialogueItalicFormat}Hah!{#PreviousFormat}
HermesAboutAthena01|Hermes About Athena 01|Hermes|Então Atena está cuidando de você, isso é bom, muito bom mesmo! Ela gosta de pensar em tudo e dentre outras coisas. Acho exagero, na minha opinião!
HermesAboutAres01|Hermes About Ares 01|Hermes|Você sabe quem me mantém muito ocupado, primo? Ares. Nada como uma boa e velha guerra entre os mortais para criar demanda por muitas e muitas mensagens por aí!
HermesAboutArtemis01|Hermes About Artemis 01|Hermes|Ártemis já conseguiu localizá-lo, chefe? Ela é muito boa nisso, devo admitir. Sou mais rápido! Mas ela é rápida, muito rápida, certo?
HermesAboutAphrodite01|Hermes About Aphrodite 01|Hermes|Afrodite é impressionante, você não acha, primo? Normalmente, eu não pararia para ninguém aqui. Mas quando se trata dela, devo abrir uma exceção!
HermesAboutDionysus01|Hermes About Dionysus 01|Hermes|Você já teve a sensação de que a vida está mudando muito rápido para você, chefe? Bem, Dionísio não, como você provavelmente já sabe. Ele sabe dar uma festa, mas!
HermesAboutDemeter01|Hermes About Demeter 01|Hermes|Tem estado extremamente frio aqui em cima ultimamente, Primo! Devemos isso a Deméter! Eu tento ficar longe dela, ela não acha que sou de muita utilidade. Mas pelo menos de você eu tenho certeza que ela gosta!
HermesAboutHadesKeepsake01|Hermes About Hades Keepsake 01|Hermes|Aí, essa não é a bênção do seu pai em você, Primo?! Eu quase não consigo acreditar, mas você se saiu tão bem, como ele poderia {#DialogueItalicFormat}não {#PreviousFormat}aprovar?
HermesBackstory01|Hermes Backstory 01|Hermes|Uau, como estão as coisas por aí, primo? Mas, quem eu estou enganando, podemos deixar de lado a conversa fiada. Não me importo, interrompo meus irmãos e irmãs o tempo todo!
HermesBackstory02|Hermes Backstory 02|Hermes|Chefe, provavelmente você deve estar pensando: {#DialogueItalicFormat}Hermes com certeza é rápido! Então, por que demorou tanto tempo para ele aparecer? {#PreviousFormat}Bem, receio que isso não seja da sua conta. Mas! Não é porque eu estava atrasado. Eu nunca atraso.
HermesBackstory03|Hermes Backstory 03|Hermes|Ei, hm, você poderia me fazer um favorzinho, Primo? Meus irmãos, irmãs, familiares, etc., não sabem que estou trabalhando com você, aqui. Não é grande coisa, mas vamos continuar assim por enquanto, pode ser?
HermesBackstory04|Hermes Backstory 04|Hermes|Eu estava aqui perto, chefe! Vendo que os mortais aqui em cima morrem o tempo todo, e alguém precisa levar as almas deles para o seu domínio, não é mesmo?
HermesBackstory05|Hermes Backstory 05|Hermes|Sabe aquele ditado {#DialogueItalicFormat}\"o apressado come cru\"{#PreviousFormat}, chefe? Eu que inventei. Eu juro! Uma maneira de evitar a concorrência, disfarçada como a sabedoria de um erudito. Esses mortais estúpidos engolem qualquer coisa!
HermesBackstory06|Hermes Backstory 06|Hermes|Não que eu saiba {#DialogueItalicFormat}exatamente {#PreviousFormat}o que você anda aprontando, Primo, mas! Se eu soubesse, acho que ninguém no Olimpo tem nenhuma noção. Ou, se tem, estão mantendo a boca fechada. Exatamente como eu!
HermesBackstory07|Hermes Backstory 07|Hermes|Você já se perguntou como eu fiquei tão rápido, Priminho? Muita prática, eu só te digo isso! E por ter nascido extraordinariamente ágil, eu acho!
HermesAboutSkinnyLittleChap01|Hermes About Skinny Little Chap 01|Hermes|Uma vez eu levei um carinha magrelo lá pra baixo, no Submundo, teve um encontro fatal com a ponta de uma lança, o fulano! Ele teve o que merecia, muito mentiroso, traidor, e por aí vai. Última notícia que eu tive é que ele ainda estava pagando os pecados lá em baixo. Eh!
HermesAboutSkelly02|Hermes About Skelly 02|Hermes|Chefe, eu sei que você já ouviu falar de um cara bem magrinho que não está disposto a sair de lá. É melhor você manter segredo sobre isso, tudo bem? Caso contrário, estará tudo acabado para nós e o seu pai não vai gostar disso. Então, saúde!
HermesAboutSkelly03|Hermes About Skelly 03|Hermes|Diz aí, você está de boa com o sei-lá-o-nome, o cara que te deu o dente da sorte? Então, ele até que é legal. Tem que ser, se você consegue aturá-lo!
HermesAboutSecretService01|Hermes About Secret Service 01|Hermes|Então, agora você me descobriu, não foi, Priminho? Foi o próprio barqueirão quem me disse. Bem, ótimo! Ficamos contentes em estar a seu dispor. E {#DialogueItalicFormat}temos {#PreviousFormat}muita roupa suja {#DialogueItalicFormat}sua{#PreviousFormat}, então fica esperto e guarde nossos segredos também, okay?
HermesAboutSecretService02|Hermes About Secret Service 02|Hermes|Então meu parceiro profissional, o apavorante barqueiro do Rio Estige? Você deve conhecê-lo muito bem por conta disso tudo, certo, Priminho? É meio difícil de fazer amizade com ele, mas tem um bom coração! É por isso que estou trabalhando com ele, depois de tanto tempo!
HermesAboutMegRelationship01|Hermes About Meg Relationship 01|Hermes|Ouvi falar que você está saindo com Megaira, a Fúria, Primo? Tenho a impressão que ela dá bastante trabalho, embora a mesma coisa provavelmente também possa ser dita sobre você, hein? Divirtam-se, vocês dois!
HermesAboutCharonFight01|Hermes About Charon Fight 01|Hermes|Não consigo acreditar que você se meteu numa briga com o meu parceiro profissional, você está maluco ou algo assim, Primo? Todo mundo que eu conheço tem pelo menos um pouquinho de medo dele e do seu barco, mas você acha que consegue derrotá-lo, hein?
HermesAboutCharonFight02|Hermes About Charon Fight 02|Hermes|Então você enfrentou o meu bom parceiro profissional, é isso, Primo? E você surrou o próprio grande barqueiro! Eu sabia que você era durão, mas não {#DialogueItalicFormat}tanto {#PreviousFormat}assim! Estou impressionado! Ele também está impressionado. Ele nem ficou irritado!
HermesBeatCharonQuest01|Hermes Beat Charon Quest 01|Hermes|Ei, hm, então eu meio que fiz uma aposta com o velho barqueiro, aquele associado meu, que você conseguiria derrotar ele numa briga, duas vezes seguidas! Sem pressão ou nada do tipo, mas caso você prove que eu estava certo algum dia desses, eu adoraria, Primo!
HermesMessage01|Hermes Message 01|Hermes|Mensagem do Olimpo para você, chefe! Ela diz: {#DialogueItalicFormat}\"Com certeza é bom ficar aqui em cima deste monte, sem ter de fugir do Submundo! Vai se juntar a nós em breve, não vai?{#PreviousFormat}\
HermesMessage02|Hermes Message 02|Hermes|Mensagem para você, chefe. Ela diz: {#DialogueItalicFormat}"Você é um tanto lento. Seria bom se alguém pudesse ajudá-lo nisso." {#PreviousFormat}Ah, imagine só, que coincidência!
HermesMessage03|Hermes Message 03|Hermes|Trouxe uma mensagem para você, primo. Diz aqui, olá: \"Apresse-se e saia já daí.\" É da superfície da terra, diz aqui.
HermesMessage04|Hermes Message 04|Hermes|Outra mensagem! Aqui diz: \"Uma colher pequena de orégano seco, duas colheres de azeite extra-virgem, uma cebola grande, picada, e uma pitada de sal a gosto\", espera, isso não é para você. Embora você deva tentar algum dia se conseguir sair!
HermesMessage05|Hermes Message 05|Hermes|Mensagem para você, Primo, ela diz, {#DialogueItalicFormat}\"Em nome de todo o Olimpo, gostaríamos que você soubesse que é muito boa a garrafa de Ambrósia que você ofereceu a Hermes, o deus das viagens, e ele saboreou até a última gota.\" {#PreviousFormat}Atenciosamente, eu!
HermesMessage06|Hermes Message 06|Hermes|Outra mensagem para você, Primo, e essa diz, {#DialogueItalicFormat}\"Ei, cara! Se você alguma vez conseguir subir até o alto dessa montanha por algum motivo, deveríamos passar um tempo juntos, tudo bem? Posso te apresentar o lugar.\" {#PreviousFormat} Seu amigo, Hermes.
HermesMaxRelationship01|Hermes Max Relationship 01|Hermes|Sabe, chefe, cá entre nós? Entre todos os destinatários de entregas especiais que eu tive ao longo de várias eras, veja bem, preciso dizer, você é o mais interessante!
HermesRunProgress01|Hermes Run Progress 01|Hermes|Sabe, primo, todo esse tempo que eu tenho transportado almas pelas fronteiras da terra de seu pai, é bom ter a chance de ajudar alguém de outra maneira!
HermesSquelch01|Hermes Squelch 01|Hermes|Ei, primo. Agora você está bem acostumado às nossas pequenas conversas, mas quero que você converse comigo aqui. Você é o chefe, se você preferir, ficarei feliz em calar a boca, sem problema. É só dar o sinal, hein?
HermesSquelch01|Hermes Squelch 01|Zagreus|Nem pense nisso, Lorde Hermes. Tem sido ótimo conversar com você de vez em quando.
HermesSquelch01|Hermes Squelch 01|Hermes|Tudo bem, chefe. Apenas me certificando de que não estou interrompendo nada!
Text|Text|Zagreus|Agora que você mencionou, Lorde Hermes, sim, vamos manter nossas conversas agradáveis e rápidas.
Text|Text|Hermes|Entendi, chefe, vamos direto ao ponto da próxima vez, está bem?
Text|Text|Zagreus|Agradeço ter vindo ver como estou, Lorde Hermes. Eu acho que deveríamos deixar as coisas como estão, tranquilo e quieto.
Text|Text|Hermes|Sem problemas, chefe. Só estava checando.
Text|Text|Zagreus|Direto às Bênçãos, Lorde Hermes. Nós dois gostamos de ir direto ao ponto.
Text|Text|Hermes|Entendi, chefe. As palavras são lentas demais, não é? Não o aborrecerei mais com palavras, mas prometo vê-lo novamente!
Text|Text|Zagreus|Sem dúvida uma conversa inteligente, Lorde Hermes. Bênçãos são mais do que bem-vindas depois disso.
