Id|Description|Speaker|Text
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Meg. Oh. Eu não estava esperando companhia. Você estava só bisbilhotando como de costume, ou... precisa da minha ajuda?
MegaeraBedroom01|Megaera Bedroom 01|Megaera|...Eu já estava de saída, Zagreu. É que eu estava por perto, não graças a você, e pensei em ir buscar meus últimos pertences. Tenho de dizer, você transformou mesmo este lugar num inferno.
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|...Ela saiu. Ótimo. Maravilhoso! Acho que vamos voltar a nos matar repetidamente, então.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Se esqueceu de algo mais em meus aposentos, Meg?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Não. Nós precisamos conversar, de novo. Minhas irmãs estão envolvidas nisso tudo, agora. Você fez uma bela de uma bagunça.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Sinto muito. Minha mãe está por aí, em algum lugar. Não vou descansar enquanto não encontrá-la. Você não entenderia.
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Você não saberia. O que estou tentando dizer é... com minhas irmãs envolvidas, as coisas mudaram. Tira um pouco da pressão sobre mim.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|O que está dizendo?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Estou dizendo... Eu sei que você precisa encontrar sua mãe, Zagreu. Eu tenho meu papel nisso tudo, mas deixe-me ver o que posso fazer, no mínimo.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Meg...! Ela... *ah*.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Eu sei. Me desculpe. Mas isso é algo que eu preciso fazer. Você não entenderia.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Um pouco da pressão... espere, o que você vai fazer?
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|Estou dizendo... Eu sei que você está fazendo o que precisa, Zagreu. E minhas irmãs e eu sempre tentaremos impedi-lo. Mas só estou fazendo isso porque preciso. Entende?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Meg... que surpresa. De novo. O que foi? ...O que há de errado? Espere. Por que está me olhando assim?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Zagreu, dá para você parar de fazer perguntas idiotas e vir até aqui? Agora.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Eu... você... oh...
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Achei que nunca ia pedir. Mas fico feliz que pediu.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Um, Meg, eu... O que estou tentando dizer, é... está tudo bem entre nós, ou...?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Pare de ficar inseguro perto de mim, Zag. Você já deveria me conhecer melhor do que isso. Mas, sim, se quer saber... Acho que está tudo bem. Mas se você contar para qualquer outra alma viva, ou mesmo morta, eu te mato, entendeu?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Eu... perfeitamente, Meg, sim, eu entendi. Então... e agora como vai ser?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Como vai ser? Te vejo na borda do Tártaro, eu acho. Ou talvez aqui. Ou por quanto tempo continuarmos a fazer isto.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|O tempo que tivermos?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Você faz pergunta demais, Zag. Eu não tenho as respostas, e além disso: Você sabe mais sobre viver o presente do que eu. Te vejo por aí.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Te vejo por aí! ...Sim.
Text|Text|Zagreus|...Eu... Meg, fico muito honrado, e eu sempre tive muito carinho por você, mas é que... não é isso o que quero em nosso relacionamento. Eu receio ter te iludido. Me perdoe. Por favor, me diga que ainda seremos amigos?
Text|Text|Megaera|...Isto é tudo que você realmente quer...? Ser meu amigo? *Heh. *Você é difícil de entender as vezes, Zag. Mas, quer saber, nós já tentamos várias coisas. Por que não tentamos isso como você disse? Eu te vejo por aí, então.
Text|Text|Megaera|...Você tem certeza? Veja, eu... está tudo bem mesmo. Te vejo por aí, então.
Text|Text|Zagreus|...Sim. Às vezes preciso ir mais devagar. Fico grato por estarmos nos entendendo melhor ultimamente. Mas, eu andei pegando muito pesado. Me perdoe. Você é meu amigo querido. Não quero fazer nada que possa machucá-lo. Ou a ninguém.
Text|Text|Thanatos|Eu... ah. Tudo bem. Entendo. Eu sempre tive muito carinho por você, também. Mas nós fizemos muitas coisas que comprometeram nossa amizade ultimamente, não é? Olha, fica bem, Zag. Te vejo por aí.
Text|Text|Zagreus|...Te vejo por aí, também.
Text|Text|Zagreus|Tân... *Hahaha*, fico tão contente! É só que... você sabe que a Megaira esteve aqui, também...?
Text|Text|Thanatos|*Tsch. *Conheço a Megaira há muito mais tempo que você. Quem você acha que me convenceu a fazer isso?
Text|Text|Zagreus|Hah! Foi ela, não foi? Isso é ótimo! Gostei.
Text|Text|Thanatos|Você tem certeza? Bem... Entendo. É melhor voltar para as minhas responsabilidades agora.
Text|Text|Zagreus|...Até mais, Tân.
Text|Text|Zagreus|...Ei... olha. Eu me preocupo com você. Com vocês dois. Muito. Estou feliz de ver que estamos próximos assim... que vocês estão próximos assim, ao invés de estarmos um pulando no pescoço do outro como antes. Mas, eu acho que tudo isso é um pouco demais pra mim, neste momento.
Text|Text|Megaera|...Você tem certeza? Olha... tá tudo bem. Você já tem pressão o suficiente do jeito que está. Nós nos vemos por aí, então.
Text|Text|Thanatos|A gente se fala outra hora, tá bem?
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Cale a boca, Zagreu. E venha aqui.
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Você faz pergunta demais, Zag. Mas sim, eu diria que estamos bem, por enquanto. Mas se você contar para qualquer outra pessoa, eu te mato, entendeu?
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Zagreus|Mas... não, espere... nem mesmo para o Tân...?
