Id|Description|Speaker|Text
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|...Estou te dizendo, você está {#DialogueItalicFormat}errado{#PreviousFormat}, Astério! Ele não é {#DialogueItalicFormat}realeza{#PreviousFormat}, e sem dúvida nenhuma que {#DialogueItalicFormat}eu {#PreviousFormat}reconheceria! Ele é apenas um deus menor, sem nome, esquecido, nascido das profundezas, e fadado a permanecer lá!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Minotaur|Eu, também, já fui xingado com tais palavras, rei. Enfrentamos este inimigo quantas vezes? E minha opinião é que ele lutou bravamente aqui.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|{#DialogueItalicFormat}Bravamente{#PreviousFormat}?! Se escondendo atrás destes pilares é o que chamas de {#DialogueItalicFormat}bravamente{#PreviousFormat}, Astério? Iremos discutir este estranho lapso de julgamento após alcançarmos nossa vitória!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|Espero que você esteja perfeitamente satisfeito consigo mesmo, cria do inferno. Porque Astério tem estado bem contrariado comigo! A atitude dele. Ele diz que julguei mal a sua laia! {#DialogueItalicFormat}A audácia{#PreviousFormat}.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Minotaur|Rei, você não me escuta. Ainda temos muito o que aprender sobre esse inimigo. Ele nunca aparece equipado do mesmo jeito. Armas, habilidades dos deuses, e assim por diante. Apesar dos nossos esforços... não é fácil interpretar suas estratégias.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|E você vem e me diz que nosso não posso lutar, Astério? Mesmo não tendo dificuldades em {#DialogueItalicFormat}superá-lo {#PreviousFormat}nesse seu labirinto?! Vamos, vamos lutar!
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|Bem, verme! Venha lutar contra nós, eu acho. E aproveite-se ao máximo de todo o estrago que causou! Não somos uma equipe! Somos apenas dois combatentes, que se encontraram ao mesmo tempo, agora.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Minotaur|Rei, acho que você está exagerando. Tente agir de forma racional. E avaliar com mais atenção meu ponto de vista. Não acho que estou pedindo muito.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|Você está me pedindo o impossível! Mas, vamos lutar. E sei que vamos perder também, porque, se não somos uma equipe, o que somos então, Astério...?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Minotaur|Você terá de desculpar o Campeão aqui, baixinho. Ele não tem sido ele mesmo. Mesmo que ainda lute contigo até a morte, tenho certeza.
