Id|Description|Speaker|Text
NyxFirstMeeting|Nyx First Meeting|Nyx|Não se desespere, criança. Tais obstáculos são inevitáveis, e podem ser superados com esforço e com tempo. Você contatou a deusa Atena. Ela cumprirá sua palavra.
NyxFirstMeeting|Nyx First Meeting|Zagreus|Eu acredito que sim, Nix. Fico agradecido que você nos colocou em contato. Eu sei que você tomou um risco considerável por tê-la contatado.
NyxFirstMeeting|Nyx First Meeting|Nyx|Esse risco não é meu. Eu esperava que os deuses do Olimpo se envolveriam nisso, um dia. Não revele para eles nada a mais do que eles já sabem. Estamos entendidos?
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Me alegra finalmente poder lhe falar, criança. Então a deusa Atena cumpriu sua palavra. Vocês foram sábios em serem discretos na sua tarefa.
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Esse risco não era a mim. Era inevitável que os Olimpianos se envolveriam nisso. A única dúvida era como.
NyxGrantsRespec|Nyx Grants Respec|Nyx|Acredito que o espelho no seu aposento tenha sido satisfatório, meu querido filho...?
NyxGrantsRespec|Nyx Grants Respec|Zagreus|Melhor do que eu poderia ter imaginado, Nix. Você disse que ele poderia fazer algo mais, depois que eu me acostumasse. Eu acho que estou pronto para isso agora.
NyxGrantsRespec|Nyx Grants Respec|Nyx|Também creio que está. Então, será como desejas.
NyxMiscMeeting02|Nyx Misc Meeting 02|Nyx|Antes de ir, meu filho... o humor de seu pai está bem difícil no momento. Talvez deixe-o em paz.
NyxMiscMeeting04|Nyx Misc Meeting 04|Zagreus|Nix, isso pode ser uma pergunta estranha, mas... você sabe o que as Moiras podem ter guardado para mim? Elas são suas filhas, certo?
NyxMiscMeeting04|Nyx Misc Meeting 04|Nyx|As Três Moiras são minhas filhas, correto, minha criança. Mas não sei mais sobre seus trabalhos do que os inocentes mortais que vivem lá em cima. Nem mesmo os Olimpianos sabem o que as Parcas criam com seus fios.
NyxMiscMeeting05|Nyx Misc Meeting 05|Nyx|Que a escuridão te guie, minha criança. Você cresceu além desta Casa, disso eu tenho certeza agora. Se você voltar aqui novamente, vou mantê-lo em segurança.
NyxMiscMeeting05|Nyx Misc Meeting 05|Zagreus|Não vou te esquecer, Nix. Eu juro.
NyxBackstory01|Nyx Backstory 01|Zagreus|De alguma forma, eu sempre soube, sabe. Que você não era minha mãe biológica. Quer dizer, olha pro Hipnos e pro Tânato, não tinha jeito de eu ser irmão {#DialogueItalicFormat}deles{#PreviousFormat}, todos sabiam, e ainda assim... quando finalmente descobri a verdade, ainda foi um choque.
NyxBackstory01|Nyx Backstory 01|Nyx|E eu sempre soube, também, que você descobriria a verdade, cedo ou tarde. E tive medo do que aconteceria quando esta hora chegasse. Sou grata que finalmente aconteceu. Mas, me diga. Ainda me encontro te chamando de criança. É de sua preferência que eu pare de usar tais termos, daqui em diante?
NyxBackstory01|Nyx Backstory 01|Zagreus|Não Nix, por favor, está... está tudo bem. Você pode não ter me gerado, mas cuidou de mim mesmo assim. Eu nunca duvidei disso. Da mesma forma, está tudo bem para você que eu continue te chamando pelo seu nome?
NyxBackstory02|Nyx Backstory 02|Zagreus|Nix, você deve saber se alguma coisa sobre porque o Pai cortou contato com os Olimpianos, não sabe?
NyxBackstory02|Nyx Backstory 02|Nyx|Esta é uma questão que apenas seu pai pode responder, criança. Eu não posso lhe contar mais do que já sabe.
NyxAboutHades01|Nyx About Hades 01|Zagreus|Eu preciso te perguntar algo, Nix. Qual é a dívida que você tem com meu pai? Me perdoe por bisbilhotar, é só que... ouvi os dois discutindo alguns assuntos, e... veio à tona.
NyxAboutHades01|Nyx About Hades 01|Nyx|...Eu estava aqui muito antes de seu pai. A responsabilidade de governar era minha. Ainda assim, não conseguia lidar com tudo sozinha. Eu dou forma à escuridão; garanto a integridade do reino. Eu sou menos dada a estatísticas e regras administrativas. Eu abandonei tais responsabilidades.
NyxAboutHades01|Nyx About Hades 01|Zagreus|Era trabalho demais, até mesmo para você. Então... quando meu pai chegou... você o recebeu de braços abertos? Ele te ajudou?
NyxAboutHades01|Nyx About Hades 01|Nyx|Eu estava bem incrédula em relação a ele, no começo. Pensei que sua presença era meramente uma cruel piada do Destino. Mas... ele trabalhou diligentemente, desde que chegou. Logo havia ordem aonde não havia nenhuma. Eu criei esta Casa para ele, e ainda a mantenho intacta. Nos tornamos sócios. Uma inter-dependência.
NyxAboutHades01|Nyx About Hades 01|Zagreus|Ele nunca tirou vantagem de você? De sua generosidade?
NyxAboutHades01|Nyx About Hades 01|Nyx|Não, criança. Ele não fez nada do tipo. Ele pode até ficar impaciente comigo, como você viu. Mas é o máximo que isto chega. Encontramos formas de nos reconciliar após desentendimentos. Embora sua relação com ele seja... mais complicada do que a dele comigo, eu temo...
NyxAboutHades02|Nyx About Hades 02|Zagreus|Nix, tudo que você fez para me ajudar, com os Olimpianos, o Espelho, o Empreiteiro da Casa, eu... me preocupo que se o Pai descobrisse, ele voltaria sua fúria contra você. Eu não quero que isso aconteça.
