Id|Description|Speaker|Text
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Ah, olá, Zagreu. Ouvi dizer que você me libertou do meu castigo eterno. E assim retornei para servir seu pai aqui. Obrigado.
OrpheusFirstMeeting|Orpheus First Meeting|Zagreus|Orfeu, você está de volta! Olha, não faça nada para irritar o meu Pai desse jeito e você ficará bem. Além disso... agora eu acho que ele está mais irritado comigo.
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Eu lamento por você, meu amigo. Mas se você veio me pedir uma música, acho que devo ser firme em minha resposta.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Orpheus|Olá, Zagreu. Eu estava me perguntando se você já ouviu falar de outros músicos da corte que perderam a vontade de cantar? Seu pai me pediu uma explicação e, honestamente, tem sido muito difícil.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Zagreus|Se serve de consolo, amigo, tenho certeza de que todos os músicos mortos-vivos da corte que servem na sala do trono do Deus da Morte passaram por tudo o que você está passando.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Orpheus|Fica muito quieto aqui, quando você está fora de casa, sabe? Isso me deixa um pouco constrangido, para dizer a verdade, já que ostensivamente eu sou o músico desta corte.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Zagreus|Olha, se você resolver começar a dedilhar aquela lira outra vez, tenho certeza que ninguém vai se importar. Mas cuide-se, OK?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Ah, olá, Zagreu. Você parece meio triste. Então, eu estava imaginando, quiçá você aceitaria uma canção agora?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Zagreus|Que tal {#DialogueItalicFormat}O Lamento{#PreviousFormat}? Você costumava executar muito essa!
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Oh, você gosta dessa, não é? Ah, não tenho mais disposição para cantar. Mas fico feliz que você goste.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|Orfeu, perdoe minha sinceridade aqui, mas preciso perguntar. Por que você não canta? Você era uma lenda. Nosso músico da corte!
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|Ora, é que eu perdi minha musa, meu amigo. Simplesmente isso. Você nunca teve momentos em sua vida, em que perdeu a vontade de perseguir suas paixões?
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|Acho que sim. Mas, recentemente, encontrei meu caminho de novo, e é por isso que tenho de sair daqui.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|Eu estou muito feliz por você, amigo. Infelizmente, não tive sorte em minha própria busca, não que eu ainda esteja procurando, então, vou parar por aqui, tudo bem?
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|Posso fazer alguma coisa para ajudá-lo a encontrar sua musa, amigo?
