Id|Description|Speaker|Text
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|...Continue, estranho. Há muitas outras sombras querendo brigar com você por aí.
PatroclusFirstMeeting|Patroclus First Meeting|Zagreus|Estou apenas de passagem. Você parece menos aguerrido que os outros. Posso perguntar seu nome, senhor? Meu nome é Zagreu.
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|Nomes existem para serem esquecidos, estranho. Você não deveria estar aqui. Que as Moiras favoreçam sua jornada. Mas, caso não o façam... Por que não aceita isto?
PatroclusMeeting02|Patroclus Meeting 02|Zagreus|Há algo errado por lá, senhor? Digo, não deveria estar recuperado, competindo por orgulho e glória eternos e tudo mais?
PatroclusMeeting02|Patroclus Meeting 02|Patroclus|De que adianta? Vamos dizer que lutamos, se alguém perguntar. Agora, vá embora. Ademais, não tenho rixas com você. Apenas permanecerei aqui, em um confortável descanso, por milênios incontáveis, suponho. Tenham um bom... seja lá qual for a hora do dia.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Ainda trabalhando em Elísio, eu vejo. Lutando contra meus irmãos, em nome da glória, é isso?
PatroclusMeeting03|Patroclus Meeting 03|Zagreus|Estou indo para a superfície. Embora seus irmãos estejam me atrasando. Seja pela glória ou por ordem de meu pai.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Seu pai...? Ah, está certo, mas você é o Príncipe, não é? Você deve saber claramente, então, qual é o seu direito de nascença: Você não é melhor que nenhum de nós aqui. Agora, vá.
PatroclusMeeting04|Patroclus Meeting 04|Patroclus|Você de novo. Eu disse para você ficar longe de mim. Seu pai é o figurão por aqui, mas isso não significa nada para mim, entende? Vá e diga a ele que ele pode me lançar nos poços do Tártaro, não me importo. Seria uma mudança de ares bem-vinda ser colocado aqui.
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|Eu fui rude da última vez, estranho. Perdoe minhas indiscrições. Ou não. Mas gostaria de pedir desculpas.
PatroclusMeeting05|Patroclus Meeting 05|Zagreus|Esqueça, senhor. Mas, se houver algo que eu possa fazer para ajudar, basta me dizer, certo?
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|Você não tem poder para me libertar deste inferno, receio. Então, cuide de sua vida e me deixe cuidar da minha.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|Estranho, estou lhe avisando: Se continuar aparecendo por aqui desse jeito, terei de encontrar um novo apelido para você.
PatroclusMeeting06|Patroclus Meeting 06|Zagreus|Não precisa fazer isso, senhor. Somos apenas conhecidos. Eu também não sei nada sobre você.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|Sua situação é melhor. Este lugar está reservado ao maior dos gregos. Acha que sou do tipo que se encaixa aqui? Prossiga e converse com Teseu ou alguém como ele.
