Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...Eu passei muitos dias cuidando desse jardim... ou noites? É meio difícil saber as horas aqui. Mas, ele durou mais tempo do que eu esperava...
Ending01|Ending 01|Hades|...Perséfone... Eu...
Ending01|Ending 01|Persephone|Cérbero! Senti sua falta. E um bom garoto como sempre, não é?
Ending01|Ending 01|Hades|...Me desculpe. Saiba que sinto muito.
Ending01|Ending 01|Persephone|Hades... você parece cansado. Entretanto, eu não sou a única a quem você deveria pedir desculpas.
Ending01|Ending 01|Hades|Eu sei. Eu sei, eu... por que você voltou? Se o Olimpo... se sua mãe descobrir o que aconteceu, nem mesmo Zeus, nem mesmo {#DialogueItalicFormat}ele {#PreviousFormat}poderia impedir o que aconteceria, aqui!
Ending01|Ending 01|Persephone|Ah, eu tenho algumas ideias sobre como poderemos resolver isso. Entretanto, precisarei que você e o Zagreu cooperem comigo numa solução. Ou, se você preferir, eu poderia voltar para o lugar de onde vim.
Ending01|Ending 01|Hades|Uma solução? O que, você pretende convidar eles pra tomar uma Ambrósia? Nem mesmo você consegue consertar uma família disfuncional, Perséfone.
Ending01|Ending 01|Persephone|Você está certo, Hades! Eu não consigo. Não sozinha, certamente. Então, vai me ajudar ou o quê?
Ending01|Ending 01|Hades|...Eu faria qualquer coisa que me pedisse.
Ending01|Ending 01|Persephone|Então, primeiro, fale com o seu filho.
Ending01|Ending 01|Hades|...Mm. Zagreu? Você já conheceu a Perséfone, nossa Rainha. Eu espero que você demonstre respeito a ela, a todo momento!
Ending01|Ending 01|Zagreus|Uau, Pai, você me chamou pelo meu nome! Que sensação estranha é esta que estou sentindo? Será que é esse o {#DialogueItalicFormat}respeito {#PreviousFormat}a que você se refere?
Ending01|Ending 01|Persephone|Ah, parem, vocês dois. Não faça eu me arrepender, Hades. Fale com ele honestamente. Sobre você, não eu. Vai lá.
Ending01|Ending 01|Hades|Sim. Eu... Zagreu. Eu sei que algumas vezes... eu deixei meu mau humor cair sobre você. Eu demonstrei pouca paciência. Muitas vezes, questionei seu julgamento, quando, na verdade o meu próprio era falho. Então, expresso meu arrependimento a você, meu filho. Não tenho nenhuma desculpa. E também não peço perdão.
Ending01|Ending 01|Zagreus|E sobre a parte que você mentiu pra mim sobre minha Mãe, você se arrepende disso? Seu mau humor, você descontando em mim... Eu já espero isso de você há muito tempo. E eu te ressenti por isso. Mas eu sempre achei que... você era honesto.
Ending01|Ending 01|Hades|Sua mãe não veio para cá de boa vontade quando nós nos conhecemos. Quando ela foi embora... acreditando que você tinha nascido morto... a decisão dela foi definitiva. Eu acreditei que ela estava melhor sem nós, incluindo o Olimpo. Mentir para vocês... rasgou meu coração. Mas precisava ser feito.
Ending01|Ending 01|Zagreus|Bom, você não precisava jogar sobre mim, durante minha vida toda, todo esse seu tormento interno. Mas eu acho que entendo. Eu só queria que você tivesse entendido mais cedo. Então, er... e agora? Eu fiquei tão acostumado a saquear o seu domínio, acho que vou sentir falta.
Ending01|Ending 01|Hades|Sobre isso... sua pilhagem revelou inúmeras falhas da nossa segurança. Do tipo que nunca entra nos relatórios. Nossa reputação se mantém no fato de não ter como escapar daqui. Será que você poderia... continuar tentando escapar? Não pelo meu bem. Mas pelo bem desse reino. Pela Rainha.
Ending01|Ending 01|Persephone|Zagreu... Se você continuar lutando pra sair daqui... Vai manter as aparências de que tudo continua como sempre.
Ending01|Ending 01|Zagreus|Uma pergunta, Pai. Vamos dizer que eu aceite. Da próxima vez que eu chegar na superfície... você ainda vai estar esperando lá?
Ending01|Ending 01|Hades|Ah, garoto. Se você acha que, por um momento, eu facilitaria para você; irá aprender logo que não é o caso.
Ending01|Ending 01|Zagreus|Eu só continuo lutando até a superfície e matando repetidamente meu próprio Pai, então?
Ending01|Ending 01|Hades|Você está só meio certo!
Ending01|Ending 01|Persephone|Talvez passe também pela minha cabaninha no caminho? Cuidar do jardim não daria muito trabalho. Eu gostaria de manter aquele lugar em bom estado. Caso eu não aguente a sofrência deste lugar por muito tempo.
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}Hahaha{#PreviousFormat}, bom! Vou ver o que posso fazer, eu acho.
Ending01|Ending 01|Persephone|Faça o melhor que puder. E, claramente, também tenho trabalho para fazer. Eu diria que temos muito à nossa frente. Então, devemos começar?
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}Depois de todo esse tempo{#PreviousFormat}, foram apenas alguns dias! Mas tem sido bom. Minha Mãe e meu Pai estão juntos novamente, fizeram alguns amigos novos, consegui essa pintura chique! Fácil. Está tudo bem no Submundo!
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Mas, então, ele encontra um bilhete... escrito delicadamente com uma letra e voz às quais o Príncipe jamais vira ou ouvira.
Flashback05|Flashback 05|Persephone|{#DialogueItalicFormat}\"Hades: não aguento mais viver neste lugar. Então, estou indo embora, mesmo que isso me mate. Não retornarei ao Olimpo. Se há um lugar neste mundo que eu possa chamar de lar, deve estar em algum lugar entre o céu e o inferno. Talvez seja no litoral e tenha um pequeno jardim. Cuide do Cérbero; sentirei falta dele.\
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Assim, o Príncipe do Submundo, Zagreu, absorveu o conteúdo desta carta guardada, escrita pela mão de sua mãe.
Flashback05|Flashback 05|Zagreus|''A mão de sua mãe''... a mão de minha mãe... espere, {#DialogueItalicFormat}como assim{#PreviousFormat}?! Você está dizendo que essa tal de Perséfone é... a minha mãe...? Mas meu Pai sempre disse que Nix era minha... aquele mentiroso. Ele mentiu para mim, ambos mentiram. Toda a minha vida!
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Argh! Então o Príncipe descobriu, por acaso, a verdade bem guardada sobre sua linhagem. Algo totalmente por acaso...
AchillesWithPersephone01|Achilles With Persephone 01|Persephone|...Honrada em conhecê-lo, Grande Aquiles, nosso guarda real! É sempre bom saber com quem contar caso algo suspeito ocorra por aqui. Então, foi você quem treinou meu filho em combate?
AchillesWithPersephone01|Achilles With Persephone 01|Achilles|De fato, Vossa Graça. Ele era um aluno talentoso. Com certeza a senhora ficaria muito orgulhosa se pudesse ter observado seu progresso.
AchillesWithPersephone01|Achilles With Persephone 01|Persephone|Eu {#DialogueItalicFormat}estou {#PreviousFormat}orgulhosa! Sabe que seu nome já era bem conhecido na época que eu vivi no Olimpo. Eu creio que sua lenda se espalhou ainda mais desde então!
AchillesWithPersephone01|Achilles With Persephone 01|Achilles|Ah, eu duvido... mas muito obrigado, Vossa Graça.
NyxWithPersephone01|Nyx With Persephone 01|Nyx|...Perséfone, minha Rainha... já faz tempo demais. Embora, o tempo tenha passado muito gentilmente para você. É uma honra vê-la novamente.
NyxWithPersephone01|Nyx With Persephone 01|Persephone|Oh, por favor, Nix! Nada de formalidades entre nós, certo? É tão bom ver você também, minha amiga. Os dias lá na superfície eram muito diferentes, mas as noites... Me faziam lembrar do nosso tempo juntas, aqui.
NyxWithPersephone01|Nyx With Persephone 01|Nyx|Bons tempos, acredito.
NyxWithPersephone01|Nyx With Persephone 01|Persephone|Bons tempos, com toda certeza! Eu tento não me lembrar daqueles outros!
NyxWithPersephone01|Nyx With Persephone 01|Nyx|Estamos felizes de tê-la de volta. Mas, temo que a adaptação será difícil para você, mais uma vez. Para todos nós.
NyxWithPersephone01|Nyx With Persephone 01|Persephone|Bem, tendo eu mesma construído uma casinha lá em cima, acho que estou preparada para qualquer coisa! Você sabe como são essas coisas.
ThanatosWithPersephone01|Thanatos With Persephone 01|Thanatos|Rainha Perséfone. Todos nós estamos muitíssimo felizes de tê-la de volta. Se há algo que eu possa fazer para facilitar sua adaptação a esta Casa, você precisa apenas pedir.
ThanatosWithPersephone01|Thanatos With Persephone 01|Persephone|Ora, obrigada, Tânato! Eu vou aceitar, se eu conseguir me lembrar de algo! Mas minha nossa, como você cresceu! Eu ouvi que esteve cuidando do meu filho esse tempo todo?
ThanatosWithPersephone01|Thanatos With Persephone 01|Thanatos|Seu filho, ele... é muito capaz de cuidar de si mesmo, afinal. Embora eu tente estar presente por ele, no caso de ele precisar. Contudo, preciso rogar sua licença, Rainha. Alguém me espera na superfície agora.
