Id|Description|Speaker|Text
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Megaera|...Se ajudá-lo de novo, você vai levar mil chicotadas da próxima vez que nos encontrarmos. E quando eu retornar, é melhor que essa sua pedrinha esteja lá em cima ao invés daqui, ou vai levar mais mil.
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Sisyphus|Certamente, certamente, Madame, isso é mais do que justo, tem minha palavra! Nos vemos por aí!
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Megaera|...E você vai se manter ocupado com sua pedra, se sabe o que é melhor para você, seu trapaceirozinho. Não vá achando que não estou de olho em você.
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Sisyphus|Agradeço a sua atenção, Madame, e certamente levarei Pedro até o topo do morro num instante, apesar de nunca ter conseguido isso antes!
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Megaera|...E quando este assunto com o Príncipe estiver resolvido, vamos voltar para como as coisas estavam. Até lá, é melhor que eu veja essa pedra subindo esse morro com certa regularidade.
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Sisyphus|Faz total sentido para mim, Madame, e não se preocupe que Pedro, *erm*, quero dizer esta pedra aqui, eu vou empurrá-la regularmente, morro acima, como sempre! Até mais!
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|...E, por fim, você está proibido de prestar assistência ao Príncipe Zagreu. Estamos de acordo?
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Sisyphus|Ora, sem dúvida, Mestre Tânato, nem passou pela minha cabeça! Além disso, minha mente está completamente ocupada com todas essas novas estratégias de empurrar pedra que desenvolvi.
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|Basta! Volte ao seu trabalho, que voltarei ao meu.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Sisyphus|Eu entendo, Mestre Tânato, e agirei conforme suas palavras. Nenhuma ajuda mais para o Príncipe Zagreu, é sério desta vez.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Thanatos|Acho bom. Sobrará para nós dois se você for pego aprontando. Garanta que isso não aconteça.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|...Seria sábio da sua parte ouvir minhas palavras da próxima vez, e temer as consequências de me enganar. A morte pode ser bem desagradável, tenho certeza que sabe.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Sisyphus|Bem, é exatamente isso, Mestre Tânato. Eu nunca fui muito amedrontado por vocês, deuses, se me permite dizer. Ao que eu saiba, todos vocês têm tantos problemas que lidar quanto mortais têm. Exceto um medo da morte.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|O que você sabe sobre os problemas dos deuses? Agora você tem a eternidade para pensar sobre o que fez. Talvez eu dê uma passada aqui de novo depois de uma era ou duas, para ver se você aprendeu algo a mais.
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|Ei, Príncipe Z. Deve parecer que estou pegando leve com a pedra velha, mas... Eu estava me recuperando. As Irmãs Fúria geralmente não me deixam em paz. Para onde elas iriam, afinal? E... o que você está fazendo aqui?
SisyphusFirstMeeting|Sisyphus First Meeting|Zagreus|Ah, sabe, só estou passeando um pouco. Faça-me um favor, se vir as Irmãs Fúria, diga a elas que eu estava voltando de onde vim, certo...?
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|Ah, pode deixar, entendi perfeitamente, Vossa Alteza. Agora vou tratar dos meus assuntos. Cuide-se.
SisyphusMeeting02_A|Sisyphus Meeting 02 A|Sisyphus|Sabe, Príncipe Z., eu não esperava encontrar você de novo, não após todo esse tempo. Há algo de errado na Casa, ou o quê? Não tive muita companhia ultimamente, só isso.
SisyphusMeeting02_A|Sisyphus Meeting 02 A|Zagreus|Ah, sempre tem algum problema lá em casa, senhor. Imaginei que não faria mal verificar como andam as coisas no Tártaro um pouco mais frequentemente.
