Id|Description|Speaker|Text
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Vou falar sério contigo, parça. Você impressionou um peixe muito maior que eu aqui, então... eles estão fazendo uma pequena proposta pra você, tá ouvindo?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|Deixe-me adivinhar... eles querem que eu lute pelo Submundo inteiro, depois de assinar o Pacto de Punição no meu quarto para deixar tudo ainda mais difícil e traiçoeiro do que já é, e se eu conseguir, vão me dar algum brinde inútil de recompensa?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Errado! Estamos falando de coisa grande aqui, parça, tá vendo aquela coisa ali atrás? ''Brindezinho''. Qual é, qual o problema, tá com medinho?
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Eu sabia que você conseguiria, parceiro. Gostou do seu novo prêmio? Pacto de Punição, Pacto da Presunção, eu digo! Sem problemas, não é mesmo? Claro, esse foi o mais fácil; aposto que até eu conseguia esse.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Zagreus|Espera, só pra eu ver se entendi. Eu literalmente atravessei o inferno e voltei, e minha recompensa é só... uma estátua de você? Não me leve a mal, ela é linda, é só... eu não sei o que eu estava esperando.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Olha, guri, teve um pequeno desentendimento na hora que fizemos o pedido dessa coisa, entende? Eu disse pra eles fazerem alguma coisa que me deixasse maneiro pro meu chefe, e é assim que ficou. Mas as outras ficaram muito melhor, você vai ver!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Zé Caveira, deixe-me te perguntar uma coisa. Você realmente encomendou três estátuas semi-idênticas de si mesmo para me convencer a usar o Pacto de Punição?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|Estou ofendido, meu chapa! Você nem viu a terceira ainda, então como você pode insinuar uma coisa dessas?! Talvez eu estivesse errado sobre você. Eu achei que você fosse o cara!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Você só está dizendo isso para me fazer pedir desculpas e tentar liberar a última das três estátuas idênticas, não é mesmo?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|Como pôde dizer isso? Eu devolveria essas estátuas e teria toda a grana de volta agora mesmo, se pudesse me mover! E se elas tivessem uma política de reembolso.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|Olha, sinto muito por estragar suas estátuas, maninho. Sério. Quando eu vi, entrei em pânico. Mas daí eu pensei "não tem como ele ver como elas ficaram'', então só deixei assim e fui improvisando, sabe?
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Zagreus|Você não devia ter me subestimado, parceiro. Mas... Eu não devia ter dito essas coisas ruins sobre suas estátuas. Você deve ter se esforçado bastante para trazê-las até aqui.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|Ah, pode crer, parça! Então a gente tá quite? Já passamos por muita coisa. Nós dois! Realmente aprendemos com essa experiência, e agora, compartilhamos um entendimento mútuo mais profundo, certo?
SkellyFirstMeeting|Skelly First Meeting|Skelly|Lugarzinho bacana você tem aqui, guri! Meu nome é Zé Caveira, beleza? Mas chega de conversa fiada, estou aqui pra trabalhar. Então cai dentro! Ataque com tudo o que você tem!!
SkellyFirstMeeting|Skelly First Meeting|Zagreus|Não me lembro de você ser meu funcionário. Quem é seu supervisor?
SkellyFirstMeeting|Skelly First Meeting|Skelly|Ah, eu não vou trair minhas fontes, nem que você use a força!
SkellyMiscMeeting01|Skelly Misc Meeting 01|Zagreus|Não acha que posso convencê-lo a revidar desta vez?
SkellyMiscMeeting01|Skelly Misc Meeting 01|Skelly|Sem chance, guri! Eu sou pago pra apanhar de você, não pra bater! Agora ataca!!
