Id|Description|Speaker|Text
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|{#DialogueItalicFormat}Ah, hahaha{#PreviousFormat}, chegou a hora, Astério. Ele está aqui! Não está, sua criatura do inferno insignificante? Prepare-se para a derrota!!
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Zagreus|Ah, isso não é justo... aquele é um modelo Macedônio Tau-Lambda banhado a bronze! O que um idiota arrogante como você está fazendo com a biga mais durável criada até hoje?
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|Pah! Você não merece saber. Só que Astério e eu fomos generosamente recompensados de novo. E não vamos hesitar em usar nossos merecidos recursos contra você!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|Ele realmente tentou atiçá-lo contra mim, Astério. Eu posso ver em seus olhos desiguais! Não posso me esquecer da terrível visão que tive, que algum dia ou noite, serei eu a estar sozinho aqui, enquanto você...? Enquanto você se vira contra mim... com este {#DialogueItalicFormat}demônio{#PreviousFormat}!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Zagreus|Astério, sobre isso, por favor considere que é uma oferta sem tempo limite, se quiser. Eu preferiria tê-lo como amigo do que como inimigo. Não tenho certeza se diria o mesmo sobre Teseu, é claro.
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|{#DialogueItalicFormat}Seu verme peçonhento{#PreviousFormat}! Eu sabia que tinhas um truque mais sinistro planejado, porque seu estilo de luta certamente não me preocupa por si só! Realmente não há limites para o quão baixo você iria?!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|...Estou te dizendo, você está {#DialogueItalicFormat}errado{#PreviousFormat}, Astério! Ele não é {#DialogueItalicFormat}realeza{#PreviousFormat}, e sem dúvida nenhuma que {#DialogueItalicFormat}eu {#PreviousFormat}reconheceria! Ele é apenas um deus menor, sem nome, esquecido, nascido das profundezas, e fadado a permanecer lá!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Minotaur|Eu, também, já fui xingado com tais palavras, rei. Enfrentamos este inimigo quantas vezes? E minha opinião é que ele lutou bravamente aqui.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|{#DialogueItalicFormat}Bravamente{#PreviousFormat}?! Se escondendo atrás destes pilares é o que chamas de {#DialogueItalicFormat}bravamente{#PreviousFormat}, Astério? Iremos discutir este estranho lapso de julgamento após alcançarmos nossa vitória!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|Espero que você esteja perfeitamente satisfeito consigo mesmo, cria do inferno. Porque Astério tem estado bem contrariado comigo! A atitude dele. Ele diz que julguei mal a sua laia! {#DialogueItalicFormat}A audácia{#PreviousFormat}.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Minotaur|Rei, você não me escuta. Ainda temos muito o que aprender sobre esse inimigo. Ele nunca aparece equipado do mesmo jeito. Armas, habilidades dos deuses, e assim por diante. Apesar dos nossos esforços... não é fácil interpretar suas estratégias.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|E você vem e me diz que nosso não posso lutar, Astério? Mesmo não tendo dificuldades em {#DialogueItalicFormat}superá-lo {#PreviousFormat}nesse seu labirinto?! Vamos, vamos lutar!
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|Bem, verme! Venha lutar contra nós, eu acho. E aproveite-se ao máximo de todo o estrago que causou! Não somos uma equipe! Somos apenas dois combatentes, que se encontraram ao mesmo tempo, agora.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Minotaur|Rei, acho que você está exagerando. Tente agir de forma racional. E avaliar com mais atenção meu ponto de vista. Não acho que estou pedindo muito.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|Você está me pedindo o impossível! Mas, vamos lutar. E sei que vamos perder também, porque, se não somos uma equipe, o que somos então, Astério...?
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|Por favor, lute comigo novamente, Astério. Quero dizer, assim como antes! Você deve perdoar minhas últimas indecências. Esse maldito demônio... suas mentiras e maquinações fazem meu sangue ferver, ou o equivalente fantasmagórico disso!
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Minotaur|Faça este juramento a mim, rei. Que colocará de lado seus temores sobre nossos laços. O baixinho aqui não irá rompê-los. Ele nem mesmo os compreende. O único capaz de rompê-los é você mesmo.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|Eu... oh, meu querido amigo, Astério, entendo. Claro, você está certo, certíssimo. {#DialogueItalicFormat}Totalmente certo{#PreviousFormat}! Juro solenemente, e com toda convicção, que jamais voltarei a duvidar de nossos laços de companheirismo e irmandade, nem darei ouvidos a esse demônio! Juntos, hoje e para sempre!!
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Theseus|Aproxime-se, canalha, e em breve será esmagado sob as enormes rodas da melhor biga que o mundo já conheceu!
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Zagreus|Você só tem essa biga por minha causa, sabia? É tudo por causa de uma cláusula no Pacto de Punição! Nada que você tenha feito ou merecido. Então pare de cena!
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Theseus|{#DialogueItalicFormat}Hahahahah{#PreviousFormat}, o quê?! Você afirma ser meu benfeitor, quando, na verdade, é meu inimigo figuradamente mortal?! Vou fazer o mesmo que a biga e te atropelar!
TheseusExtremeMeasures03|Theseus Extreme Measures 03|Theseus|Venha, patife! Seja mais uma vez esmagado pelas rodas mordazes da biga Tau-Lambda macedônica!
TheseusExtremeMeasures03|Theseus Extreme Measures 03|Zagreus|Teseu, sabia que você tá ainda mais ridículo do que o normal usando essa máscara? Entendo a carruagem e as armas antiesportivas, mas por que usar essa coisa?
TheseusExtremeMeasures03|Theseus Extreme Measures 03|Theseus|{#DialogueItalicFormat}Bah! {#PreviousFormat}Esta bendita máscara foi lindamente confeccionada pelo grandioso Dédalo em pessoa! Trata-se de uma obra de arte, minha justa proclamação como campeão! O que ele já fez por você?!
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|Veja, Astério, ele voltou! E desta vez, vamos aniquilá-lo sem ajuda das nossas armaduras divinas! Um desafio digno, não acha?
TheseusPactReverted01|Theseus Pact Reverted 01|Minotaur|Cuidado para não subestimá-lo, rei. Ele já se provou problemático antes.
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|Tolice, meu amigo! Pois como alguém pode subestimar o que não merece estima?! Agora, juntos, {#DialogueItalicFormat}ataquem{#PreviousFormat}!
TheseusExtremeMeasures_IfYouWon01|Theseus Extreme Measures If You Won 01|Theseus|Bem, seu monstro inútil, suspeito que não esteja feliz consigo mesmo, agora! Contemplem!! Pois minha gloriosa biga foi restaurada!
TheseusExtremeMeasures_IfYouWon01|Theseus Extreme Measures If You Won 01|Zagreus|Ah, de fato, ótimo trabalho! Deve ter custado uma fortuna em joias e diamantes, restaurar um velho Macedônio. Pensei ter sido destruído da última vez.
TheseusExtremeMeasures_IfYouWon01|Theseus Extreme Measures If You Won 01|Theseus|A única coisa que será destruída aqui, sua escória insensível destruidora de propriedades, será {#DialogueItalicFormat}você{#PreviousFormat}! Astério!! Juntos, vamos derrubá-lo!
TheseusExtremeMeasures_IfYouWon02|Theseus Extreme Measures If You Won 02|Theseus|Minha biga e eu estamos prontos para você, demônio! E, presumo que, Astério também! Eu sinto em meu coração fantasma, que não cairemos pelas suas mãos desta vez!
TheseusExtremeMeasures_IfYouWon02|Theseus Extreme Measures If You Won 02|Zagreus|Sabe, minha opinião sobre o Macedônio Tau-Lambda caiu rapidamente de conceito. Talvez não seja a biga e sim o condutor.
