Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Minhas irmãs e eu tivemos a chance de conversar e chegamos a um acordo, Zagreu. Como você pode ver.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaira, Tis, estão prontas?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Assassinooo{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Três contra um. Não parece tão divertido assim, parece?
FurySistersUnion01|Fury Sisters Union 01|Megaera|Já passamos dessa fase de diversão. Vamos matar você, custe o que custar. Erínias! {#DialogueItalicFormat}Agora{#PreviousFormat}.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|Atenção, Tisífone. Acho que encontrei um assassino para você.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|{#DialogueItalicFormat}Aaaaaassa{#PreviousFormat}ssi... noo...
Fury3SisterUnionSingleSis01_A|Fury Sister Union Single Sis A 3 01|Tisiphone|{#DialogueItalicFormat}Aaassassinoooo{#PreviousFormat}...!
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}Aaaaaa... ssassinoooo...
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|Ei, você deve ser uma das irmãs da Meg, prazer em conhecê-la finalmente! Meu nome é Zagreu. Não é {#DialogueItalicFormat}Assassino{#PreviousFormat}. Definitivamente não.
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|Assassino... {#DialogueItalicFormat}aaaassassinoooooooo...!
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|Olhe, eu fiz algumas coisas que talvez não sejam legais, mas tenho certeza absoluta de que não matei ninguém.
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}Aaaaaassassinoooooooo...!
Fury3PostEnding01|Fury Post Ending 3 01|Zagreus|Estou aqui por negócios oficiais dessa vez, Tisífone, então {#DialogueItalicFormat}uh{#PreviousFormat}... descansar! Mas... acho que o objetivo desse trabalho é que você deve tentar me impedir de qualquer jeito, não é?
Fury3PostEnding01|Fury Post Ending 3 01|Tisiphone|Mmm, hrr-hrr-{#DialogueItalicFormat}iiinnoooo{#PreviousFormat}...
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Zagreus|Ah, sinto muito que você não pôde ir ao banquete lá em Casa, Tisífone. Mas, não acho que era realmente o melhor ambiente para você. Ares estava lá, ele provavelmente já cometeu alguns assassinatos, não é?
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Tisiphone|Assassiiinooo? Assassiiinooo. {#DialogueItalicFormat}Assassssssino{#PreviousFormat}!
Fury3Encounter01|Fury Encounter 3 01|Tisiphone|{#DialogueItalicFormat}Aaaaaassassi{#PreviousFormat}... noo...?
Fury3Encounter01|Fury Encounter 3 01|Zagreus|{#DialogueItalicFormat}Hum{#PreviousFormat}... que tal, não? Não é assassino. Não é assassino!
Fury3Encounter01|Fury Encounter 3 01|Tisiphone|{#DialogueItalicFormat}Aaaaassassinooo....{#PreviousFormat}
Fury3Encounter02|Fury Encounter 3 02|Tisiphone|Assassino...? Assassino, assassinooo...!
Fury3Encounter02|Fury Encounter 3 02|Zagreus|Eu realmente esperava que pudéssemos mudar de assunto. Por favor?
Fury3Encounter02|Fury Encounter 3 02|Tisiphone|Assassinoooo... {#DialogueItalicFormat}assassinoooo{#PreviousFormat}!
Fury3Encounter03|Fury Encounter 3 03|Tisiphone|Aaaaa... aaa.... aaaooo....!
Fury3Encounter03|Fury Encounter 3 03|Zagreus|Deixe-me adivinhar. Assassinato? Assassino, talvez? Um desses dois.
Fury3Encounter03|Fury Encounter 3 03|Tisiphone|Aaa, aaassassinatoo... aaassassinatoo!!
Fury3Encounter04|Fury Encounter 3 04|Tisiphone|Aaaaasssass... sinaaaa, tooo....
Fury3Encounter04|Fury Encounter 3 04|Zagreus|Por favor. Eu não sou um assassino, você não precisa fazer isso.
Fury3Encounter04|Fury Encounter 3 04|Tisiphone|Assassino. Assassinooo....
Fury3Encounter05|Fury Encounter 3 05|Tisiphone|Assassinooo... assassinato, assassinato, {#DialogueItalicFormat}assassinato{#PreviousFormat}!
Fury3Encounter05|Fury Encounter 3 05|Zagreus|Não estamos conseguindo nos comunicar, né? Sinto muito que tenha de ser assim.
Fury3Encounter05|Fury Encounter 3 05|Tisiphone|Assassino. {#DialogueItalicFormat}Assassinoooo{#PreviousFormat}!
Fury3Encounter06|Fury Encounter 3 06|Tisiphone|Assassinato? {#DialogueItalicFormat}Assassinato{#PreviousFormat}...? Assassinato...
Fury3Encounter06|Fury Encounter 3 06|Zagreus|Eu não entendo. Mas eu não sou quem você pensa. Meu pai enviou você para me deter, deve ser isso.
Fury3Encounter06|Fury Encounter 3 06|Tisiphone|Assassino... assassino! {#DialogueItalicFormat}Assassino{#PreviousFormat}!
Fury3Encounter07|Fury Encounter 3 07|Tisiphone|Assa...ssiii..nooo...{#DialogueItalicFormat}assaaassino{#PreviousFormat}!
Fury3Encounter07|Fury Encounter 3 07|Zagreus|Assassinato, não. Zagreu. Meu nome é Zagreu! Consegue dizer isso, Tisífone? Assassinato não. {#DialogueItalicFormat}Zagreu{#PreviousFormat}!
Fury3Encounter07|Fury Encounter 3 07|Tisiphone|Assas... sin... {#DialogueItalicFormat}zaaa{#PreviousFormat}....
Fury3Encounter08|Fury Encounter 3 08|Tisiphone|Ass... ssa... sii... ngreu!
Fury3Encounter08|Fury Encounter 3 08|Zagreus|Você realmente acabou de dizer {#DialogueItalicFormat}Assssasiingreu{#PreviousFormat}, não foi? Isso é progresso! Zagreu! Eu sou Zagreu, não um assassino! Consegue dizer Zagreu?
Fury3Encounter08|Fury Encounter 3 08|Tisiphone|Nooo... zooo... zaah.. zahh, {#DialogueItalicFormat}greaaahhh{#PreviousFormat}!
Fury3Encounter09|Fury Encounter 3 09|Tisiphone|Zehh.... zzahh.... zzzagghh...!
Fury3Encounter09|Fury Encounter 3 09|Zagreus|Você se lembra de mim, Tisífone? Meu nome é Zagreu. Príncipe do Submundo? Bem íntimo da Megaira, eu acho. Tenta dizer Zagreu de novo para mim?
Fury3Encounter09|Fury Encounter 3 09|Tisiphone|Zrrnngh... zaahh... zahh... gree... mmrrsss...?
Fury3Encounter10|Fury Encounter 3 10|Tisiphone|Zzaaahhh... durrr... err... Zzahh... durr.
Fury3Encounter10|Fury Encounter 3 10|Zagreus|Ah você está quase lá, Tisífone! Lembra, Zagreu? Sou eu. Eu não sou seu inimigo, sabe, não sabe? É só o Zagreu!
