Id|Description|Speaker|Text
ZeusWithAthena01|Zeus With Athena 01|Zeus|Ora, veja quem vem lá, Zagreu, se não é a brava Atena e toda a sua perspicácia, a primeira entre todos os meus filhos a aproximar-se de você. Tão proativa, entrou em contato com Zagreu antes mesmo de me comunicar, minha cara!
ZeusWithAthena01|Zeus With Athena 01|Athena|Meu Lorde Pai, quem dera eu pudesse resolver ainda mais assuntos de forma rápida e discreta, para que apenas os assuntos mais importantes cheguem à sua atenção, senhor. Embora, estou certa de que Zagreu e eu somos gratos que você tenha se envolvido.
ZeusWithAres01|Zeus With Ares 01|Zeus|Sobrinho! Pela minha autoridade divina, meu filho tão incompreendido, Ares, lhe emprestará um pequeno sinal de seu poder. Ainda vou torná-lo útil!
ZeusWithAres01|Zeus With Ares 01|Ares|Será exatamente como você diz, Lorde Pai. Seus desejos são idênticos aos meus.
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|Meu jovem, sei que você gostaria de conhecer a graciosa Afrodite cara a cara, ou sei lá, você poderá decidir assim que finalmente chegar aqui! Ele poderá decidir, não é mesmo, minha Lady Afrodite, hm?
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|Nossa, jamais, Lorde Zeus! Esse pareceu ser um comentário um tanto grosseiro de {#DialogueItalicFormat}sua parte{#PreviousFormat}! Que inesperado que seu semblante dourado e reluzente para todos, dirigiria tais palavras para {#DialogueItalicFormat}mim{#PreviousFormat}!
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|Então Zagreu, quando chegar, teremos de encontrar para você um par adequado, não é? Um garoto bonito que nem você! Normalmente, tem muitas opções disponíveis por aqui, com algumas exceções, claro... como minha filha astuta, Ártemis. Teimosamente se recusa a arranjar qualquer tipo de parceiro!
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|Sim, Zagreu, apesar de todos estes pretendentes perfeitos e sarados desfilando em todas as direções, desejando me desposar ou envergonhar, eu por algum motivo, prefiro passar meu tempo em maior parte sozinha ou com minhas amigas ninfas na floresta!
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|Espere um momento, jovenzinho, o que quer que tenha ouvido falar da boa e velha Deméter, estou aqui para esclarecer as coisas. Ela é como uma irmã para mim, sim, mas só de consideração. Embora meus pais Titãs e os delas tenham compartilhado do mesmo destino.
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|Ora, Irmão Postiço Zeus! Mas que momento de honestidade incomum tivemos aqui, vindo de ti! Quase que como você se sentisse compelido a dizer a verdade apenas quando eu estiver diretamente ao alcance da sua voz.
ZeusAboutLuciferAspect01|Zeus About Lucifer Aspect 01|Zeus|Você encontrou Exagryph e proferiu a frase de despertar que lhe dei, meu jovem? Oras, eu mesmo a diria à Exagryph! Lembre-se, é {#DialogueItalicFormat}Eu vejo sua orgulhosa queda dos céus para as chamas{#PreviousFormat}.
ZeusAboutLuciferAspect02|Zeus About Lucifer Aspect 02|Zeus|Esse sim é um visual estranho - até mesmo para Exagryph! Então a frase do despertar funcionou. O usuário deste Aspecto, Lúcifer, não era? Atacou seu próprio lorde pai! Tentou, pelo menos. Uma história nem um pouco incomum, ao que parece.
ZeusAboutDemeter03|Zeus About Demeter 03|Zeus|Percebo que Lady Deméter já fincou suas garras geladas em você, certamente não é a parente mais calorosa do clã, não é? Mas seja paciente com ela, ela passou por muita coisa.
ZeusAboutDemeter01|Zeus About Demeter 01|Zeus|Minha boa irmã Deméter já tentou te colocar contra mim, não é mesmo, meu jovem? Ah, {#DialogueItalicFormat}''irmã postiça''{#PreviousFormat} é como ela prefere que eu diga, o tanto que ela odeia aceitar seu papel em nossa grandiosa família.
ZeusAboutDemeter02|Zeus About Demeter 02|Zeus|Perdoe Lady Deméter por seu ar desdenhoso, Sobrinho, ela ainda está se recuperando do desaparecimento súbito de sua filha, mesmo que tenha sido a muito tempo atrás que a garota fez {#DialogueItalicFormat}puf{#PreviousFormat}! Simplesmente desapareceu. Tento ajudá-la a superar o assunto de vez em quando, mas {#DialogueItalicFormat}não{#PreviousFormat}, sempre uma ferida aberta!
