Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...Немало дней я ухаживала за этим садом... или ночей? Здесь нелегко определить время суток. Однако всё это заняло куда больше времени, чем я ожидала...
Ending01|Ending 01|Hades|...Персефона... Я...
Ending01|Ending 01|Persephone|Цербер! Я так соскучилась по тебе. Ты как всегда верен своему долгу.
Ending01|Ending 01|Hades|...Мне жаль. Знай, что мне жаль.
Ending01|Ending 01|Persephone|Аид... ты выглядишь уставшим. Но тебе следует извиняться не только предо мною.
Ending01|Ending 01|Hades|Знаю. Знаю, я... Почему ты вернулась? Если об этом прознает Олимп... если об этом прознает твоя мать, даже сам *Зевс *не сможет остановить то, что здесь начнётся!
Ending01|Ending 01|Persephone|*О*, у меня есть пара идей, как это уладить. Но потребуется, чтобы вы с Загреем помогли мне с решением этой проблемы. Или, если тебе так угодно, я могу вернуться обратно тем же путём, которым пришла.
Ending01|Ending 01|Hades|С решением? Что же, ты хочешь собрать их всех вместе за столом с амброзией? Даже тебе не по силам воссоединить распавшуюся семью, Персефона.
Ending01|Ending 01|Persephone|Да, ты прав, Аид! Уж точно не в одиночку. Итак, ты будешь мне помогать или нет?
Ending01|Ending 01|Hades|...Я сделаю всё, что бы ты ни попросила.
Ending01|Ending 01|Persephone|Тогда первым делом побеседуй со своим сыном.
Ending01|Ending 01|Hades|...Хм. Загрей? Ты уже знаком с Персефоной, нашей царицей. Будь добр, всегда относись к ней с почтением!
Ending01|Ending 01|Zagreus|Вау, отец, ты назвал меня по имени! Что же за необычное чувство охватывает меня? Возможно, это почтение, о котором ты говоришь?
Ending01|Ending 01|Persephone|Ах, прекратите. Не заставляй меня жалеть об этом, Аид. Будь честен с ним — расскажи о своих чувствах, а не обо мне. Давай же.
Ending01|Ending 01|Hades|Да, я... Загрей, знаю, бывали времена... когда я срывался на тебе. Я был излишне нетерпелив. Нередко сомневался в твоих решениях, когда мои собственные были не идеальны. Поэтому я приношу тебе свои извинения, сын мой. Мне нет оправданий. И я не прошу простить меня.
Ending01|Ending 01|Zagreus|А как насчёт того, что ты солгал мне о матери? Не хочешь извиниться за это? Твоё дурное настроение и вечные попытки сорваться на мне... К такому отношению от тебя я уже привык, и оно всегда обижало меня. Но мне вечно казалось... что ты не лжёшь.
Ending01|Ending 01|Hades|Когда мы с твоей матерью впервые повстречались, она пришла сюда не по своей воле. И когда она ушла... поверив, что ты умер при рождении... это было её окончательное решение. Мне думалось, что ей будет лучше без всех нас, включая олимпийцев. Обманув вас обоих... я пошёл против самой своей сути. Но это было необходимо.
Ending01|Ending 01|Zagreus|Что ж, тебе не следовало вымещать всю свою внутреннюю неразбериху на мне всю мою жизнь. Хотя, думаю, я могу понять тебя. Хотелось бы только, чтобы я понял раньше. Итак, эм... а что теперь? Я уже настолько привык проводить ревизию твоих владений, что, пожалуй, буду скучать по этому.
Ending01|Ending 01|Hades|Кстати об этом... твоя *ревизия *выявила множество недостатков в нашей системе безопасности. Таких, о которых никогда не пишут в отчётах. Наша репутация основана на том, что отсюда невозможно сбежать. Почему бы тебе... не продолжить свои попытки побега? Не ради меня. Ради этого царства и нашей царицы.
Ending01|Ending 01|Persephone|Загрей... Если ты продолжишь сражаться там... Мы сможем и дальше притворяться, что ничего не изменилось.
