Id|Description|Speaker|Text
AchillesFirstMeeting_Alt|Achilles First Meeting Alt|Achilles|Рад видеть тебя, парень. В последнее время ты был очень занят, не так ли? Дай мне знать, если я могу чем-нибудь тебе помочь, хотя, как мне кажется, ты и сам отлично справляешься.
AchillesGrantsCodex|Achilles Grants Codex|Achilles|Рано или поздно у тебя всё получится, парень. Наши учебные поединки были полезны, но настоящий бой — лучший учитель. И вот ещё, у меня кое-что для тебя есть.
AchillesGrantsCodex|Achilles Grants Codex|Zagreus|Постой, ты отдашь мне свой Кодекс? Я не могу принять его!
AchillesGrantsCodex|Achilles Grants Codex|Achilles|Нет, я настаиваю. Хочу, чтобы твоя любовь к истории росла не меньше, чем любовь к сражениям. Кроме того, возможно, ты сумеешь его дописать.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|Ахиллес, а правда, что после моего ухода Цербер разнёс комнату отдыха? Ему, наверное, здорово влетело.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Achilles|Это было достойное зрелище, парень. Комната напоминала виноградник после урагана! Твой царственный отец был вне себя от ярости. Но он не может злиться на эту собаку. А вот бедняжка Дуза теперь пытается навести там порядок.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|О, нет, я как раз думал о том, что случилось с Дузой. Она и без того вечно беспокоится, что отец уволит её.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|Должен заметить, парень, это место кажется более оживлённым, чем обычно. Кое-какие старые предметы интерьера подлатали, добавили новую мебель... и правда, получилось неплохо. Это ведь тебя нужно благодарить, не так ли?
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Zagreus|Ах, это. Не стоит. Но я рад, что картина изменилась к лучшему. Всё это сделал наш подрядчик. Я просто говорю ему, что делать.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|И платишь за работу. У твоего отца свой способ управления Подземным миром. Этот старый Дом роскошен, но повелитель Аид давно уже не пытается сделать жизнь в нём хотя бы сносной. Поэтому мы ценим такие перемены.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Achilles|Не сдавайся, парень. Я знал немало великих мужей и вижу, когда кто-то способен найти выход из самых худших ситуаций. Сражайся, как сражался бы я сам.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Zagreus|Я задам им жару, как это делал ты когда-то, Ахиллес. Без сомнения, многие тени, что сражаются против меня, были отправлены в Тартар именно тобой.
AchillesMiscMeeting02|Achilles Misc Meeting 02|Zagreus|Не знаешь, кого поблагодарить за оружие, выставленное рядом с моими покоями, Ахиллес?
AchillesMiscMeeting02|Achilles Misc Meeting 02|Achilles|Уж точно не скажу, парень. Но если встречу этого человека, то передам благодарность.
AchillesMiscMeeting03|Achilles Misc Meeting 03|Achilles|Твой враг — не проклятые мертвецы и не твой отец, парень. Твой враг — сам Подземный мир. Он был создан так, чтобы никто не мог сбежать. Ты, должно быть, уже заметил, что все залы здесь словно меняются местами.
AchillesMiscMeeting03|Achilles Misc Meeting 03|Zagreus|Подземный мир — мой враг... Я постараюсь предугадать его сюрпризы, наставник.
AchillesMiscMeeting04|Achilles Misc Meeting 04|Achilles|Что до запечатанного оружия у твоих покоев — я не думаю, что твой отец заметит его отсутствие. Оно напоминает ему о тех временах, когда он сражался на одной стороне со своими братьями и сёстрами. Он не желает больше вспоминать о том времени. Я думаю, правильно, что их сила перешла тебе по наследству.
AchillesMiscMeeting04|Achilles Misc Meeting 04|Zagreus|Сила, которая когда-то помогла победить титанов... Возможно, эта сила позволит мне выбраться отсюда. Спасибо за помощь, Ахиллес.
AchillesAboutFistWeapon01|Achilles About Fist Weapon 01|Zagreus|Недавно я познакомился с перчатками-близнецами Мальфон. Я с ними почувствовал какое-то новое для меня рвение к битве. Казалось бы, разве можно голыми руками добиться разрушительной силы под стать другому оружию?
AchillesAboutFistWeapon01|Achilles About Fist Weapon 01|Achilles|Врукопашную, парень, ты становишься куда разрушительнее любого оружия. Рука — это единственное в своём роде оружие, способное управлять другими. А без неё весь их смысл сходит на нет. Перчатки-близнецы — тому подтверждение. Используй их с умом. И голову не потеряй.
AchillesAboutGunWeapon01|Achilles About Gun Weapon 01|Zagreus|Я нашёл ещё одно оружие во внутреннем дворе, Ахиллес. Эксагриф. Я никогда не был до конца уверен, что он существует.
AchillesAboutGunWeapon01|Achilles About Gun Weapon 01|Achilles|Только между нами, парень... хотелось бы мне, чтобы он не существовал. Если бы подобная штуковина была в руках у моих врагов во времена былых сражений, несомненно, я попал бы сюда ещё быстрее. Но я верю, что ты сможешь использовать его с умом. Пусть он служит тебе так же верно, как когда-то служил богине огня Гестии... Она в нём пока что не нуждается.
AchillesAboutQuestLog01|Achilles About Quest Log 01|Achilles|Ну и дела, парень! Должен сказать, надо быть невероятно смелым, чтобы санкционировать перемещение Рокового списка из старых архивов прямо в свою комнату. Да ещё и прямо под носом у своего отца.
AchillesAboutQuestLog01|Achilles About Quest Log 01|Zagreus|А, ты про это? Насколько я осведомлён, это всего лишь услуга Подрядчика Дома. Да и вряд ли бы что-то из списка исполнилось, если бы он так и оставался в архиве!
AchillesAboutQuestLog01|Achilles About Quest Log 01|Achilles|Ну, другое дело. Если мне что-то и известно, так это то, что всё сказанное Мойрами обязательно сбывается. Но если хочешь им в этом помочь, то, думаю, они в долгу не останутся.
AchillesAboutBoonList01|Achilles About Boon List 01|Achilles|Решил оставить заказ Подрядчику Дома на сортировку твоего Кодекса, парень. Теперь, когда тебе известно столь многое об Олимпе, я подумал, что тебе будет непросто отслеживать их дары и всё такое.
AchillesAboutBoonList01|Achilles About Boon List 01|Zagreus|Да, это и правда будет полезно, наставник! Я всё ещё пытаюсь разобраться в своих способностях, да ещё и все силы олимпийцев объединяются с моими.
AchillesAboutSuperLockKeys01|Achilles About Super Lock Keys 01|Zagreus|Наставник Ахиллес, я тут нашёл некий артефакт... капля древней крови, она появилась после моей битвы с Мегерой. Неужели я и вправду нашёл кровь титанов?
AchillesAboutSuperLockKeys01|Achilles About Super Lock Keys 01|Achilles|Насколько мне известно, парень, да, так и есть. Но я не уверен, чья именно. Советую оставить её себе и хранить в безопасности. Твоё оружие... жаждет её и когда-нибудь впитает. Если не сейчас, то очень скоро.
AchillesAboutSuperGiftPoints01|Achilles About Super Gift Points 01|Zagreus|Смотри, что у меня есть, наставник Ахиллес! Бутылочка винтажной амброзии, которую я стащил прямо из Элизиума! Слыхал, она бесподобна, но... у меня не получается её открыть. Не пойму, что мне с ней сейчас делать.
AchillesAboutSuperGiftPoints01|Achilles About Super Gift Points 01|Achilles|Напиток богов! Он и вправду прекрасен, это верно. Но он предназначен лишь для тех, кто тебе больше всего дорог. Попридержи его у себя, подожди, пока не придёт время. Уверен, тебе будут благодарны за такой подарок. Ну, или можешь посмотреть, что за него даст тот Проклятый торговец.
AchillesAboutOnions01|Achilles About Onions 01|Zagreus|Наставник Ахиллес, у меня есть крайне важный вопрос... Почему ты так ненавидишь луковицы? Неужели они чем-то обидели тебя?
AchillesAboutOnions01|Achilles About Onions 01|Achilles|Как только ты разрежешь хотя бы одну луковицу... она заставит тебя плакать. Тебе это не кажется жутким, парень? Я не собираюсь проливать слёзы из-за какого нарезанного овоща.
AchillesAboutOnions01|Achilles About Onions 01|Zagreus|Ну, судя по всему, они довольно вкусны, если не есть их сырыми.
AchillesPostFlashback01|Achilles Post Flashback 01|Achilles|Твои дальние родственники, олимпийцы... Они хотят помочь тебе выбраться отсюда, не так ли? Надеюсь, их намерения так же чисты, как кажутся. Они не слишком ладят с твоим отцом.
AchillesPostFlashback01|Achilles Post Flashback 01|Zagreus|Как и я сам, по всей видимости. Я приму любую помощь, чтобы выбраться отсюда.
AchillesPostFlashback01|Achilles Post Flashback 01|Achilles|Рад это слышать. Я знал слишком многих, кому гордость мешала попросить о помощи, даже когда они в ней очень нуждались. Но будь осторожен, парень.
AchillesFlashback02|Achilles Flashback 02|Achilles|Побеседуем позже. Лучше не заставлять твоего отца ждать.
AchillesAboutMegaeraRelationship01|Achilles About Megaera Relationship 01|Achilles|Постой минутку, парень. Я этот взгляд узнаю за версту. Тебе в последнее время тяжко, не так ли?
AchillesAboutMegaeraRelationship01|Achilles About Megaera Relationship 01|Zagreus|Ну, знаешь, просто... как обычно пытаюсь продраться на поверхность, как правило встречая при этом постыдную смерть, но... подожди, ты ведь про то, что у меня с Мегерой.
