Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|У меня была возможность поговорить с сёстрами, Загрей, и, как ты видишь, мы пришли к соглашению.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Мегера, Тис, вы готовы?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|*Уби-и-ийца-а*!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Втроём против одного. Это совсем не похоже на честную игру, а?
FurySistersUnion01|Fury Sisters Union 01|Megaera|Нам давно уже не до игр. Мы уничтожим тебя, чего бы нам это ни стоило. Эринии! *Пора*.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Megaera|Видишь, Алекто? Он не опоздал, как я и говорила.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Alecto|Мегера, пусти ему *кровь*!
Fury2SisterUnion01|Fury 2 Sister Union 01|Alecto|Ты готова, Мегера? Тисифона? Вперёд!
Fury2SisterUnionSingleSis01|Fury 2 Sister Union Single Sis 01|Alecto|Посмотри на это, сестра! Паршивый бог снова вернулся к нам. Приступим к делу.
Fury2SisterUnionWithMeg01|Duo - Union and Meg (1)|Alecto|Фу, ты только *посмотри *на него! Этот самодовольный вид, эта поза, да вообще *всё*! Только не говори мне, что ты становишься милосерднее к этому паршивому богу, сестра.
Fury2SisterUnionWithMeg01|Duo - Union and Meg (1)|Megaera|Уймись, Алекто. Когда мы в последний раз нуждались в одобрении друг друга? Да и потом, если мы его убьём, какое тебе до этого дело?
Fury2SisterUnionWithMeg01|Duo - Union and Meg (1)|Alecto|А знаешь, ты права, сестра! Отлично сказано. *Давай-ка убьём его прямо сейчас*!
Fury2SisterUnionWithMeg02|Duo - Union and Meg (2)|Alecto|Посмотри-ка на этого омерзительного паршивца — опять собирается залить кровью наш прекрасный начищенный пол. Готов сразиться с моей очаровательной сестрой, краснокровка?
Fury2SisterUnionWithMeg02|Duo - Union and Meg (2)|Megaera|Не такой уж он и омерзительный, если узнать его поближе, сестра. Хотя это не важно, учитывая, что мы собираемся сделать.
Fury2SisterUnionWithMeg02|Duo - Union and Meg (2)|Alecto|Меня тошнит от вас обоих, Мег, вот что я тебе скажу. Ну-ка соберись и *убей *его в этот раз, чёрт возьми!
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|Должно быть, ты решился подписать Пакт! Верно, краснокровка? Отвечай сейчас же.
Fury2PactReaction01|Fury 2 Pact Reaction 01|Zagreus|По правде говоря, да. Но я не понимаю, каким боком это тебя касается, Алекто.
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|Я люблю работать *одна*! И тебе не кажется, что сейчас что-то пошло не так, м? Поэтому меня это касается, понятно? Как и то, что я собираюсь убить *тебя*!
