Id|Description|Speaker|Text
ZeusWithAres01|Duo - Zeus and Ares (1)|Zeus|Племянник! По моему повелению мой сын Арес, мотивы которого ясны немногим, вручит тебе небольшой дар — символ своей силы. Из него ещё выйдет толк!
ZeusWithAres01|Duo - Zeus and Ares (1)|Ares|Всё будет в точности так, как ты сказал, мой царственный отец. Мои желания полностью совпадают с твоими.
AresWithPoseidon01|Duo - Ares and Poseidon (1)|Ares|Прости мне мою откровенность, мой рождённый в преисподней собрат, но порой я сожалею, что не могу ближе узнать твоего отца. Мой отец и дядя здесь... у нас не так уж и много общего.
AresWithPoseidon01|Duo - Ares and Poseidon (1)|Poseidon|Возможно, если бы ты был не таким эксцентричным и немного более дружелюбным, Арес, у нас было бы гораздо больше общего! Не стесняйся обращаться ко мне за советами!
AresWithAthena01|Duo - Ares and Athena (1)|Ares|Я лишь хотел ещё раз поговорить с тобой с глазу на глаз, собрат, только, видишь ли...
AresWithAthena01|Duo - Ares and Athena (1)|Athena|...Только дело в том, дорогой кузен, что некоторые члены нашей семьи способны на немыслимые вещи. На твоём месте я была бы осторожнее с моим сводным братом, вот и всё. А теперь продолжай.
AresWithAthena01|Duo - Ares and Athena (1)|Ares|Ты снова перебиваешь меня, дорогая сестра. А ты ведь знаешь, что это я этого не люблю. Предупреждаю тебя: не вмешивайся в мои дела. Я буду помогать своему собрату так, как посчитаю нужным.
AresWithAthena01|Duo - Ares and Athena (1)|Athena|Ты поступаешь только так, как считаешь нужным, владыка Арес. Постарайся двигаться в том же направлении, что, и все мы.
AresWithAphrodite01|Duo - Ares and Aphrodite (1)|Ares|С нетерпением жду того дня, когда ты наконец прибудешь на Олимп. Мало кто здесь разделяет мои интересы, а вот ты, кажется, мог бы.
AresWithAphrodite01|Duo - Ares and Aphrodite (1)|Aphrodite|И всё же здесь сейчас присутствуют те, кто разделяет эти интересы, не так ли, владыка Арес? Что касается тебя, дорогуша, не торопись и действуй, как сочтёшь нужным!
AresWithAphrodite02|Duo - Ares and Aphrodite (2)|Ares|Войны во имя любви, собрат... Представляешь себе? Мы с владычицей Афродитой можем вечно обсуждать сей вариант развития событий. Думается мне, иногда ты перестаёшь задаваться вопросом, что же вынудило тебя сражаться. Если бы для сражений вообще нужна была причина.
AresWithAphrodite02|Duo - Ares and Aphrodite (2)|Aphrodite|Ах, владыка Арес, не следует затуманивать мысли и суждения нашего юного бога подобными комментариями, м-м? Давай просто даруем ему то, чего он желает, и продолжим разговор наедине.
AresWithDionysus01|Duo - Ares and Dionysus (1)|Ares|А, собрат! А я тут как раз расспрашивал владыку Диониса о том, при каких обстоятельствах смертные обычно устраивают свои величайшие пиры. Ибо есть у меня некоторые догадки на сей счёт...
AresWithDionysus01|Duo - Ares and Dionysus (1)|Dionysus|Да-да, Арес, отдаю тебе должное, дружище. Пирушки после войн — самые грандиозные, ты прав! Если тебе повезло оказаться на выжившей стороне. Осмелюсь предположить, что в противном случае пировать придётся там внизу вместе с *тобой*, Заг!
AresWithDemeter01|Duo - Ares and Demeter (1)|Ares|Холод смерти весьма к лицу богине Деметре, тебе так не кажется, мой смертоносный собрат? Да и она к нему уже почти привыкла.
AresWithDemeter01|Duo - Ares and Demeter (1)|Demeter|Ты забываешься, владыка Арес. Я куда старше тебя, и насланный мною голод успел сразить десятки тысяч смертных ещё до того, как ты впервые осмелился замыслить подобное.
