Id|Description|Speaker|Text
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|Итак, Загрей, как только ты прибудешь к нам, надо будет обязательно подыскать тебе подходящую пару, ведь ты такой замечательный юноша! Обычно выбор здесь крайне широк, ну, кроме некоторых исключений, конечно же... например, только погляди на мою дочь Артемиду. Она упорно отказывается выбирать себе пару!
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|Да, Загрей, несмотря на всех этих идеальных, мужественных и видных мужчин повсюду, которые постоянно пытаются смутить меня или жениться на мне, почему-то я предпочитаю коротать время в одиночестве или с моими подругами-нимфами в лесу!
ArtemisWithZeus01|Artemis With Zeus 01|Artemis|Кхм, Загрей... в этот раз вместо нашего обычного приветствия позволь представить тебе моего знаменитого, доброго и щедрого царственного отца — твоего великого дядю Зевса!
ArtemisWithZeus01|Artemis With Zeus 01|Zeus|*Кхм*, благодарю за предисловие, доченька! Теперь ты можешь бежать по своим делам — веселиться с нимфами, или чем ты ещё любишь заниматься. А я помогу моему племяннику. И одарю его твоим робким благословением, если ты не против.
ArtemisWithPoseidon01|Artemis With Poseidon 01|Artemis|Ты ведь уже хорошо знаком с моими отцом и дядей, верно, Загрей? Даже не знаю, кто из них хуже. *Эм*, то есть... главнее! Главнее, несмотря на то, что большую часть времени один из них проводит в морях под Олимпом, не так ли, дядя?
ArtemisWithPoseidon01|Artemis With Poseidon 01|Poseidon|Ох, Артемида, не обязательно восхвалять меня перед младшеньким Аидом! То, что ты находишься в море, над ним или под ним, абсолютно не влияет на твою божественную суть! Вы двое ещё молоды! Продолжайте в том же духе и вскоре вам почти удастся сравниться со мной!
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Эй, *эм*, Загрей! Я хочу тебя кое о чём спросить, только не пойми меня неправильно, хорошо? О нет, это она.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|Почему ты так молчалива, Артемида! Тому виной наш юный бог из Подземного мира или всё же я? *Кх-хм*, уверена, ты сама разберёшься!
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Послушай, я хотела, *кхм*... просто... неважно. Поговорим с тобой в другой раз.
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Artemis|Кхм, Загрей, несмотря на мои охотничьи инстинкты, в этот раз мне не удалось ускользнуть от Афродиты, которая настояла на том, чтобы по какой-то причине мы вместе явились пред тобою...
