Id|Description|Speaker|Text
ZeusWithAthena01|Zeus With Athena 01|Zeus|Гляди, Загрей, вот и отважная Афина — первая из всей моей семьи, кому удалось связаться с тобой благодаря своей расчётливости. Ты так предусмотрительна, дорогая, — явилась перед ним, даже не предупредив меня!
ZeusWithAthena01|Zeus With Athena 01|Athena|Мой царственный отец, если бы я только могла улаживать такие дела быстро и незаметно, чтобы обращаться к тебе за помощью только в самых сложных случаях! Впрочем, я уверена, что Загрей, так же как и я, благодарен тебе за помощь.
AresWithAthena01|Ares With Athena 01|Ares|Я лишь хотел ещё раз поговорить с тобой с глазу на глаз, собрат, только, видишь ли...
AresWithAthena01|Ares With Athena 01|Athena|...Только дело в том, дорогой кузен, что некоторые члены нашей семьи способны на немыслимые вещи. На твоём месте я была бы осторожнее с моим сводным братом, вот и всё. А теперь продолжай.
AresWithAthena01|Ares With Athena 01|Ares|Ты снова перебиваешь меня, дорогая сестра. А ты ведь знаешь, что это я этого не люблю. Предупреждаю тебя: не вмешивайся в мои дела. Я буду помогать своему собрату так, как посчитаю нужным.
AresWithAthena01|Ares With Athena 01|Athena|Ты поступаешь только так, как считаешь нужным, владыка Арес. Постарайся двигаться в том же направлении, что, и все мы.
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Ты должен простить нас, юный бог, — всю нашу разношёрстную семейку на Олимпе! Некоторые из нас ужасно высокомерны и любят чрезмерно всё усложнять.
AphroditeWithAthena01|Aphrodite With Athena 01|Athena|Хотела бы я знать, дражайшая Афродита, сможешь ли ты повторить подобное мне в лицо?
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Ах, ты должна прекрасно знать, что я бы сделала с твоим лицом куда больше, дорогая Афина! Будем честны, над твоим личиком не помешало бы поработать!
AphroditeWithAthena02|Aphrodite With Athena 02|Aphrodite|Дорогуша, да будет тебе известно, мы с богиней Афиной не всегда сходимся во мнениях. Вероятно, потому что она вечно предаётся долгим размышлениям, в то время как я повинуюсь зову сердца!
AphroditeWithAthena02|Aphrodite With Athena 02|Athena|Рада, что мы понимаем друг друга. Не хотелось бы, чтобы Загрей увидел, как мы с тобой вечно препираемся.
