Id|Description|Speaker|Text
ZeusWithDemeter01|Duo - Zeus and Demeter (1)|Zeus|Так-так, юноша, что бы тебе ни наговорили о славной Деметре, я хочу всё прояснить. Она как сестра мне, это верно. Хотя и её родителей-титанов, и моих постигла одна и та же участь.
ZeusWithDemeter01|Duo - Zeus and Demeter (1)|Demeter|Ну что же ты, приёмный братец Зевс! Удивительно слышать от тебя настолько откровенные речи! Кажется, будто ты говоришь правду лишь тогда, когда я могу тебя услышать.
AresWithDemeter01|Duo - Ares and Demeter (1)|Ares|Холод смерти весьма к лицу богине Деметре, тебе так не кажется, мой смертоносный собрат? Да и она к нему уже почти привыкла.
AresWithDemeter01|Duo - Ares and Demeter (1)|Demeter|Ты забываешься, владыка Арес. Я куда старше тебя, и насланный мною голод успел сразить десятки тысяч смертных ещё до того, как ты впервые осмелился замыслить подобное.
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Artemis|О, привет, Загрей, а я тут как раз безуспешно пытаюсь уговорить владычицу Деметру ослабить власть снега, который хозяйничает у нас уже какое-то время. Некоторых смертных он порядком утомил, да и охотиться с ним куда сложнее!
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Demeter|Смертные изобретательны, Артемида. Пожалуй, это единственная их хорошая черта! Они найдут способ пережить долгую зиму. Им придётся, ибо они сами навлекли её на себя.
AphroditeWithDemeter01|Duo - Aphrodite and Demeter (1)|Aphrodite|Почтенная богиня смены времён года Деметра предпочитает выглядеть как можно более недоступной, представляешь себе, дорогуша? Хотя мне не понять, почему хоть кому-то может нравиться видеть столько мелких морщинок на своём лице.
AphroditeWithDemeter01|Duo - Aphrodite and Demeter (1)|Demeter|Ах, дорогая Афродита... твои знания поверхностны, а внешний вид заставляет задуматься о пристойности. Выбранное тобою обличье полностью раскрывает все твои стремления и интересы.
DionysusWithDemeter01|Duo - Dionysus and Demeter (1)|Dionysus|Эй, Заг, хочу попросить тебя об услуге: не мог бы ты уговорить владычицу Деметру смилостивиться и перестать запрещать всему расти, чем она занимается в последнее время?
DionysusWithDemeter01|Duo - Dionysus and Demeter (1)|Demeter|Осмелюсь заметить, владыка Дионис, что тебе пошло бы на пользу уменьшить своё потребление вина хотя бы ненадолго. И всё же, тебе не уговорить меня улучшить урожай.
AthenaWithDemeter01|Duo - Athena and Demeter (1)|Athena|Хочу представить тебе владычицу Деметру, кузен. Я попросила её ни о чём беспокоиться и заверила, что твои дела полностью под контролем. Однако из своего бесконечного сострадания она решила помочь тебе, несмотря ни на что!
AthenaWithDemeter01|Duo - Athena and Demeter (1)|Demeter|Ах, не нужно усыпать меня своей робкой похвалой, дорогая Афина. Зная о твоём безграничном уме, я полагала, ты понимаешь, что я вижу все твои замыслы насквозь.
PoseidonWithDemeter01|Duo - Poseidon and Demeter (1)|Poseidon|Моя приёмная сестра, богиня Деметра, несмотря на свою суровость, нередко подшучивает надо мной, племянник! О, а вот и она!
PoseidonWithDemeter01|Duo - Poseidon and Demeter (1)|Demeter|Если ты уже закончил трепать языком, Посейдон, пора бы и отправить нашего Загрея по его важным делам. Ему нужны твои благословения, а не мнение. Не так ли, малый росточек?
DemeterWithZeus01|Duo - Demeter and Zeus (1)|Demeter|Что ж, малый росточек, ты уже повстречал так называемого царя олимпийцев и познакомился со мной. Кто же, по-твоему, является истинным правителем нашей заснеженной вершины?
DemeterWithZeus01|Duo - Demeter and Zeus (1)|Zeus|О, *ха-ха-ха*, владычица Деметра! Ты так же остроумна, как суха необработанная земля, о которой ты должна заботиться! Возможно, тебе следовало бы вернуться к этому занятию, но для начала давай поможем нашему юноше!
DemeterWithPoseidon01|Duo - Demeter and Poseidon (1)|Demeter|А, малый росточек. Я тут как раз напоминала владыке Посейдону, что все его владения существуют только потому, что мне так угодно. Помни, мой приёмный брат, я могу заморозить твои океаны по своей прихоти.
DemeterWithPoseidon01|Duo - Demeter and Poseidon (1)|Poseidon|*А-ха-ха-ха! *Прекрасно сказано, почтенная богиня Деметра! Ты вновь напомнила мне о своём богатом опыте, но я думаю, нам всем больше по нраву океаны в виде жидкости, не так ли, племянник?!
DemeterWithAthena01|Duo - Demeter and Athena (1)|Demeter|Подумать только, малый росточек, Афина — наша расчётливая богиня-воительница — появилась на свет из головы Зевса! Я и помыслить не могла, что оттуда сможет появиться что-то настолько умное.
DemeterWithAthena01|Duo - Demeter and Athena (1)|Athena|Не обращай внимания на добродушные шутки владычицы Деметры, Загрей. Они с моим отцом часто подшучивают друг над другом, даже в самые тяжёлые времена.
DemeterWithAres01|Duo - Demeter and Ares (1)|Demeter|Юный Загрей, раз ты здесь, скажи владыке Аресу, что его великая сила ничего не стоит без моей. У войн есть причины, и многие из них появляются благодаря мне.
DemeterWithAres01|Duo - Demeter and Ares (1)|Ares|Я не сомневаюсь, что ты можешь сподвигнуть смертных начать войну, величественная богиня Деметра. Мы могли бы сойтись на том, что наши силы весьма соизмеримы!
DemeterWithAphrodite01|Duo - Demeter and Aphrodite (1)|Demeter|Запомни вот что, Загрей: ничто не заставит трепетать ледяное сердце. Не правда ли, Афродита, дорогая?
DemeterWithAphrodite01|Duo - Demeter and Aphrodite (1)|Aphrodite|О, даже не знаю, моя дражайшая Деметра! Ледяные сердца нередко оттаивают и затем начинают биться с новой силой. Я верю, что твоё время ещё придёт! Никогда не бывает поздно, разве что для несчастных смертных.
