Id|Description|Speaker|Text
AresWithDionysus01|Ares With Dionysus 01|Ares|А, собрат! А я тут как раз расспрашивал владыку Диониса о том, при каких обстоятельствах смертные обычно устраивают свои величайшие пиры. Ибо есть у меня некоторые догадки на сей счёт...
AresWithDionysus01|Ares With Dionysus 01|Dionysus|Да-да, Арес, отдаю тебе должное, дружище. Пирушки после войн — самые грандиозные, ты прав! Если тебе повезло оказаться на выжившей стороне. Осмелюсь предположить, что в противном случае пировать придётся там внизу вместе с {#DialogueItalicFormat}тобой{#PreviousFormat}, Заг!
ArtemisWithDionysus01|Artemis With Dionysus 01|Artemis|О, чудесно, это ты, Загрей! Вот, позволь предложить тебе новенькие отличные дары вместе с владыкой Дионисом, который, несомненно, будет счастлив проехать по твоим ушам так же, как и по моим!
ArtemisWithDionysus01|Artemis With Dionysus 01|Dionysus|Кхм, вечно она говорит мне, что я слишком громкий, чтобы я отстал от неё, да и другие неприятные слова. Но ничего с этим не поделаешь, верно?
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Aphrodite|Мои силы, дорогуша, нередко неразрывно связаны с силами Диониса, благодаря которым умы находят красоту там, где её и нет!
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Dionysus|{#DialogueItalicFormat}Ах, ха-ха{#PreviousFormat}, не надо мне столько неприкрыто льстить, владычица Афродита! Уверен, красота почти всегда заключается в уме! А ещё в мускулах, линии подбородка и успешной улыбке — да ты и сама всё знаешь, правда?
DionysusWithZeus01|Dionysus With Zeus 01|Dionysus|Эй, Заг! Мой папуля здесь и хочет сказать тебе пару слов. Ты только не дёргайся и соглашайся со всем, что он скажет, лады?
DionysusWithZeus01|Dionysus With Zeus 01|Zeus|Дионис чересчур увлекается предисловиями, но хотя бы проявляет ко мне должное уважение. Возможно, однажды он объяснит тебе традиции и обычаи Олимпа.
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Эм{#PreviousFormat}, Заг, {#DialogueItalicFormat}кхм{#PreviousFormat}... тут твой дядя проходил — не папуля, а, {#DialogueItalicFormat}кхм{#PreviousFormat}, тот, второй, — и он хочет посмотреть, как ты тут справляешься...
DionysusWithPoseidon01|Dionysus With Poseidon 01|Poseidon|{#DialogueItalicFormat}Ага{#PreviousFormat}, а вот и ты, мой племянничек! Дионис рассказывает тебе, что к чему, да? Но если тебе нужен настоящий пир, ты просто держись {#DialogueItalicFormat}меня{#PreviousFormat}. А теперь возьми моё благословение, {#DialogueItalicFormat}вот{#PreviousFormat}!
