Id|Description|Speaker|Text
HermesSecondPickUp|Hermes Second Pick Up|Hermes|Что у тебя там происходит, братец? Я ведь могу так тебя называть? У меня для тебя кое-что есть. Это поможет укокошить всех врагов ещё быстрее!
HermesExpectingZeus01|Hermes Expecting Zeus 01|Hermes|Прости, босс, у моего старика возникли неотложные дела. Но теперь я здесь! Передаю тебе это сообщение и ещё кое-что.
HermesExpectingPoseidon01|Hermes Expecting Poseidon 01|Hermes|Я здесь, чтобы сообщить, что Посейдон уже в пути, босс. Порой он такой медлительный. Но всё равно ты встретишься с ним!
HermesExpectingAthena01|Hermes Expecting Athena 01|Hermes|Ждал кого-то другого, босс? Возможно, одну мою сводную сестру? Что ж, не повезло тебе — я добрался сюда первым. Хочешь одну из этих вещиц или как?
HermesExpectingAres01|Hermes Expecting Ares 01|Hermes|Как только я услышал, что ты ждёшь Ареса, босс, я примчался сюда на всех парах! Ему никогда не опередить меня. И уж тем более в своих доспехах.
HermesExpectingAphrodite01|Hermes Expecting Aphrodite 01|Hermes|Афродита сказала, что немного задержится, братец, ну, ты сам понимаешь. Зато я здесь! В духовном смысле.
HermesExpectingArtemis01|Hermes Expecting Artemis 01|Hermes|Хотел предупредить, что моя сестра Артемида разыскивает тебя. Ты встретишься с ней в одном из ближайших залов!
HermesExpectingDionysus01|Hermes Expecting Dionysus 01|Hermes|Боюсь, Дионис не сможет прийти, босс. Хотя пунктуальность — не одна из его сильных сторон.
HermesExpectingDemeter01|Hermes Expecting Demeter 01|Hermes|В этот раз ледяное дуновение воздуха — не дело рук Деметры, босс! Нет, это лишь я вспышкой проскользнул к тебе, создав приятный ветерок!
HermesBeatCharonQuestComplete|Hermes Beat Charon Quest Complete|Hermes|Ты сделал это, братец! Под *этим *я имею в виду твою победу над моим партнёром лодочником — а выглядел он неуязвимым. К тому же, он считает себя одним из сильнейших среди богов Подземного мира! Он не знал о твоих способностях наверняка. Да и я, осмелюсь признаться, тоже.
HermesAboutPlume02|Hermes About Plume 02|Hermes|Эй, похоже, ты нашёл отличное применение этому шикарному перу! Продолжай в том же духе и, возможно, однажды станешь наполовину таким же быстрым, как я!
HermesAboutSkelly01|Hermes About Skelly 01|Hermes|У меня зоркий глаз, босс. Я заметил, что у тебя при себе есть кое-какой зуб. Я знаю, что ты вернулся из царства мёртвых и всё такое, но тебе не кажется, что это выглядит странновато?
HermesAboutPersephoneMeeting01|Hermes About Persephone Meeting 01|Hermes|Слыхал, что тебе наконец-то удалось сбежать, братец! От всей души поздравляю с этим. Конечно же, я сохраню твой секрет! Остальные думают, что ты по-прежнему пытаешься выбраться. Хотя, наверное, так оно и есть!
HermesPostEnding01|Hermes Post Ending 01|Hermes|Слыхал, кое-кто вернулся домой в Подземный мир вместе с тобой, братец! Хотелось бы сказать, что это замечательные новости, вот только это пока ещё *не *общеизвестные новости! Но если настанет момент, когда ты захочешь об этом рассказать, просто дай мне знак!
HermesPostEnding01|Hermes Post Ending 01|Hermes|Итак, *ты *раз за разом продолжишь пытаться сбежать оттуда, чтобы *твой отец *мог и дальше постоянно делать возможность побега всё более невозможной, я правильно понимаю? Звучит как интересная работёнка, братец!
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Zagreus|В этот раз я буду посланником. Именем Аида! Олимп, это официальное послание! Владыка Гермес? Я добрался сюда, как только смог.
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Hermes|Что ж, похоже, что в этот раз ты доставил послание для *меня*. Это так необычно, босс! Кажется, это некое приглашение. Уверен, что я должен был его получить, учитывая, что я не участвую во всех этих делах официально?
HermesPostEpilogue01|Hermes Post Epilogue 01|Hermes|Должен признаться, братец, пирушка у тебя дома была просто шикарной! Немного неловко было притворяться, что мы только что познакомились, но, знаешь, я ведь с Олимпа! А значит, могу потягаться с лучшими из них. Было здорово, братец! Рад, что всё получилось.
HermesExpectingMiscOlympian01|Hermes Expecting Misc Olympian 01|Hermes|Боюсь, твой запланированный олимпиец сейчас не здесь — ведь я куда проворней, босс!
HermesExpectingMiscOlympian02|Hermes Expecting Misc Olympian 02|Hermes|Наверняка ты ожидал увидеть здесь кого-то другого, босс. Но я просто не мог удержаться от соблазна опередить его в этот раз!
HermesExpectingMiscOlympian03|Hermes Expecting Misc Olympian 03|Hermes|Примчался, как только смог, братец. Правда, вышло чуть быстрее, чем у моей родни!
HermesExpectingMiscOlympian04|Hermes Expecting Misc Olympian 04|Hermes|Я уверен, что сувенир, который ты принес, вскоре сослужит добрую службу, босс!
HermesExpectingMiscOlympian05|Hermes Expecting Misc Olympian 05|Hermes|Моя родня обычно быстро отвечает на зов того, кто владеет её сувенирами. Но не в этот раз!
HermesExpectingMiscOlympian06|Hermes Expecting Misc Olympian 06|Hermes|Пусть я и не тот бог, который тебе нужен сейчас, босс, но зато я доставлю тебя к ним в одно мгновение!
HermesAboutZeus01|Hermes About Zeus 01|Hermes|Мой старик уже был у тебя, я прав, братец? Потрясающий парень. Но мы редко общаемся! Ты знаешь, как это бывает. Увидимся!
HermesAboutZeus02|Hermes About Zeus 02|Hermes|Знаешь, братец, мой старик никогда не одаривает меня молниями. Ему больше по душе творить чудеса для тебя, не так ли?
HermesAboutPoseidon01|Hermes About Poseidon 01|Hermes|Хочу рассказать тебе кое-что, босс. Дядя Посейдон добрался до тебя раньше, чем я, потому что я поддавался. Он теперь уверен в своей невероятной прыткости! *Ха!*
HermesAboutAthena01|Hermes About Athena 01|Hermes|Значит, Афина присматривает за тобой, это здорово, здорово! Она любит всё продумывать и организовывать. На мой взгляд, это немного слишком!
HermesAboutAres01|Hermes About Ares 01|Hermes|Знаешь, кто не даёт мне передохнуть ни минуты, братец? Арес. Ничто не увеличивает число сообщений так, как старушка-война в мире смертных!
HermesAboutArtemis01|Hermes About Artemis 01|Hermes|Артемида уже разыскала тебя, босс? Должен признать, в этом ей нет равных. Я быстрее! Но она тоже шустрая, довольно шустрая, да.
HermesAboutAphrodite01|Hermes About Aphrodite 01|Hermes|Афродита — это нечто, согласен, братец? Обычно меня никто не заставит остановиться. Но когда речь идёт о ней, приходится сделать исключение!
HermesAboutDionysus01|Hermes About Dionysus 01|Hermes|У тебя когда-нибудь возникало чувство, что жизнь движется вперёд слишком быстро, босс? Дионису это точно незнакомо, как ты мог уже понять. Однако он закатывает знатные пирушки!
HermesAboutDemeter01|Hermes About Demeter 01|Hermes|Что-то здесь прохладно в последнее время, братец. Можешь поблагодарить Деметру за это! Я лично стараюсь не попадаться ей под руку — она считает, что от меня ей проку мало. Но я уверен, что уж ты-то растопишь её сердце!
HermesAboutHadesKeepsake01|Hermes About Hades Keepsake 01|Hermes|Скажи-ка, братец, это твой отец тебя благословил? Это почти невероятно, но ты так хорошо справляешься со всем, что было бы странно, если бы он *не *одобрял твои поступки.
HermesBackstory01|Hermes Backstory 01|Hermes|Эй, что нового, братец? Хотя, что это я, опустим светскую болтовню. Я не возражаю. Я постоянно перебиваю своих братьев и сестёр!
HermesBackstory02|Hermes Backstory 02|Hermes|Босс, возможно, ты поймал себя на мысли: *Гермес быстрее молнии! Что же задержало его?\n*
HermesBackstory03|Hermes Backstory 03|Hermes|Эй, эм, могу ли я попросить тебя о небольшом одолжении, братец? Мои братья, сёстры, семья и все остальные не знают, что я работаю здесь с тобой. В этом нет ничего особенного, но пусть пока всё так и остаётся, хорошо?
HermesBackstory04|Hermes Backstory 04|Hermes|Просто оказался поблизости, босс! Смертные постоянно умирают, и кто-то же должен провожать их души в твои владения, ведь так?
HermesBackstory05|Hermes Backstory 05|Hermes|Знаешь поговорку *«поспешишь — людей насмешишь»*, босс? Это я её придумал. Честное слово! Простая уловка для устранения конкурентов, выданная за великую мудрость. Эти неразумные смертные купятся на любую ерунду!
HermesBackstory06|Hermes Backstory 06|Hermes|Не то чтобы я знаю *наверняка*, что у тебя на уме, братец. Но даже если бы я знал, не думаю, что кто-то на Олимпе в курсе. А если кто-то и в курсе, он держит рот на замке. Как и я!
HermesBackstory07|Hermes Backstory 07|Hermes|Братец, ты никогда не задумывался, как я научился так быстро перемещаться? Для этого нужно много практики — уж поверь мне. И ещё, наверное, родиться сверхъестественно быстрым.
HermesAboutSkinnyLittleChap01|Hermes About Skinny Little Chap 01|Hermes|Однажды отправил одного тощего и мелкого парнишку в Подземный мир, хорошенькая была история! Правда, тот заслужил — много врал, обманывал и творил дурные дела. Я слышал, он по-прежнему искупает свои грехи там внизу. Эх!
HermesAboutSkelly02|Hermes About Skelly 02|Hermes|Босс, я знаю, что один тощий и не особо подвижный тип насплетничал тебе кое о чём. Лучше не болтай об этом, ладно? А то наша уловка раскроется, и это не понравится ни твоему отцу, ни тебе. Ну, твоё здоровье!
HermesAboutSkelly03|Hermes About Skelly 03|Hermes|Ты же нашёл общий язык с... как там его... тем, кто дал тебе свой счастливый зуб? Выходит, он — парень нормальный. Он должен быть — ведь вы поладили!
HermesAboutSecretService01|Hermes About Secret Service 01|Hermes|Получается, ты раскрыл меня, не так ли, братец? Мне сказал сам большой лодочник. Что ж, прекрасно! Рады служить. *Мы *знаем много нехорошего о *тебе*, так что помалкивай о наших секретах, идёт?
HermesAboutSecretService02|Hermes About Secret Service 02|Hermes|Итак, пока ты занимался этими делами, ты довольно близко познакомился с моим партнёром по бизнесу — ужасающим лодочником реки Стикс. Верно, братец? До него нелегко достучаться, но я знаю, что у него доброе сердце! Поэтому я и сотрудничаю с ним даже по прошествии стольких лет!
HermesAboutMegRelationship01|Hermes About Meg Relationship 01|Hermes|Слышал, ты сблизился с фурией Мегерой, братец. Кажется, она умеет доставлять неприятности. Впрочем, то же наверняка можно сказать и о тебе, а? Наслаждайтесь друг другом!
HermesAboutCharonFight01|Hermes About Charon Fight 01|Hermes|Поверить не могу, что ты сцепился с моим партнёром по бизнесу. Ты что, сошёл с ума, братец? Почти все, кого я знаю, хоть чуть-чуть, да побаиваются его и его лодки, а ты решил, что справишься с ним, да?
HermesAboutCharonFight02|Hermes About Charon Fight 02|Hermes|Итак, ты сразился с моим уважаемым партнёром по бизнесу, не так ли, братец? И ты победил большого лодочника собственной персоной! Я знал, что ты — крепкий малый, но не думал, что *настолько*. Я впечатлён, да и он тоже — он даже не злится!
HermesBeatCharonQuest01|Hermes Beat Charon Quest 01|Hermes|Слушай... В общем, я вроде как поспорил со старым лодочником, своим партнёром, что ты победишь его в бою дважды подряд. Не подумай, что я настаиваю и всё такое, но если ты вдруг сможешь помочь мне однажды выиграть спор, я буду очень благодарен, братец!
HermesMessage01|Hermes Message 01|Hermes|Сообщение с Олимпа для тебя, босс! В нём сказано: *«На нашей горе очень хорошо и не нужно постоянно выбираться из Подземного мира! Присоединяйся к нам поскорее, ладно?»*
HermesMessage02|Hermes Message 02|Hermes|Для тебя есть сообщение, босс. В нём говорится: *«Ты такой медленный. Вот бы кто-нибудь тебе помог»*. Ну и ну, вот это совпадение!
HermesMessage03|Hermes Message 03|Hermes|У меня сообщение для тебя, братец. В нём сказано следующее, *кхм*: *«Поспеши и выбирайся наконец оттуда»*. Оно с поверхности земли, так здесь сказано.
HermesMessage04|Hermes Message 04|Hermes|У меня есть новое сообщение! В нём сказано: «Одна чайная ложка сушёного орегано, две ложки оливкового масла высшего качества, одна крупная луковица (измельчённая), щепотка соли по вкусу». Ой, погоди, это не для тебя. Хотя, рекомендую попробовать, если когда-нибудь выберешься отсюда!
HermesMessage05|Hermes Message 05|Hermes|Для тебя есть сообщение, братец. В нём говорится: *«От лица всех жителей Олимпа уведомляем тебя, что та бутылка амброзии, которую ты передал богу путешествий Гермесу, была великолепна, и он оценил по достоинству каждую каплю»*. С наилучшими пожеланиями от меня!
HermesMessage06|Hermes Message 06|Hermes|Ещё одно сообщение для тебя, братец. Оно гласит: *«Эй, приятель! Если ты когда-нибудь заберёшься на вершину этой горы по любому поводу, надо будет пересечься. Я устрою тебе экскурсию»*. Твой друг Гермес.
HermesMaxRelationship01|Hermes Max Relationship 01|Hermes|Знаешь что, босс? Только между нами. Должен сказать, что из всех получателей специальных посылок, которых я встречал на протяжении веков, ты — самый интересный!
HermesRunProgress01|Hermes Run Progress 01|Hermes|Знаешь, братец, всё это время я провожал души умерших через границы владений твоего отца, и мне приятно иметь возможность помочь кому-то выбраться наружу!
HermesSquelch01|Hermes Squelch 01|Hermes|Эй, братец, ты уже привык к нашим кратким беседам, но сейчас я хочу быть с тобой откровенным. Ты здесь главный и если хочешь, я могу и помолчать — без всяких обид. Просто дай мне знак, ладно?
HermesSquelch01|Hermes Squelch 01|Zagreus|Оставь эти мысли, владыка Гермес. Я рад поболтать с тобой время от времени.
HermesSquelch01|Hermes Squelch 01|Hermes|Ну хорошо, босс. Просто хотел убедиться, что я ни от чего тебя не отвлекаю!
Text|Text|Zagreus|Раз уж ты заговорил об этом, владыка Гермес... Да, пусть наше общение будет приятным и кратким.
Text|Text|Hermes|Я понял тебя, босс. В следующий раз сразу перейдём к сути, договорились?
Text|Text|Zagreus|Рад, что ты спросил, владыка Гермес. Думаю, стоит продолжить наши беседы в том же духе — приятно и кратко.
Text|Text|Hermes|Никаких проблем, босс. Просто хотел уточнить.
Text|Text|Zagreus|Сразу к дарам, владыка Гермес. Мы ведь оба ценим деловой подход.
Text|Text|Hermes|Понял, босс. Слова отнимают слишком много времени, не так ли? В следующий раз не буду беспокоить тебя болтовнёй, но мы ещё увидимся!
Text|Text|Zagreus|Несомненно, я выберу остроумную беседу, владыка Гермес. А уж после неё можно перейти и к дарам.
HermesSquelch02|Hermes Squelch 02|Hermes|*Кхм*! Прошу прощения, что отвлекаю, босс. Сообщи, если захочешь, чтобы я снова радостно чирикал без умолку, как раньше!
HermesSquelch02|Hermes Squelch 02|Zagreus|Мне не хватает наших бесед, Гермес. Давай продолжим, как раньше.
HermesSquelch02|Hermes Squelch 02|Hermes|*Ха*, не вопрос, босс. Приятно время от времени поболтать с кем-то!
HermesSquelch03|Hermes Squelch 03|Hermes|Подумал, что снова спрошу быстренько, босс. В следующий раз желаешь завести со мной остроумную беседу или сразу перейдём к дарам?
HermesSquelch03|Hermes Squelch 03|Zagreus|А знаешь, да, давай вернемся к остроумным беседам, Гермес. Отличное предложение.
HermesSquelch03|Hermes Squelch 03|Hermes|*Ха*, прекрасно, мне нравится с тобой беседовать! Ну, удачи, босс.
HermesAboutHades01|Hermes About Hades 01|Hermes|Я лишь однажды встречался с твоим отцом лицом к лицу, братец. Хотя оказываю ему услуги уже довольно давно. Незабываемые впечатления, должен признать! Кажется, он так и не прочёл сообщения, которые ему шлют мои родичи.
HermesAboutThanatos01|Hermes About Thanatos 01|Hermes|Ты довольно близок с Танатосом, босс, ведь так? Мы не часто пользуемся одними маршрутами, но иногда пересекаемся в силу своих обязанностей. Странный малый. Но, похоже, хорошо знает своё дело!
HermesAboutThanatos02|Hermes About Thanatos 02|Hermes|Недавно я вновь встретил Танатоса здесь, босс, и знаешь, что я тебе скажу, — мне показалось, что он едва заметно улыбнулся, когда упомянул тебя. Никогда ничего подобного раньше не видел!
HermesAboutOrpheus01|Hermes About Orpheus 01|Hermes|Я слышал, ты на короткой ноге с Орфеем, который живёт там внизу. Как представится случай, передай ему привет от меня. В последний раз, когда я его видел, он неплохо управлялся со своей лирой.
HermesAboutEurydice01|Hermes About Eurydice 01|Hermes|Эй, босс! Не встречал ли ты во время своих странствий дамочку по имени Эвридика? Надеюсь, она в порядке! Я переживаю, потому что мы не очень хорошо расстались в прошлую встречу.
HermesAboutEurydice02|Hermes About Eurydice 02|Hermes|Говорят, ты встретил Эвридику там внизу. Отлично! Раз у неё всё в порядке, я могу выбросить из головы крошечные беспокойные мыслишки о ней.
HermesAboutHourglass01|Hermes About Hourglass 01|Hermes|Неплохие у тебя Костяные песочные часы, босс. Значит, ты в хороших отношениях с моим коллегой. Настоящий джентльмен!
HermesAboutPlume01|Hermes About Plume 01|Hermes|Ты только посмотри на себя, босс! Узнаю это шикарное перо! В нём лишь малая толика моей скорости, но это уже что-то! Намного больше, чем то, на что способны другие.
HermesAboutWhippedFrenzy01|Hermes About Whipped Frenzy 01|Hermes|Эй, что стряслось с этими безжизненными проклятыми, которые постоянно сражаются с тобой внизу? В последнее время они такие шустрые! Что бы это ни было, я здесь ни при чём!
HermesAboutEnemySpeedCondition01|Hermes About Enemy Speed Condition 01|Hermes|Растревожил безжизненных проклятых своего отца? Им всем пришлось выйти на *сверхурочные работы *из-за его условия, да, братец? Что ж, если они хотят разделаться с ними поскорее, уверен, ты сможешь их немного подогнать!
HermesAboutEnemySpeedCondition02|Hermes About Enemy Speed Condition 02|Hermes|Похоже, в этот раз безжизненные проклятые, с которыми ты сражаешься внизу, достаточно проворны, не так ли, босс? Но я уверен, что ты всё равно быстрее!
HermesAboutBiomeSpeedCondition01|Hermes About Biome Speed Condition 01|Hermes|Поджимают сроки, да, братец? Всё благодаря Пакту твоего отца... Что ж, поверь, я знаю, каково это, и поэтому не буду тебя задерживать. Не останавливайся, ладно?
HermesAboutBiomeSpeedCondition02|Hermes About Biome Speed Condition 02|Hermes|Я понимаю, что сроки поджимают, босс, поэтому давай обойдёмся без всей этой лишней болтовни и поскорей отправим тебя в весёлый путь. Поспеши!
HermesAboutBiomeSpeedCondition03|Hermes About Biome Speed Condition 03|Hermes|Ты ведёшь гонку со временем ради забавы или для чего, босс? Оказывается, время летит довольно быстро. Я тоже люблю гонки со временем!
HermesAboutTimer01|Hermes About Timer 01|Hermes|*Ха! *Не мог не заметить, что ты использовал таймер, босс! Отличная привычка. Следи за временем, и ты будешь становиться всё быстрее и быстрее! Но всё же не таким быстрым, как я.
HermesAboutTimer02|Hermes About Timer 02|Hermes|Раз уж ты используешь таймер, братец, обрати внимание: время не играет против тебя, когда ты прерываешься поболтать со мной! Я лично настоял на этом на правиле.
HermesAboutTimer03|Hermes About Timer 03|Hermes|Эй, ты отключил таймер, босс. У тебя всё в порядке? Это явный крик о помощи. Эм, вот!
HermesAboutTimer04|Hermes About Timer 04|Hermes|Хорошо, босс, я вижу, что ты снова поставил счётчик. Мне нравится это выражение. Оно означает «подгонять себя, не забывая следить за временем»!
HermesAboutTimer05|Hermes About Timer 05|Hermes|Послушай, братец, если ты не собираешься всё время использовать таймер, это твой выбор, который я должен уважать. И научиться понимать.
HermesFirstRunCleared01|Hermes First Run Cleared 01|Hermes|Очередное послание с Олимпа, босс. В нём говорится: *«Загрей, ни в коем случае не торопись, пытаясь добраться до нас. Мы знаем, что твой путь тернист, и уверяем тебя, что будем оказывать помощь так долго, как это потребуется»*. Ну, почему бы тебе не взять это!
HermesRunCleared01|Hermes Run Cleared 01|Hermes|Слышал, в прошлый раз ты справился довольно быстро! Неплохо, совсем неплохо!
HermesRunCleared02|Hermes Run Cleared 02|Hermes|Можно было вообразить, что когда ты вырвешься на поверхность, мы с Олимпа сможем видеть тебя лучше, чем обычно, но нет! Ты будто сокрыт вечной пеленой ночи. Странно, правда?
HermesRunClearedNewRecord01|Hermes Run Cleared New Record 01|Hermes|Эй, в этой стычке ты побил своё рекордное время! Не то чтобы я следил за этим! Ну ладно, я слежу.
HermesRunClearedNewRecord02|Hermes Run Cleared New Record 02|Hermes|Эй, братец, эта твоя последняя попытка — даже не верится, насколько быстро ты справился! А ты хорош!
HermesRunClearedNewRecord03|Hermes Run Cleared New Record 03|Hermes|Эй, в прошлый раз тебе удалось выбраться в мгновение ока! Посмотрим, сможешь ли ты повторить это!
HermesRunClearedNewRecord04|Hermes Run Cleared New Record 04|Hermes|Ты становишься быстрее, братец, продолжай в том же духе! Что я всегда говорю? С каждым разом у тебя будет получаться всё быстрее!
HermesRunClearedNewRecord05|Hermes Run Cleared New Record 05|Hermes|Эй, братец, кажется, ты побил своё рекордное время, взбираясь наверх! Отличная работа! А сможешь ещё быстрее?
HermesRunClearedNewRecord06|Hermes Run Cleared New Record 06|Hermes|Представляешь, ты недавно побил своё рекордное время! Надеюсь, моё благословение тебе хоть немного помогло!
HermesRunClearStreak01|Hermes Run Clear Streak 01|Hermes|Ты только посмотри на себя, братец! После одной победы сразу же мчишься за новой. До меня долетели слухи о твоих достижениях! Что ж, не сбавляй темп!
HermesRunClearStreakBroken01|Hermes Run Clear Streak Broken 01|Hermes|Слышал, твоя череда побед прервалась, босс. И такое случается. Но ты, похоже, из тех, кто быстро приходит в себя. Позволь мне помочь тебе с этим!
HermesPostEpilogue02|Hermes Post Epilogue 02|Hermes|Все жители Олимпа по-прежнему обсуждают Персефону, царицу Подземного мира! Они даже и не догадывались, что всё это время она была внизу, братец! А вот я думаю, что теперь смогу вручать тебе свои благословения более официально!
HermesPostEpilogue03|Hermes Post Epilogue 03|Hermes|Несмотря на то, что сейчас всё прояснилось, и мои братья, сёстры и все остальные будут продолжать помогать тебе пытаться прорваться с боем оттуда, в последнее время я всё равно держусь особняком! Так никто не сможет замедлить меня.
HermesPostEpilogue04|Hermes Post Epilogue 04|Hermes|Некоторые члены нашей семьи тут наверху совсем не помогали тебе, насколько мне известно, но не принимай это слишком близко к сердцу, хорошо? Думай об этом так: тебе удалось помирить большинство из нас и теперь мы разговариваем друг с другом чаще, чем когда-либо *прежде*!
HermesAboutPersephoneVisit01|Hermes About Persephone Visit 01|Hermes|Твоя мать добралась оттуда в целости и сохранности, не волнуйся, братец! Я ведь присматривал за ней и всё такое. Она показалась мне очень милой! Попросила передать тебе привет.
HermesAboutPersephoneVisit02|Hermes About Persephone Visit 02|Hermes|Знаешь, никогда бы не подумал, что зёрнышки граната обладают такой силой в Подземном мире, если бы мне не рассказала об этом твоя мать, братец! А я-то всего лишь считал, что они просто вкусные!
HermesAboutHearing01|Hermes About Hearing 01|Hermes|Подумал, что пора бы проведать тебя, босс. Ты в порядке, у тебя там всё хорошо? Напоминаю, что я тебя совсем не слышу, так что можешь не отвечать!
HermesAboutHurrying01|Hermes About Hurrying 01|Hermes|Скорее сюда, босс! Тебе нужно быстрее выбираться — время на исходе!!! На самом деле нет, но, возможно, это поможет тебе ускориться, а?
HermesLegendaryPickUp01|Hermes Legendary Pick Up 01|Hermes|О, ты готов к этому, босс? На этот раз у меня для тебя первоклассная экспресс-доставка. Лучшее предложение! Теперь ты продвинешься далеко вперёд.
HermesLegendaryPickUp02|Hermes Legendary Pick Up 02|Hermes|Угадай что, братец? Это первоклассная экспресс-доставка прямо тебе в руки, прямиком с богатейшей горы внешнего мира! Тебе это понравится.
HermesLegendaryPickUp03|Hermes Legendary Pick Up 03|Hermes|Срочное сообщение лично для тебя, братец. В нём сказано: *«Поздравляю! Сегодня ты мой сотый клиент!» *И вот, что ты получишь!
HermesLowHealth01|Hermes Low Health 01|Hermes|Уф, должен сказать, ты выглядишь ужасно, братец. Ты едва держишься на ногах! Давай посмотрим, сможем ли мы немного приободрить тебя.
HermesLowHealth02|Hermes Low Health 02|Hermes|*Вот так так*! Похоже, время не щадит тебя, братец. Что ж, как по мне, когда начинается чёрная полоса, нужно просто поскорее её перебежать!
HermesLowHealth03|Hermes Low Health 03|Hermes|Ого, выглядишь ужасно, братец. Что произошло? Надеюсь, дальнейшие твои путешествия пройдут удачнее.
HermesLowHealth04|Hermes Low Health 04|Hermes|Грань между стремительностью и торопливостью очень тонкая, босс. И если твои раны так серьёзны, как я думаю, то ты, должно быть, поторопился!
HermesLowHealth05|Hermes Low Health 05|Hermes|Что ж, хорошо, что ты добрался до меня, но я вижу, что по пути ты нарвался на множество неприятностей! Не помирай, договорились?
HermesLowHealth06|Hermes Low Health 06|Hermes|Ух! Что случилось по пути сюда, босс? Дай-ка угадаю: тебя отхлестали кнутом, обожгли, избили призрачными дубинками... что-то в этом духе?
HermesLowHealth07|Hermes Low Health 07|Hermes|Не хочу этого говорить, босс, но ты выглядишь потрёпанным. Возможно, нам удастся поставить тебя на ноги и отправить в путь!
HermesFirstPickUp|Hermes First Pick Up|Zagreus|Эта метка похожа на крыло летучей мыши. Именем Аида! Олимп! Я принимаю это послание.
HermesFirstPickUp|Hermes First Pick Up|Hermes|Эй, босс, я нашёл тебя. Гермес к твоим услугам. Приятно познакомиться! Весь Олимп только о тебе и говорит! Обычно я не вмешиваюсь в такие дела, но для тебя сделаю исключение. А сейчас поторопись, нам обоим есть, чем заняться!
HermesMiscPickup01|Hermes Misc Pickup 01|Hermes|Вот, братец, здесь дары прямиком с вершины нашей горы. Не торопись с решением, выбирай тщательно! Если хочешь прослыть тугодумом.
HermesMiscPickup02|Hermes Misc Pickup 02|Hermes|Мне потребуется всего секунда твоего времени, босс! И ты с лихвой компенсируешь его, гарантирую!
HermesMiscPickup03|Hermes Misc Pickup 03|Hermes|Ну что, братец, принимай экспресс-доставку на адрес... куда тебя занесло на этот раз? В общем, возьми одну из этих вещиц и возвращайся к своим делам!
HermesMiscPickup04|Hermes Misc Pickup 04|Hermes|Я знаю, что ты спешишь, босс. Но сейчас я покажу тебе, что такое настоящая спешка!
HermesMiscPickup05|Hermes Misc Pickup 05|Hermes|Посылка для тебя, босс, и думаю, ты знаешь, что внутри. Ну, может быть, не совсем знаешь, но просто выбери что-нибудь, хорошо?
HermesMiscPickup06|Hermes Misc Pickup 06|Hermes|Давай, братец, ты справишься! А ещё я думаю, что ты справишься довольно быстро! Вперёд!
HermesMiscPickup07|Hermes Misc Pickup 07|Hermes|А, это ты, босс. Хорошо! Но ты стоишь на месте! Это плохо. Давай-ка поднимемся и продолжим двигаться вперёд, да?
HermesMiscPickup08|Hermes Misc Pickup 08|Hermes|Привет, босс! У меня нет особых новостей. Но я прошёл весь этот путь не для того, чтобы сообщить тебе новости, правда?
