Id|Description|Speaker|Text
HypnosFirstMeeting|Hypnos First Meeting|Hypnos|Добро пожаловать в Дом Аида, где... Подожди-ка, я *тебя *знаю! Похоже, ты умер, да? Не печалься, практически все однажды умирают!
HypnosMiscMeeting01|Hypnos Misc Meeting 01|Hypnos|О! Приветствую. Я бы спросил, как всё прошло, но, раз уж ты снова здесь, и так понятно, да. Проходи же!
HypnosMiscMeeting02|Hypnos Misc Meeting 02|Hypnos|Вот и славно, ты уже вернулся? Мы тут поспорили, сколько ты продержишься на этот раз, и я так и знал, что ты вернёшься в мгновение ока!
HypnosMiscMeeting03|Hypnos Misc Meeting 03|Hypnos|О! Приветствую. *Эм-м*, добро пожаловать домой ещё раз, проходи. Кажется, твой отец злится на что-то или просто так.
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Hypnos|Ого, кажется, ты умер уже не меньше пяти раз, да? Смерть страшно полезна для нашей экосистемы, поэтому, эээ, спасибо! Ты помогаешь сделать Подземный мир лучше прежнего!
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Zagreus|Отлично! Не останавливайся, умирай снова и снова, и всё будет в порядке.
HypnosMiscMeeting05|Hypnos Misc Meeting 05|Hypnos|Знаешь, очень весело наблюдать за Купальней Стикс. Смотреть на рябь по крови и всякое такое! А иногда кто-то как выпрыгнет оттуда, вот как ты! Только персонал Дома и почётные гости, больше никто. Я их регистрирую и помогаю сделать пребывание максимально приятным!
HypnosMiscMeeting06|Hypnos Misc Meeting 06|Hypnos|*О*, в этот раз ты добрался до Асфоделя, да это просто здорово! Всё равно умер и всё такое, но не так быстро, как раньше, а значит, прогресс есть, так ведь?
HypnosRunProgress01_A|Hypnos Run Progress 01 A|Hypnos|Ого, вау, у тебя получилось! В моём списке говорится, что ты умер — вот это да! — *минимум *пятьдесят раз! Думаю, больше никому здесь не удавалось провернуть такое!
HypnosRunProgress01|Hypnos Run Progress 01|Hypnos|Позволь мне первым сказать: *поздравляю*! Ты умер сто раз, с тех пор как я начал считать. С тех пор, как я начал следить за ситуацией. Приза не будет, но ведь такое путешествие — само по себе награда, верно?
HypnosRunProgress02|Hypnos Run Progress 02|Hypnos|Это просто невероятно. Итак, ты готов? Три... сотни... *раз*!!! Всё верно! Триста раз ты умудрился помереть! Это же... даже больше, чем если бы целая деревня погибла от землетрясения, а ты смог добиться этого сам!
HypnosRunProgress03|Hypnos Run Progress 03|Hypnos|Ох, я просто не могу поверить своим глазам, хоть и знаю, что мой список никогда не врёт! А в нём говорится, что ты помер целых пять *сотен *раз! *Пятьсот*!!! Я даже не могу придумать число больше этого!
HypnosMegDefeated01|Hypnos Meg Defeated 01|Hypnos|Обычно здесь, у Купальни Стикс, довольно тихо. Но в последнее время стало так много народу! Да вот, буквально только что кто-то вынырнул! Ты бы видел выражение моего лица, когда я понял, что это не ты!
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|Эй, ты вот постоянно умираешь, а моего брата случайно не встречал где-нибудь там? Сто лет не видел его. Интересно, что это за долгосрочное задание такое?
HypnosAboutThanatos01|Hypnos About Thanatos 01|Zagreus|Война какая-то. Отец отправил Танатоса оценить, как там дела, но ты прав, кажется, прошло уже довольно много времени. Наверное, здесь многое изменилось с тех пор.
