Id|Description|Speaker|Text
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Мег. Ох. Я не ожидал никого здесь встретить. Ты просто мимо проходила... или я чем-то могу тебе помочь?
MegaeraBedroom01|Megaera Bedroom 01|Megaera|...Я уже ухожу, Загрей. Случайно оказалась неподалёку — твоей заслуги в этом нет, — да вот подумала, что зайду за остатками своих вещей. Должна отметить, у тебя здесь поистине адский беспорядок.
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|...Она ушла. Отлично. Замечательно! Что ж, думаю, мы просто будем раз за разом убивать друг друга.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Ещё что-то забыла в моих покоях, Мег?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Нет. Нам снова нужно поговорить. Теперь во всём этом оказались замешаны мои сёстры. Ты и правда всё перевернул вверх дном.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Мне жаль. Моя мать где-то там, непонятно где. Я не смогу остановиться, пока не найду её. Тебе не понять.
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Откуда тебе знать? Я хочу сказать, что... теперь, когда мои сёстры здесь, кое-что изменилось. Теперь на меня чуть меньше оказывают давление.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|К чему ты клонишь?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Я говорю, что... Я знаю, что тебе нужно найти свою мать, Загрей. И я должна выполнять свои обязанности, но я попытаюсь что-нибудь сделать, если получится.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Мег..! Она... *ох*.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Я знаю. Мне жаль. Но мне пришлось это сделать. Тебе не понять.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Давление... Погоди, что ты собираешься делать?
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|Я говорю, что... Я знаю, ты делаешь то, что считаешь нужным, Загрей. А мы с сёстрами всегда будем пытаться помешать тебе. Но я делаю это только потому, что вынуждена. Понимаешь?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Мег... Какая неожиданность. Опять. Что такое? ...В чём дело? Подожди. Почему ты так на меня смотришь?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Загрей, ты можешь наконец перестать задавать глупые вопросы и подойти сюда? Сию минуту.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Я... Ты и правда... о...
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Думал, ты никогда не попросишь. Но я рад, что это наконец произошло.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Э-э-э, Мег, я... Я хотел спросить у тебя... Между нами всё хорошо или?..
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Перестань быть таким неуверенным рядом со мной, Заг. Пора бы тебе уже разобраться, что к чему. Но если тебе очень нужен ответ, то да... Думаю, между нами всё хорошо. Но если ты проболтаешься хоть одной живой — или мёртвой — душе об этом, я тебя убью, понял?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Я... прекрасно понял, Мег, да. Итак... Что будет теперь?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Что будет теперь? Увидимся на краю Тартара, я так думаю. Или здесь. Сколько бы это всё ни продлилось.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Сколько бы это всё ни продлилось?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Слишком много вопросов, Заг. У меня нет ответов на них, да и к тому же, ты умеешь жить сегодняшним днём лучше, чем я. Ещё увидимся.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Увидимся! ...Да.
Text|Text|Zagreus|...Я... Мег, я глубоко польщён, и ты очень дорога мне, но... это не то, чего бы мне хотелось от наших отношений. Боюсь, я ввёл тебя в заблуждение. Прости меня. Прошу, скажи, что мы по-прежнему сможем быть друзьями?
Text|Text|Megaera|...Это то, чего ты действительно хочешь?.. Быть моим другом? *Ха. *Иногда тебя сложно понять, Заг. Но знаешь что, мы многое испробовали. Почему бы нам не поступить по-твоему? Значит, увидимся снаружи.
Text|Text|Megaera|...Ты уверен? Послушай, я... Всё в порядке. Увидимся снаружи, я думаю.
Text|Text|Zagreus|...Да. Иногда мне нужно притормозить. Я рад, что в последнее время наши отношения стали лучше. Но я слишком поторопился. Прости меня. Ты мой близкий друг. Я не хочу причинять тебе боль своими поступками. Или кому-либо другому.
Text|Text|Thanatos|Я... вот как. Понимаю. И ты мой близкий друг. Хотя в последнее время мы всеми силами пытались разрушить нашу дружбу, не так ли? Послушай, будь осторожен, Заг. Ещё увидимся.
Text|Text|Zagreus|...Увидимся, да.
Text|Text|Zagreus|Тан... *Ха-ха-ха*, я так рад! Просто... Ты знаешь, что Мегера тоже была здесь?..
Text|Text|Thanatos|*Тц. *Я знаю Мегеру куда дольше, чем ты. Как ты думаешь, кто уговорил меня на это?
Text|Text|Zagreus|Ха! Это была она, да? Это хорошо! Это хорошо.
Text|Text|Thanatos|Ты уверен? Что же... Я понимаю. Тогда я лучше вернусь к своим обязанностям.
Text|Text|Zagreus|...Увидимся, Тан.
Text|Text|Zagreus|...Эй, послушай. Ты мне дорога. Вы оба мне дороги. Правда. Я рад, что мы сблизились... а не продолжаем пытаться вцепиться друг другу в глотки, как прежде. Но мне кажется, что сейчас для меня это уже чересчур.
Text|Text|Megaera|...Ты уверен? Послушай... всё в полном порядке. На тебя и так многое свалилось. Значит, мы с тобой увидимся снаружи.
Text|Text|Thanatos|Встретимся позже, хорошо?
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Замолчи наконец, Загрей. И иди сюда.
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Слишком много вопросов, Заг. Но да, я бы сказала, что всё снова хорошо. Пока что. Если же ты проболтаешься хоть кому-то, я тебя убью, понял?
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Zagreus|Но... Нет, постой... Даже Тану нельзя?..
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Тан не дурак. Он желает тебе добра. И он не из ревнивых. К тому же, у нас с ним хорошие деловые отношения, как тебе известно.
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Zagreus|Да, но... что насчёт тебя? Ты ведь караешь ревнивцев. А если я...
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Мы не жалкие смертные, Заг. Смертные так отчаянно цепляются друг за друга, потому что их жизнь коротка. Какое нам до этого дело? Если Никта чему-то и научила меня, так это тому, что сердце не признаёт ограничений. А теперь отбрось волнения и начинай готовиться к нашей следующей встрече. Ещё увидимся.
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Megaera|Загрей, в твоей комнате нет дверей. Почему ты вечно так удивлён?
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Zagreus|*Эм*, Мег, Тан, что... что вы... что происходит? Что бы ни случилось, я могу всё объяснить, или... Погодите-ка, вы оба улыбаетесь. Ох... дайте мне просто... пару минут.
