Id|Description|Speaker|Text
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|...Говорю же тебе, ты {#DialogueItalicFormat}ошибаешься{#PreviousFormat}, Астерий! Уж точно он никакая не {#DialogueItalicFormat}царственная {#PreviousFormat}особа, ведь {#DialogueItalicFormat}я {#PreviousFormat}его не узнаю! Он лишь безымянный и всеми забытый незначительный бог, рождённый в глубинах, где ему и надлежит оставаться!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Minotaur|Когда-то подобными словами описывали и меня, царь. Сколько раз мы уже сходились в бою с этим противником? И, по моему мнению, он храбро сражался.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|{#DialogueItalicFormat}Храбро{#PreviousFormat}?! Прятки за колоннами — вот, что ты зовёшь {#DialogueItalicFormat}храбростью{#PreviousFormat}, Астерий? Мы обязательно побеседуем о твоих странных ошибочных суждениях, как только придём к победе!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|Надеюсь, ты полностью доволен собой, исчадие ада. Ибо Астерий сердится на меня! Такой уж он есть. Утверждает, будто я недооцениваю такого, как ты! {#DialogueItalicFormat}Неслыханно{#PreviousFormat}.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Minotaur|Ты не слушаешь меня, царь. Нам по-прежнему есть что узнать об этом враге. Каждый раз он вооружён по-разному, его оружие и божественные способности меняются, как и многое другое. Несмотря на все наши усилия... нелегко предугадать его действия.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|Теперь ты заявляешь, что я не умею сражаться, Астерий? Хоть я и без малейшего труда сразил {#DialogueItalicFormat}тебя {#PreviousFormat}в твоём лабиринте?! Пора бы уже приступать к бою!
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|Итак, червяк! Подойди и сразись с нами. И не забудь полностью насладиться плодами сомнений, посеянных тобою! Мы больше не одна команда! Теперь мы не более чем два воина, которых назначили сюда в одно и то же время.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Minotaur|Царь, мне кажется, ты преувеличиваешь. Будь благоразумен. И отнесись внимательнее к моей точке зрения. Пойми, что я не прошу слишком многого.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|Ты просишь невозможного! Но давай же вернёмся к битве. Которую мы несомненно проиграем, ведь если мы не единая команда, то кто мы, Астерий?..
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Minotaur|Ты уж прости чемпиона за всё это, коротышка. Он сам не свой. Но я уверен, что он по-прежнему будет биться с тобой на смерть.
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Zagreus|Замечательно, а то ты почти заставил меня заволноваться. Как думаешь, может, мне удастся вправить ему мозги?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Minotaur|Не уверен. Я пытался. Но я знаю, что не следует недооценивать тебя. Что же, сразись с нами.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Theseus|Прошу, сразись бок о бой со мной вновь, Астерий. Как в прежние времена! Прости мне мою неблагопристойность. Этот проклятый демон! Его ложь и коварство задели меня за живое. Или за его фантасмагорический эквивалент!
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Minotaur|Поклянись мне кое в чём, царь. Ты позабудешь все свои страхи, связанные с узами между нами. Этому коротышке никогда не удастся их разрушить. Ему даже не дано понять их. Лишь ты сам можешь их уничтожить.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Theseus|Я... Ах, мой дражайший друг Астерий, я понимаю, конечно же, ты прав, ты прав. {#DialogueItalicFormat}Ты прав{#PreviousFormat}! И я торжественно клянусь, что больше не посмею усомниться в наших братских узах! Как и не посмею верить словам этого демона! Мы вместе — сейчас и навсегда!
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|Погляди, Астерий, он вернулся! И в этот раз мы повергнем его без помощи нашей божественной брони! Достойный вызов, разве нет?
TheseusPactReverted01|Theseus Pact Reverted 01|Minotaur|Осторожнее, царь, не недооценивай его силу. Он доставлял проблемы в прошлом.
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|Вздор, мой друг! Как можно недооценить то, что не имеет абсолютно никакой ценности?! А теперь вместе, {#DialogueItalicFormat}нападаем{#PreviousFormat}!
TheseusWithAsterius01|Theseus With Asterius 01|Minotaur|Он здесь, царь. Активирую броню. Повезло, что твою колесницу вовремя починили.
