Id|Description|Speaker|Text
NyxFirstMeeting|Nyx First Meeting|Nyx|Не отчаивайся, дитя. Неудачи неизбежны, и преодолеть их можно лишь со временем и с большим упорством. Ты связался с богиней Афиной. Она должна была сдержать своё слово.
NyxFirstMeeting|Nyx First Meeting|Zagreus|Ты права, Никта. Спасибо, что наладила между нами связь. Я знаю, что ты многим рисковала, попытавшись связаться с ней.
NyxFirstMeeting|Nyx First Meeting|Nyx|Не я рискую. Предположительно, со временем олимпийцы сами затянут себя во всё это. Не раскрывай им ничего из того, что им до сих пор неизвестно. Ясно?
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Меня радует, что я наконец могу побеседовать с тобой, дитя. Значит, богиня Афина сдержала своё слово. Вы поступили мудро, оставив твоё задание в тайне.
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Не я рисковала. Олимпийцы бы неизбежно втянули себя во всё это. Единственное, что было неясно — когда это произойдёт.
NyxGrantsRespec|Nyx Grants Respec|Nyx|Ты доволен Зеркалом в своих покоях, милое дитя?..
NyxGrantsRespec|Nyx Grants Respec|Zagreus|Гораздо больше, чем я мог вообразить, Никта. Ты говорила, что оно откроет новые возможности, когда я немного привыкну к нему. Думаю, я уже готов.
NyxGrantsRespec|Nyx Grants Respec|Nyx|И я так думаю. Значит, всё будет так, как тебе угодно.
NyxMiscMeeting02|Nyx Misc Meeting 02|Nyx|Пока ты не ушёл, дитя моё... Сейчас твой отец не в лучшем расположении духа. Быть может, лучше просто оставить его в покое.
NyxMiscMeeting04|Nyx Misc Meeting 04|Zagreus|Никта, быть может, это странный вопрос, но... Ты знаешь, что мне уготовили Мойры? Они же твои дочери?
NyxMiscMeeting04|Nyx Misc Meeting 04|Nyx|Три Мойры — мои дочери, это верно, дитя моё. Однако же я не посвящена в их тайны ни на каплю больше простых смертных. Даже олимпийцам неведомо, какую судьбу им соткут Мойры.
NyxMiscMeeting05|Nyx Misc Meeting 05|Nyx|Да пребудет с тобой Тьма, дитя. Тебе тесно в стенах этого Дома, теперь я в этом уверена. Если ты вновь вернёшься сюда, я сумею тебя защитить.
NyxMiscMeeting05|Nyx Misc Meeting 05|Zagreus|Я не забуду тебя, Никта. Клянусь.
NyxBackstory01|Nyx Backstory 01|Zagreus|Знаешь, я почему-то всегда догадывался... что ты не моя родная мать. Одного взгляда на Гипноса и Танатоса достаточно, чтобы понять, что *мы *не связаны, и всем это было ясно, но... когда я наконец узнал наверняка, это всё равно стало для меня ударом.
NyxBackstory01|Nyx Backstory 01|Nyx|А я всегда догадывалась, что рано или поздно ты узнаешь правду. И боялась того, что же будет, когда придёт время. Я рада, что всё позади. Но скажи мне... я всё ещё зову тебя своим дитя. Может, тебе бы хотелось, чтобы я больше не прибегала к таким словам?
NyxBackstory01|Nyx Backstory 01|Zagreus|Нет, Никта, пожалуйста, всё в порядке. Может, ты и не родила меня, но всё равно заботилась обо мне. В этом я не сомневался никогда. Ну, а ты не против, если я продолжу звать тебя по имени?
NyxBackstory02|Nyx Backstory 02|Zagreus|Никта, тебе ведь наверняка известно, почему мой отец оборвал связи с олимпийцами. Я прав?
NyxBackstory02|Nyx Backstory 02|Nyx|На этот вопрос сможет ответить лишь твой отец, дитя. Я не могу рассказать сверх того, что ты уже знаешь.
NyxAboutHades01|Nyx About Hades 01|Zagreus|Я должен кое-что спросить, Никта. За что ты в долгу у моего отца? Прости, что я подслушал — я просто проходил мимо, когда вы что-то обсуждали и... так вышло.
NyxAboutHades01|Nyx About Hades 01|Nyx|...Я существовала ещё задолго до того, как появился твой отец. Обязанность править перешла ко мне. Но я не справлялась одна. Я придаю форму тьме и обеспечиваю неприкосновенность владений. К управлению и проведению переписей же я менее способна. Поэтому я отказалась от этих дел.
NyxAboutHades01|Nyx About Hades 01|Zagreus|Даже для тебя это было слишком. Так значит... когда пришёл отец... ты оказала ему тёплый приём? Он помогал?
NyxAboutHades01|Nyx About Hades 01|Nyx|Поначалу я не питала к нему большого доверия. Я думала, его появление — всего лишь злая шутка судьбы. Но он с самого начала работал прилежно. Вскоре здесь возник порядок, о чём доселе никто не мечтал. Я обустроила для него этот Дом и по сей день содержу его. Мы продолжаем сотрудничать. И взаимно зависеть друг от друга.
NyxAboutHades01|Nyx About Hades 01|Zagreus|Он никогда не пользовался тобой во зло? Тобой и твоей щедростью?
NyxAboutHades01|Nyx About Hades 01|Nyx|Нет, дитя. Никогда. Он может быть со мной неласков, как ты видел. Но на этом всё. Мы нашли способ разрешать конфликты. Твои же отношения с ним... боюсь, куда сложнее, чем его со мной...
NyxAboutHades02|Nyx About Hades 02|Zagreus|Никта, всё, что ты сделала для меня — олимпийцы, зеркало, подрядчик, — я... боюсь, что если об этом узнает отец, он обратит на тебя свой гнев. Я не хочу, чтобы это произошло.
NyxAboutHades02|Nyx About Hades 02|Nyx|Не нужно бояться за меня, дитя, ибо я не отношусь к тем подчинённым, которых твой отец может по своему желанию наказать. Я — Ночь, и этот дом стоит по моей милости. Твоему отцу об этом известно. А значит, у нас с ним общие цели. У нас нет выбора, кроме как сотрудничать.
NyxAboutHades02|Nyx About Hades 02|Zagreus|Тогда... если он ничего не может сделать, зачем ты вместе с ним вводила меня в заблуждение? О моей родной матери.
NyxAboutHades02|Nyx About Hades 02|Nyx|Прошу... я не имею права говорить об этом. Когда ты всё же встретишь свою родную мать, то поймёшь.
NyxAboutHades02_B|Nyx About Hades 02 B|Zagreus|Вынуждены сотрудничать... не удивительно, что я думал, что вы действительно муж и жена.
NyxAboutHades02_B|Nyx About Hades 02 B|Nyx|Мы с твоим отцом... порой и сами убеждаем себя в этом.
NyxAboutAthena01|Nyx About Athena 01|Zagreus|Я недавно говорил с богиней Афиной, Никта. Она тобой восхищается. А я думал, что олимпийцы нас недолюбливают.
NyxAboutAthena01|Nyx About Athena 01|Nyx|Обычно это так. Но ты их семья, дитя. Ну, а я... полагала, что Афина весьма мудра и поймёт, почему такая, как я, взывает именно к ней. А она, в свою очередь, дала об этом знать всем остальным членам её семьи.
NyxAboutAthena02|Nyx About Athena 02|Zagreus|Афина передаёт тебе наилучшие пожелания, Никта. Кажется, с того момента, как всё закрутилось, вы поддерживаете связь.
NyxAboutAthena02|Nyx About Athena 02|Nyx|Это верно, спасибо, дитя моё. Богиня Афина славится своей мудростью, и именно она, как мне показалось, способна выслушать меня, понять мои намерения и в итоге проникнуться желанием помочь. Я не ошиблась насчёт неё, и это большая удача.
NyxAboutAthena02|Nyx About Athena 02|Zagreus|Но ведь ты сказала ей, что ты моя мать. Если она такая мудрая... не слишком ли велик риск? Если она узнает, что ты её обманула...
NyxAboutAthena02|Nyx About Athena 02|Nyx|Она *поистине *мудра, дитя. Вот и причина тому, что я возложила надежды на её понимание.
NyxAboutAres01|Nyx About Ares 01|Zagreus|*Кхм*, Никта, поначалу я думал, что мне не стоит обращать на это внимание, но я хочу передать привет от владыки Ареса. Он, кажется, заинтересовался тобою.
NyxAboutAres01|Nyx About Ares 01|Nyx|*Ах*, да, бог войны. Среди всех олимпийцев именно он всегда казался мне куда более расположенным к нам, рождённым в Подземном мире.
NyxAboutAres01|Nyx About Ares 01|Zagreus|Ты же не... погоди, не может же он тебя интересовать, ведь он... кровожадный... хотя и вежливый, не знаю.
NyxAboutAres01|Nyx About Ares 01|Nyx|Я проявляю интерес к тому, к кому считаю нужным, дитя. Спасибо тебе за послание.
NyxAboutAres02|Nyx About Ares 02|Zagreus|Слушай, Никта, *кхм*, владыка Арес хотел, чтобы ты знала, что он, с его же слов, *«нередко думает о тебе»*. Не придавай, наверно, этому значения?
NyxAboutAres02|Nyx About Ares 02|Nyx|Не буду, спасибо, дитя моё. Если бог войны и вправду настолько занят мыслями обо мне, то, возможно, он будет куда неспешнее отправлять к нашему порогу толпы смертных.
NyxAboutAres03|Nyx About Ares 03|Zagreus|Помоги мне, Никта. Или, скорее, себе. Владыка Арес хочет, чтобы я наладил между вами связь. Правда... не знаю, почему я воспринимаю это в штыки.
NyxAboutAres03|Nyx About Ares 03|Nyx|Не сомневайся в моей способности правильно выстраивать отношения, дитя моё. Мне радостно, что владыка Арес попросил тебя об этом. Боги Олимпа редко говорят подобное кому-либо, а особенно нам.
NyxAboutAres04|Nyx About Ares 04|Zagreus|Никта, это правда, что вы *«обмениваетесь посланиями» *с владыкой Аресом? Он недавно поведал мне об этом. Между ним и тобой всё хорошо?
NyxAboutAres04|Nyx About Ares 04|Nyx|Он проявляет искренний интерес к Подземному миру и не ставит себя выше меня, даже если формально это и так. Олимпийцам и хтоническим богам... нам предстоит многое узнать друг о друге.
NyxAboutAres04|Nyx About Ares 04|Zagreus|А что насчёт отца? Он ведь запретил вообще любые связи!
NyxAboutAres04|Nyx About Ares 04|Nyx|Но ты часто выстраивал эти связи, несмотря на попытки твоего отца их пресечь, дитя.
NyxAboutAres05|Nyx About Ares 05|Zagreus|Ты когда-нибудь планируешь встретиться с Аресом, Никта? Или уже встретилась?
NyxAboutAres05|Nyx About Ares 05|Nyx|О чём именно твоё беспокойство, дитя? Говори со мной прямо, иначе не отнимай моё время.
