Id|Description|Speaker|Text
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Ах, здравствуй, Загрей. Как я понимаю, ты освободил меня от вечного наказания. И вот я вернулся на службу к твоему отцу. Спасибо.
OrpheusFirstMeeting|Orpheus First Meeting|Zagreus|Орфей, ты вернулся! Слушай, не попадайся отцу под горячую руку, и всё будет в порядке. Кроме того... Сейчас он больше злится на меня.
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Сочувствую, друг мой. Но если ты пришёл, чтобы попросить меня спеть, боюсь, что буду твёрдо стоять на своём.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Orpheus|О, здравствуй, Загрей! А ты когда-нибудь слышал о других придворных музыкантах, которые потеряли желание петь? Твой отец попросил меня объяснить, что со мной происходит, и, честно говоря, это оказалось довольно сложной задачей.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Zagreus|Если тебя это утешит, приятель, то я уверен, что через такое проходит каждый неупокоенный придворный музыкант у трона бога смерти.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Orpheus|Знаешь, здесь ужасно тихо, когда ты в отъезде. И, если честно, это меня немного беспокоит, ведь формально я придворный музыкант.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Zagreus|Послушай, я уверен, что если ты решишь снова начать бренчать на своей лире — никто не будет возражать. Но береги себя, хорошо?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Здравствуй, Загрей! Ты выглядишь немного подавленным. Я подумал, может быть, ты хочешь послушать песню?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Zagreus|Как насчёт *«Плача»*? Ты очень часто её играл раньше!
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Ах, эту. Увы, я больше не хочу её исполнять. Но рад, что она тебе нравится.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|Орфей, прости мою прямолинейность, но я не могу не спросить. Почему ты не поёшь? Ты был легендой, приятель. Нашим придворным музыкантом!
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|Я потерял свою музу, друг мой. Вот и всё объяснение. Разве у тебя не бывало моментов в жизни, когда ты терял желание заниматься любимым делом?
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|Да, полагаю, бывали. Но недавно я вновь обрёл цель, поэтому мне нужно выбраться отсюда.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|Я очень рад за тебя, друг. Увы, мои поиски не привели к успеху, и я перестал искать. Так что я просто останусь здесь, хорошо?
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|Могу ли я помочь тебе найти твою музу, приятель?
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|Я боюсь, моя муза для меня давно потеряна, друг мой, но я искренне благодарен за предложение. Я полагаю, она должна быть где-то здесь, ведь однажды я путешествовал по этим землям и нашёл её. Но это было так давно.
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|Подожди, ты нашёл её? Что произошло?
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|Это случилось, когда я ещё был жив, понимаешь. Твой отец не хочет, чтобы кто-либо покидал этот мир, вот и я тоже застрял здесь! Не видел её с тех пор, а путешественник теперь из меня так себе.
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|Это... Жаль это слышать. Спасибо, что рассказал. Надеюсь, когда-нибудь вы сможете снова увидеться.
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|Я ценю твоё сочувствие, друг мой, но не беспокойся о ней и обо мне. Ведь мы уже мертвы! Мы в порядке.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Zagreus|Приятель, если ты не против, я бы хотел узнать побольше о твоей музе.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Orpheus|Моя муза... не было никогда никого прекрасней моей Эвридики!.. Она была настолько нежной и сильной духом, что сердце замирало только при мысли о ней. Она вдохновила меня на бесчисленное множество песен.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Zagreus|Это довольно много. Похоже, она просто находка. Сочувствую твоей утрате. Спасибо, что поделился воспоминаниями.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Orpheus|Спасибо, что выслушал, друг мой. Эвридика, она тоже всегда слушала меня...
