Id|Description|Speaker|Text
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Megaera|...Если ты ещё хоть раз поможешь ему, то получишь от меня тысячу плетей в следующий раз. И когда я вернусь, лучше бы твоему камешку быть повыше, чем сейчас, а не то добавлю сверху ещё тысячу.
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Sisyphus|Звучит неплохо, совсем неплохо, госпожа. Это в высшей степени справедливо, я полностью согласен! С нетерпением жду новой встречи!
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Megaera|...И не забывай о своём валуне, если твоя шкура тебе дорога, прохвост. Не думай, что я о тебе забыла.
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Sisyphus|Я ценю вашу бдительность, госпожа, и непременно закачу Валунок на холм в мгновение ока, хоть мне ещё ни разу это не удавалось!
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Megaera|...И когда это дело с принцем будет улажено, всё вернётся на свои прежние места. До тех пор я хочу, чтобы ты не прекращал закатывать свой валун на тот холм.
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Sisyphus|Вполне логично, госпожа, и будьте уверены, что Валунок... *кхм*, то есть вот этот валун, что я буду толкать его вперёд с прежним рвением! Всего хорошего!
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|...И, наконец, тебе запрещено оказывать дальнейшую помощь принцу Загрею. Мы поняли друг друга?
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Sisyphus|Разумеется, владыка Танатос, я бы и не подумал об этом! Кроме того, я очень занят, обдумывая новую стратегию подъёма валуна.
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|Довольно! Возвращайся к своей работе, а я вернусь к своей.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Sisyphus|Я понимаю вас, владыка Танатос, и сделаю, как вы велите. Больше никакой помощи принцу Загрею, и я абсолютно серьёзен.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Thanatos|Отлично. Нам обоим не сносить головы, если тебя поймают на очередном мошенничестве. Уж проследи, чтобы этого не произошло.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|...В следующий раз тебе следовало бы прислушаться к моим словам и испугаться последствий, которые влекут твои попытки провести меня. Уверен, ты и сам знаешь, что смерть может быть весьма неприятной.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Sisyphus|Ну, в том-то и дело, владыка Танатос. Простите мне мои слова, но при мысли о богах я никогда не приходил в ужас. Насколько я могу судить, ваши проблемы схожи со страданиями смертных. За исключением страха смерти.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|Да что ты можешь знать о проблемах богов? Теперь у тебя впереди целая вечность на размышления о том, что ты натворил. Возможно, я ещё загляну к тебе через пару-тройку миллиардов лет. Вдруг к тому времени даже ты чему-то научишься.
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|Приветствую, Принц Зи! Вам может показаться, что я забросил свой старый валун, но... Я как раз собирался встать. Сёстры-фурии нечасто дают мне передышку. Куда они подевались, кстати? И... что вы здесь делаете?
SisyphusFirstMeeting|Sisyphus First Meeting|Zagreus|О, знаешь, просто прогуливаюсь. Сделай милость, если увидишь сестёр-фурий, скажи им, что я ушёл в ту же сторону, откуда пришёл, хорошо?..
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|О, конечно, я передам им. Я всё прекрасно понял, Ваше Высочество. Я займусь своими делами, а вы ступайте дальше.
SisyphusMeeting02_A|Sisyphus Meeting 02 A|Sisyphus|Знаете, Принц Зи, не ожидал вас снова встретить, столько воды утекло. Что-то случилось в Доме? Давно никого не было видно.
SisyphusMeeting02_A|Sisyphus Meeting 02 A|Zagreus|Ох, дома всегда что-нибудь не так. Вот я и подумал, что не помешало бы почаще проверять, как идут дела в Тартаре.
SisyphusMeeting02_A|Sisyphus Meeting 02 A|Sisyphus|Я очень благодарен, мы оба — и я, и мой старенький валун. Я привык подолгу быть в одиночестве, но случайные посетители меня радуют!
SisyphusMeeting02|Sisyphus Meeting 02|Sisyphus|Могу ли я осмелиться спросить, Ваше Высочество? Мне любопытно... что снова привело вас сюда? То же, что и в прошлый раз?
SisyphusMeeting02|Sisyphus Meeting 02|Zagreus|Буду с тобой откровенен, Сизиф. Я ухожу из Дома. С меня довольно. Уверен, ты понимаешь, о чём я. Я отправляюсь на поверхность.
SisyphusMeeting02|Sisyphus Meeting 02|Sisyphus|*Ух*, это нешуточное дело, Принц. По правде говоря, если бы такое задумал кто-то другой, я назвал бы это безумием. Но вы как раз достаточно безумны, чтобы это провернуть! Что ж, надеюсь, у вас всё получится! Удачи!
SisyphusMeeting03|Sisyphus Meeting 03|Sisyphus|Эй, Принц, как продвигается побег, есть успехи?
SisyphusMeeting03|Sisyphus Meeting 03|Zagreus|Знаешь, неплохо, если учесть все обстоятельства. Умираю то тут, то там, немного сложновато, но что поделать.
