Id|Description|Speaker|Text
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Буду с тобой откровенен, дружище. Ты впечатлил кое-кого прилично повыше меня... И у него есть для тебя небольшое предложение, смекаешь?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|Дай угадаю... Я должен прорваться с боем через весь Подземный мир, сделав свой путь ещё труднее с помощью Пакта о наказании, а если я добьюсь успеха, то в награду мне дадут бесполезную безделушку?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Вовсе нет! Речь идёт об очень крутой штуке, дружище. Посмотри-ка вон туда, видишь? Такая вот безделушка. Да ладно тебе, ты что, испугался?
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Я как знал, что ты справишься, дружище. Нравится новый приз? Пакт-шмакт, да никаких проблем. Скажи, разве я не прав? Конечно, ничего сложного там особо не было, уверен, что я и сам бы справился.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Zagreus|Погоди, давай-ка кое-что проясним. Я в буквальном смысле прошёл через весь ад и вернулся обратно. И моя награда — это просто... твоё изваяние? Не пойми меня неправильно, это очень красиво, просто... Не знаю, чего я ожидал.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Послушай, малец, когда мы отправляли заявку, там что-то напутали, понимаешь? Я попросил сделать так, чтобы я выглядел достойно, и вот что в итоге получилось. Но другие вышли намного лучше, вот увидишь!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Скелли, позволь мне задать один вопрос. Ты действительно заказал три практически идентичных статуи самого себя, чтобы заставить меня воспользоваться Пактом о наказании?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|Я глубоко обижен, дружище! Ты ещё не видел третью, поэтому не можешь выдвигать такие абсурдные предположения! Может, я ошибался в тебе. Я-то думал, что ты действительно тот самый!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Ты так говоришь, только чтобы заставить меня извиниться и отправиться добывать последнюю из трех одинаковых статуй, не так ли?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|*Да как ты смеешь*?! Если бы я мог двигаться, я бы отправил эти статуи обратно сию минуту и вернул свои денежки! И если бы на них ещё действовала политика возврата.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|Слушай, мне жаль, что я напортачил с твоими статуями, малец. Правда. Когда я их увидел, я просто оторопел. А потом я подумал: да он наверняка не заметит, что с ними не так. И решил ничего не делать, понимаешь?
