Id|Description|Speaker|Text
InspectHouse01|Inspect House 01|Storyteller|*Дом Аида: В этом тёмном и роскошно обставленном жилище обитает не только сам царь Подземного мира, но и его своевольный отпрыск.*
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|*Раньше в этой части Дома Аида находилась небольшая комната отдыха, но с тех пор как многоголовый Цербер разнёс её в клочки от тоски по сбежавшему принцу, она закрыта.*
InspectShades01|Inspect Shades 01|Storyteller|*По всему Дому бродят души умерших в поисках того, кто бы выслушал их жалобы по поводу свалившихся на их долю горестей.*
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|*Комната отдыха в Доме Аида — унылое место, несмотря на то, что она была призвана подбодрить угрюмых обитателей Дома.*
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|*На памятной доске, украшающей одну из крепких стен комнаты отдыха, отмечены достижения самых верных слуг повелителя Аида.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Древние бочки с вином, запрятанные в закоулках Дома повелителя Аида... Немногим удалось попробовать содержащийся в них одурманивающий винтажный напиток, и ещё меньшему числу существ удавалось хотя бы приблизиться к ним.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Крепкие бочки с вином в Доме Аида уже почти опустели. Они отважно держались под общим натиском олимпийцев во время пира.*
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|*Величественное золочёное подобие горы Олимп, созданное с невероятным вниманием из настоящего горного камня, теперь вечно будет ярко сверкать даже в тусклом освещении Дома Аида — таков прощальный подарок от родственников повелителя.*
InspectMural01|Inspect Mural 01|Storyteller|*На внушительной мастерски изготовленной мозаике изображён царь Подземного мира, восседающий над своими бескрайними владениями, в то время как хтонические подданные глядят на него с благоговением.*
InspectThrone01|Inspect Throne 01|Storyteller|*Высокий трон мрачного повелителя Аида редко пустует; и подданные Дома продолжают заниматься своими делами, не решаясь задавать лишних вопросов.*
InspectHouseGarden01|Inspect House Garden 01|Storyteller|*Сад царицы Персефоны, в котором принц никогда в жизни не бывал, наконец раскинулся перед ним во всём своём величии.*
Flashback02|Flashback 02|Storyteller|*Он приближается к величественному трону своего царственного отца, отчасти ожидая, что его поймают, но и в предвкушении того, что он вот-вот узнает.*
