Id|Description|Speaker|Text
Text|Text|Zagreus|...Я... Мег, я глубоко польщён, и ты очень дорога мне, но... это не то, чего бы мне хотелось от наших отношений. Боюсь, я ввёл тебя в заблуждение. Прости меня. Прошу, скажи, что мы по-прежнему сможем быть друзьями?
Text|Text|Megaera|...Это то, чего ты действительно хочешь?.. Быть моим другом? *Ха. *Иногда тебя сложно понять, Заг. Но знаешь что, мы многое испробовали. Почему бы нам не поступить по-твоему? Значит, увидимся снаружи.
Text|Text|Megaera|...Ты уверен? Послушай, я... Всё в порядке. Увидимся снаружи, я думаю.
Text|Text|Zagreus|...Да. Иногда мне нужно притормозить. Я рад, что в последнее время наши отношения стали лучше. Но я слишком поторопился. Прости меня. Ты мой близкий друг. Я не хочу причинять тебе боль своими поступками. Или кому-либо другому.
Text|Text|Thanatos|Я... вот как. Понимаю. И ты мой близкий друг. Хотя в последнее время мы всеми силами пытались разрушить нашу дружбу, не так ли? Послушай, будь осторожен, Заг. Ещё увидимся.
Text|Text|Zagreus|...Увидимся, да.
Text|Text|Zagreus|Тан... *Ха-ха-ха*, я так рад! Просто... Ты знаешь, что Мегера тоже была здесь?..
Text|Text|Thanatos|*Тц. *Я знаю Мегеру куда дольше, чем ты. Как ты думаешь, кто уговорил меня на это?
Text|Text|Zagreus|Ха! Это была она, да? Это хорошо! Это хорошо.
Text|Text|Thanatos|Ты уверен? Что же... Я понимаю. Тогда я лучше вернусь к своим обязанностям.
Text|Text|Zagreus|...Увидимся, Тан.
Text|Text|Zagreus|...Эй, послушай. Ты мне дорога. Вы оба мне дороги. Правда. Я рад, что мы сблизились... а не продолжаем пытаться вцепиться друг другу в глотки, как прежде. Но мне кажется, что сейчас для меня это уже чересчур.
Text|Text|Megaera|...Ты уверен? Послушай... всё в полном порядке. На тебя и так многое свалилось. Значит, мы с тобой увидимся снаружи.
Text|Text|Thanatos|Встретимся позже, хорошо?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Танатос!.. Я бы пригласил тебя войти, но... ты уже здесь. Я правда рад тебя видеть.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|Скажи мне вот что, Загрей. Ты действительно имел в виду то, что сказал мне раньше... Что, возможно, нам не стоит... торопиться?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Я просто... Я не хотел давить на тебя, Тан. Знаю, это всё свалилось разом. И я хотел, чтобы ты знал... Для меня это не импульсивное решение. Я буду ждать тебя столько, сколько потребуется.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|*Кх-х! *Ты не осознаёшь, каким импульсам нужно следовать, а какие стоило бы обуздать. Ты говоришь, что будешь ждать. Что же, позволь задать тебе вопрос: чего ты ждёшь? Чего ты ждёшь, если я уже здесь. Ну же?..
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Тан!.. *Ха-ха-ха*, ох, ты прав!
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Знаешь, Тан... Скажи уже что-нибудь. Не люблю, когда ты слишком долго молчишь. О чём ты думаешь?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|О многом. И тебе придётся привыкнуть к этому, Заг. То есть, я хотел сказать... Не думай, что моё молчание — это что-то плохое, ладно? Пожалуй, мне пора идти, меня ждёт ещё много работы, и... ещё увидимся. Если ты не против.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Не против. Не против.
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Megaera|Загрей, в твоей комнате нет дверей. Почему ты вечно так удивлён?
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Zagreus|*Эм*, Мег, Тан, что... что вы... что происходит? Что бы ни случилось, я могу всё объяснить, или... Погодите-ка, вы оба улыбаетесь. Ох... дайте мне просто... пару минут.
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Megaera|Ты совершенно не отдаёшь нам с Танатосом должное, Заг. Мы знаем друг друга дольше, чем ты существуешь.
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Thanatos|Если подумать, я бы сказал, что мы в целом немало знаем. Я прав, Мегера?
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Megaera|Загрей, разве ты не видишь, что мы не на работе?
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Zagreus|*Ха*! Что же, тогда... Если окажется, что это всего лишь сон, я буду очень-очень зол. Хотя... мне кажется, есть один надёжный способ это выяснить.
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Zagreus|Ух, что же, эм, о чём это я...
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Megaera|Итак! Думаю, нам удалось прийти к пониманию. Мне пора идти. До следующей встречи, Заг. И ты, Танатос.
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Zagreus|Ух, что же, это было... это было... *кхм*.
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|...И, наконец, тебе запрещено оказывать дальнейшую помощь принцу Загрею. Мы поняли друг друга?
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Sisyphus|Разумеется, владыка Танатос, я бы и не подумал об этом! Кроме того, я очень занят, обдумывая новую стратегию подъёма валуна.
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|Довольно! Возвращайся к своей работе, а я вернусь к своей.
ThanatosWithSisyphus02|Duo - Thanatos and Sisyphus (2)|Sisyphus|Я понимаю вас, владыка Танатос, и сделаю, как вы велите. Больше никакой помощи принцу Загрею, и я абсолютно серьёзен.
ThanatosWithSisyphus02|Duo - Thanatos and Sisyphus (2)|Thanatos|Отлично. Нам обоим не сносить головы, если тебя поймают на очередном мошенничестве. Уж проследи, чтобы этого не произошло.
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Thanatos|...В следующий раз тебе следовало бы прислушаться к моим словам и испугаться последствий, которые влекут твои попытки провести меня. Уверен, ты и сам знаешь, что смерть может быть весьма неприятной.
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Sisyphus|Ну, в том-то и дело, владыка Танатос. Простите мне мои слова, но при мысли о богах я никогда не приходил в ужас. Насколько я могу судить, ваши проблемы схожи со страданиями смертных. За исключением страха смерти.
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Thanatos|Да что ты можешь знать о проблемах богов? Теперь у тебя впереди целая вечность на размышления о том, что ты натворил. Возможно, я ещё загляну к тебе через пару-тройку миллиардов лет. Вдруг к тому времени даже ты чему-то научишься.
ThanatosHomeFirstMeeting|Thanatos Home First Meeting|Thanatos|Иди, куда шёл, Заг. Что если повелитель Аид заметит, что мы тут болтаем?.. Я рисковал всем, помогая тебе, а ты всё равно проиграл.
ThanatosHomeFirstMeeting|Thanatos Home First Meeting|Zagreus|Оказалось, что в Подземном мире полно мертвецов, которые хотят со мной сразиться. Хотя, вероятно, благодаря тебе я прошёл дальше, чем мог бы.
ThanatosHomeFirstMeeting|Thanatos Home First Meeting|Thanatos|Всегда рад служить. Особенно, когда приходится рисковать своей должностью. Рисковать всем, ради чего я так долго работал.
ThanatosHomeFirstMeetingAlt|Thanatos Home First Meeting Alt|Thanatos|Что ты здесь делаешь, Загрей? Я рисковал всем, пытаясь помочь тебе там. Значит, всё это было зря?
ThanatosHomeFirstMeetingAlt|Thanatos Home First Meeting Alt|Zagreus|Отнюдь нет, Тан. Я добрался, куда мне было нужно, и если бы не ты, скорее всего, у меня бы ничего не вышло. Ну а насчёт того, почему я здесь... как сказал бы отец, у меня остались кое-какие важные дела в этом месте.
