Id|Description|Speaker|Text
ZeusWithAthena01|Zeus With Athena 01|Zeus|Гляди, Загрей, вот и отважная Афина — первая из всей моей семьи, кому удалось связаться с тобой благодаря своей расчётливости. Ты так предусмотрительна, дорогая, — явилась перед ним, даже не предупредив меня!
ZeusWithAthena01|Zeus With Athena 01|Athena|Мой царственный отец, если бы я только могла улаживать такие дела быстро и незаметно, чтобы обращаться к тебе за помощью только в самых сложных случаях! Впрочем, я уверена, что Загрей, так же как и я, благодарен тебе за помощь.
ZeusWithAres01|Zeus With Ares 01|Zeus|Племянник! По моему повелению мой сын Арес, мотивы которого ясны немногим, вручит тебе небольшой дар — символ своей силы. Из него ещё выйдет толк!
ZeusWithAres01|Zeus With Ares 01|Ares|Всё будет в точности так, как ты сказал, мой царственный отец. Мои желания полностью совпадают с твоими.
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|Юноша, я знаю, что тебе хочется получше узнать красавицу Афродиту, и кто знает... Ты можешь решить это, когда наконец доберёшься наверх. Я прав, владычица Афродита?
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|Ах, поверить не могу, владыка Зевс! Из {#DialogueItalicFormat}твоих {#PreviousFormat}уст это прозвучало грубо. Как ужасно, что тот, кого все считают идеалом, так со {#DialogueItalicFormat}мной {#PreviousFormat}обращается!
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|Итак, Загрей, как только ты прибудешь к нам, надо будет обязательно подыскать тебе подходящую пару, ведь ты такой замечательный юноша! Обычно выбор здесь крайне широк, ну, кроме некоторых исключений, конечно же... например, только погляди на мою дочь Артемиду. Она упорно отказывается выбирать себе пару!
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|Да, Загрей, несмотря на всех этих идеальных, мужественных и видных мужчин повсюду, которые постоянно пытаются смутить меня или жениться на мне, почему-то я предпочитаю коротать время в одиночестве или с моими подругами-нимфами в лесу!
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|Так-так, юноша, что бы тебе ни наговорили о славной Деметре, я хочу всё прояснить. Она как сестра мне, это верно. Хотя и её родителей-титанов, и моих постигла одна и та же участь.
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|Ну что же ты, приёмный братец Зевс! Удивительно слышать от тебя настолько откровенные речи! Кажется, будто ты говоришь правду лишь тогда, когда я могу тебя услышать.
