Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|我和我的姐妹谈过了，我们达成了一致协议，扎格列欧斯。如你所见。
FurySistersUnion01|Fury Sisters Union 01|Alecto|墨纪拉，提西，准备好了吗？
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}刽子手{#PreviousFormat}！
FurySistersUnion01|Fury Sisters Union 01|Zagreus|三个打一个。这样是不是不太符合体育精神？
FurySistersUnion01|Fury Sisters Union 01|Megaera|我们这边没人在乎什么体育精神。只要能杀死你就行了。厄里倪厄斯！{#DialogueItalicFormat}现在{#PreviousFormat}。
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Megaera|看到了吗，阿勒克图？他总是很守时，就像我说的那样。
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Alecto|墨纪拉，让他{#DialogueItalicFormat}流血{#PreviousFormat}！
Fury2SisterUnion01|Fury 2 Sister Union 01|Alecto|准备好了吗，墨纪拉？提西福涅？上吧。
Fury2SisterUnionSingleSis01|Fury 2 Sister Union Single Sis 01|Alecto|快看，姐妹们！垃圾之神来了耶。开工了。
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Alecto|呃，快{#DialogueItalicFormat}看看{#PreviousFormat}他那个样子吧！看他那副蠢样，他那个态度，{#DialogueItalicFormat}他的一切{#PreviousFormat}！你该不是打算对这个小杂碎神手下留情吧，妹妹？
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Megaera|得了吧，阿勒克图，咱们上一次征求对方同意是什么时候了？况且，只要我们杀了他，你还在乎些什么？
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Alecto|你说得真是一点都没错，妹妹！说得太对了。{#DialogueItalicFormat}咱们赶紧杀了他吧，别磨蹭了{#PreviousFormat}！
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Alecto|看看这个杂碎啊，他又想把血溅在咱们漂亮的地方上了。你准备和我可爱的妹妹打一架了吗，流红血的？
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Megaera|妹妹，如果你了解他，就会觉得他没那么讨人厌。不过就算如此，我们要做的事情还是会做。
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Alecto|你们两个真让我恶心，你该知道的吧，墨纪？你真该死的家伙，别磨蹭了，赶紧{#DialogueItalicFormat}杀了{#PreviousFormat}这家伙！
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|你肯定是签过契约了吧！对不对，流红血的？赶紧给我说实话。
Fury2PactReaction01|Fury 2 Pact Reaction 01|Zagreus|老实说，确实如此。不过我可不觉得这件事和你有什么关系，阿勒克图。
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|我喜欢{#DialogueItalicFormat}一个人{#PreviousFormat}工作！但我现在已经没办法一个人工作了，对不对？所以要我说，这件事就是和我有关。杀死{#DialogueItalicFormat}你{#PreviousFormat}这件事也一样是我的责任！
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Alecto|{#DialogueItalicFormat}哎哟{#PreviousFormat}！我还以为我永远都没得安宁了呢。你知道的吧，流红血的？都怪你签的那个该死的蠢契约，我不得不和我的妹妹们一起工作了，这件事我跟你没完！
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Zagreus|我发现不管发生什么事情，你都能想办法赖到我的头上，跟我没完，对不对？
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Alecto|哦，你说得太对了！你可真是个机灵鬼啊，太{#DialogueItalicFormat}机灵{#PreviousFormat}了！知道吗？这件事情我也跟你没完。
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|{#DialogueItalicFormat}啊，哈哈，嚯嚯嚯嚯嚯。{#PreviousFormat}终于。让我等到了！真的。
Fury2FirstAppearance|Fury 2 First Appearance|Zagreus|你一定是墨纪拉的好姐妹之一吧，见到你很不荣幸。是在等什么呢？
