Id|Description|Speaker|Text
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|扎格列欧斯，你一来这儿我们就会给你找一位合适的伴侣。我敢说，一定要是一位和你一样优秀的年轻人！正常来说，这里有很多可供你选择的，不过也有一些例外，比如……我可爱的女儿，阿尔忒弥斯。她根本不打算寻求一位伴侣！
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|是的，扎格列欧斯，尽管我到哪里都能遇到完美英俊的有为青年，他们与其说是想娶我，不如说是让我难堪，因为我宁愿独自待着或在森林里陪伴我的女仙朋友们！
ArtemisWithZeus01|Artemis With Zeus 01|Artemis|啧，嗯，扎格列欧斯……今天我要向你介绍一个人，他就是我那集威望、善良、慷慨于一身的父亲大人，你的叔叔宙斯！
ArtemisWithZeus01|Artemis With Zeus 01|Zeus|{#DialogueItalicFormat}嗯{#PreviousFormat}，谢谢你的介绍，女儿！现在没你的事啦，去跟你的仙女们玩儿去吧！让我来帮助我的侄儿吧。如果你想的话，现在就给予他你那微不足道的恩赐吧。
ArtemisWithPoseidon01|Artemis With Poseidon 01|Artemis|你已经见过我的父亲和我的叔叔了吧，扎格列欧斯？我说不好他们两个哪个更烦人，{#DialogueItalicFormat}呃{#PreviousFormat}，我是说……更了不起！虽然确切地说，你绝大部分时间到呆在海里，呆在奥林匹斯山下面，你也依然很了不起！不是吗，叔叔？
ArtemisWithPoseidon01|Artemis With Poseidon 01|Poseidon|哦，阿尔忒弥斯，你就不用向小哈迪斯吹嘘我的事迹了！还有！无论你是在海里，是在天上，还是在地底下，这都改不了你是个神的事实！你们两个还很年轻呢！继续努力，过不了多久，你们就可以变得和我一样了不起了！
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|嗨，{#DialogueItalicFormat}呃{#PreviousFormat}，扎格列欧斯！我一直想知道一件事，不要误会我的意思，好吗？哦，糟了。她来了。
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|阿尔忒弥斯，你几乎说不出话来了！是因为我们的冥界小小神，还是因为我？{#DialogueItalicFormat}嗯……嗯{#PreviousFormat}，我相信你会把一切弄清楚的！
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|话说，什么来着，我，{#DialogueItalicFormat}呃{#PreviousFormat}，算了。还是改天再和你说好了。
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Artemis|呃，扎格列欧斯，虽然我有猎手的本能，但看来我这次是躲不掉阿弗洛狄忒了。她坚持无论出于什么理由，我们都应该同时在你面前出现……
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Aphrodite|哦，别害羞嘛，阿尔忒弥斯！我肯定你很擅长躲避普通的野兽，但在我眼中，你就像白纸一样，一眼就看透了。不如你下次对自己诚实一点吧？
ArtemisWithAres01|Artemis With Ares 01|Artemis|扎格列欧斯，我希望大家能够听到你的声音，这样阿瑞斯大人就会明白，我跟他的神力为的是截然不同的目的！
ArtemisWithAres01|Artemis With Ares 01|Ares|也许我们的力量就是为了不同的目的才会存在的，亲爱的阿尔忒弥斯。不过，我们又哪有权利去怀疑这样结果呢？不如把我们的力量结合起来，把它赋予我们的亲人，看看会发生什么吧。
ArtemisWithAres02|Artemis With Ares 02|Artemis|扎格列欧斯，我希望在狩猎开始前能有点儿个人隐私，这是我一直以来的习惯。可你也看到了，阿瑞斯大人似乎总是在留意有没有狩猎用具出现的迹象！
ArtemisWithAres02|Artemis With Ares 02|Ares|我亲爱的阿尔忒弥斯啊，狩猎只不过是战争的前奏罢了，你说对不对？如果凡人连打猎都不会，那就更不用说自相残杀了。
ArtemisWithAres02|Artemis With Ares 02|Artemis|听着，阿瑞斯大人，如果我愿意借给你更优秀的射击能力的话，你可以别再来烦我了吗？
