Id|Description|Speaker|Text
DusaFirstMeeting|Dusa First Meeting|Dusa|噢！王子本尊，您，是在跟我说话吗…？我？！噢，哇，哇！！
DusaFirstMeeting|Dusa First Meeting|Zagreus|我，呃，我只想说，休息室很好看，跟新的一样。更好了！希望修补的时候能别出什么差错。
DusaFirstMeeting|Dusa First Meeting|Dusa|我，我，我*啊啊*，我还得打扫房梁呢，我……！
DusaMiscMeeting02|Dusa Misc Meeting 02|Dusa|我，啊，希望您在这里过得愉快！尽管您并不想继续在这里生活了，殿下！
DusaMiscMeeting02Extra|Dusa Misc Meeting 02 Extra|Zagreus|*呃*，杜莎？我有可能确实会像这样，时不时地回来一趟。不过，我的房间就不用费心收拾了，反正我也待不了太久。
DusaMiscMeeting02Extra|Dusa Misc Meeting 02 Extra|Dusa|哦，*哈哈哈*，没问题！不过我会时不时地照看您的房间，说不定您会改主意呢。呃，所以，再见了！
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|*呃*，王子？您父亲，我，我觉得他现在因为一些事情，特别生气，所以，您最好跟他保持距离噢。要不然……我就跟他说您不在好了。
DusaMiscMeeting03|Dusa Misc Meeting 03|Zagreus|没事，杜莎。我不怕他，你也不用怕他。你是他能找到的最得力的助手了。
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|我，啊，我就在这里干活，王子…！
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|噢，*呃*，您好，王子！那个，我能帮您拿点什么东西，还是整理点什么东西？还是……您要不要喝点饮料什么的？现在不要吗？
DusaMiscMeeting04|Dusa Misc Meeting 04|Zagreus|噢！现在不用啦，杜莎。不过如果我明天不出门的话也许可以…？
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|哇啊啊，我是说，没什么的，那个，就当我，没有问吧，对不起，再见！
DusaMiscMeeting05|Dusa Misc Meeting 05|Dusa|呃，啊啊，我，我想道个歉。因为，上次您跟我说话的时候我表现得不太好。但是我真的真的很喜欢这个工作，我保证以后绝对全力以赴，那个，能再给我一次机会吗？
