Id|Description|Speaker|Text
OrpheusWithEurydice01|Duo - Orpheus and Eurydice (1)|Orpheus|哇哦，扎格列欧斯，真高兴能在这里见到你。欧律狄刻和我一直在这里互诉衷肠，了解彼此的近况呢。
OrpheusWithEurydice01|Duo - Orpheus and Eurydice (1)|Eurydice|是啊。那么，如果你不介意的话，可以让我们单独谈谈吗，亲爱的？我和他还有些话要说。不过，我们聊完，你们就可以走了！
OrpheusWithEurydice02|Duo - Orpheus and Eurydice (2)|Zagreus|我从来没听过这种的歌曲。你们两个本身都非常出色，现在合唱的这首歌简直是棒极了。
OrpheusWithEurydice02|Duo - Orpheus and Eurydice (2)|Orpheus|非常感谢你的赞美，我的朋友。毫无疑问，是命运女神让我和欧律狄刻相遇，共展歌喉，坠入爱河。而后，却又狠心将我们拆散！
OrpheusWithEurydice02|Duo - Orpheus and Eurydice (2)|Eurydice|不要再提那件事了，听见没有，俄耳？未来的日子还长着呢，有无数的曲子等着我们。
OrpheusWithEurydice02|Duo - Orpheus and Eurydice (2)|Orpheus|哦，亲爱的，你说得没错。请见谅，扎格列欧斯，我们现在就要唱一曲了。
OrpheusWithEurydice03|Duo - Orpheus and Eurydice (3)|Zagreus|喂，你们两个，最近怎么样？是说出来还是唱出来？
OrpheusWithEurydice03|Duo - Orpheus and Eurydice (3)|Orpheus|噢，一切都挺好的，我的朋友。我从来没想过经过那种事情后，我还能再见到欧律狄刻……
OrpheusWithEurydice03|Duo - Orpheus and Eurydice (3)|Eurydice|俄耳还是一天到晚抱着以前的事说个不停，亲爱的。不过我们还是有进步的。感谢你让他来这里。他一定需要更多的鼓励。
OrpheusWithEurydiceMiscChat01|Duo - Orpheus and Eurydice Misc Chat (1)|Eurydice|嗨，谢谢您来看我们，我的陛下！给您！
OrpheusWithEurydiceMiscChat02|Duo - Orpheus and Eurydice Misc Chat (2)|Eurydice|我和俄耳在这里过得很好，谢谢你。保重，亲爱的！
OrpheusWithEurydiceMiscChat03|Duo - Orpheus and Eurydice Misc Chat (3)|Eurydice|希望你也可以找到自己的知音，亲爱的。
OrpheusWithEurydiceMiscChat04|Duo - Orpheus and Eurydice Misc Chat (4)|Eurydice|别急，陛下。我会让他按时回去工作的，听到了吗，俄耳？
OrpheusWithEurydiceMiscChat05|Duo - Orpheus and Eurydice Misc Chat (5)|Eurydice|我和俄耳，就是典型的老夫老妻啊，亲爱的。
OrpheusWithEurydiceMiscChat06|Duo - Orpheus and Eurydice Misc Chat (6)|Eurydice|找到欢乐就别回头噢，甜心。
OrpheusWithEurydiceMiscChat07|Duo - Orpheus and Eurydice Misc Chat (7)|Eurydice|这里不太烂，甜心。希望你那边也是。
OrpheusWithEurydiceMiscChat08|Duo - Orpheus and Eurydice Misc Chat (8)|Eurydice|我能说什么呢，亲爱的。我们就是喜欢一起练习我们最爱的曲子！
OrpheusWithEurydiceMiscChat09|Duo - Orpheus and Eurydice Misc Chat (9)|Eurydice|看，是哈迪斯的小子来探望我们！
OrpheusWithEurydiceMiscChat18|Duo - Orpheus and Eurydice Misc Chat (18)|Eurydice|猜猜我们最近做了什么事情，亲爱的？不介意我们告退吧？
OrpheusWithEurydiceMiscChat19|Duo - Orpheus and Eurydice Misc Chat (19)|Eurydice|我们刚刚吃完，还剩了不少呢。
OrpheusWithEurydiceMiscChat20|Duo - Orpheus and Eurydice Misc Chat (20)|Eurydice|比唱歌更令人开心的事情，就是和你心爱的人一起唱歌。
OrpheusWithEurydiceMiscChat21|Duo - Orpheus and Eurydice Misc Chat (21)|Eurydice|俄耳只是在练习他下一次要唱给哈迪斯大人的歌！
OrpheusWithEurydiceMiscChat22|Duo - Orpheus and Eurydice Misc Chat (22)|Eurydice|你知道吗，我们刚刚还在唱歌呢，亲爱的！
OrpheusWithEurydiceMiscChat23|Duo - Orpheus and Eurydice Misc Chat (23)|Eurydice|教俄耳做饭的计划不太成功，不过他会唱歌，这就够了！
