Id|Description|Speaker|Text
HermesSecondPickUp|Hermes Second Pick Up|Hermes|你怎么了，兄弟？我可以叫你兄弟吗？我有东西给你，可以帮你更快收拾这些亡灵！
HermesExpectingZeus01|Hermes Expecting Zeus 01|Hermes|对不起，老大，我父亲有些急事要处理。但我在这里！我把消息传递给你，你再传递出去。
HermesExpectingPoseidon01|Hermes Expecting Poseidon 01|Hermes|我来是想告诉你，波塞冬已经在路上了，老大。有时，他速度有点慢。但最后，你还是会遇到他的！
HermesExpectingAthena01|Hermes Expecting Athena 01|Hermes|你在等人吗，老大？或许是我某个同父异母的姐妹？好吧，真倒霉，我先到了。要不要来一个？
HermesExpectingAres01|Hermes Expecting Ares 01|Hermes|我一听说你在找阿瑞斯，老大，我就尽快赶到了这里！他永远追不上我。更不用说穿着那些护甲了。
HermesExpectingAphrodite01|Hermes Expecting Aphrodite 01|Hermes|阿弗洛狄忒说她会晚点到，兄弟，但我相信你明白这是怎么回事。再说，我还在这里！某种精神上的支持。
HermesExpectingArtemis01|Hermes Expecting Artemis 01|Hermes|我本想告诉你，我妹妹阿尔忒弥斯正在外面找你。你现在应该可以在任何一个密室中碰到她！
HermesExpectingDionysus01|Hermes Expecting Dionysus 01|Hermes|恐怕迪奥尼索司不会来找你，老大。尽管守时从来不是他的强项。
HermesExpectingDemeter01|Hermes Expecting Demeter 01|Hermes|感觉到空气中的凉爽了吧，这次可不是得墨忒尔弄出来的了，这儿，老大！啊，刚刚那应该只是我疾驰而过，带起来了一点宜人的微风吧！
HermesBeatCharonQuestComplete|Hermes Beat Charon Quest Complete|Hermes|你成功了，兄弟！我{#DialogueItalicFormat}指的是{#PreviousFormat}，你打败了我那个看起来根本不可战胜的划船同伴，他差不多是冥界神明里最能打的了！他之前恐怕是没想到你居然这么有能耐。老实说，我之前也没想到！
HermesAboutPlume02|Hermes About Plume 02|Hermes|嘿，看起来你很好地利用了你华丽的羽毛！继续保持，也许有一天你可以达到我一半的速度！
HermesAboutSkelly01|Hermes About Skelly 01|Hermes|我的眼神很不错，老大，我刚好注意到你身上带着一枚牙齿。我知道你是从死者的世界来的，可你不觉得这实在是有点太怪了吗？
HermesAboutPersephoneMeeting01|Hermes About Persephone Meeting 01|Hermes|我听说你终于逃出那个地方了，兄弟！我得好好恭喜你一下：恭喜啦！当然了，你的秘密我是不会说出去的！其他人以为你还在努力逃脱呢，不过，你看起来确实就像是在努力逃脱！
HermesPostEnding01|Hermes Post Ending 01|Hermes|我听说某个人回家了，在冥界陪着你了，兄弟！我觉得这是个好消息，只不过它还{#DialogueItalicFormat}没成为{#PreviousFormat}消息，至少现在还算不上！不过如果你打算把这个消息传开的话，给我个信号就行了！
HermesPostEnding01|Hermes Post Ending 01|Hermes|所以说，{#DialogueItalicFormat}你{#PreviousFormat}一次一次逃出这个地方，这样{#DialogueItalicFormat}你的父亲{#PreviousFormat}就能找到办法，让这个地方变得更加难以逃脱，是吗？这份工作听起来可真有意思，兄弟！
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Zagreus|这次要轮到我来送信了。以哈迪斯之名！奥林匹斯山，这是一份官方来信！赫尔墨斯大人在吗？马上赶到这里吧。
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Hermes|哎呀，看起来，这次像是你有信要给{#DialogueItalicFormat}我{#PreviousFormat}啊，有什么特别的吗，老大？看起来像是邀请函之类的东西。你确定这封信是要给我的吗？是觉得我没有正式参与进来吗？
HermesPostEpilogue01|Hermes Post Epilogue 01|Hermes|我得告诉你，兄弟，你那里举行的那场盛宴实在是太棒了！咱们得假装是第一次见面，这件事有点让人尴尬，不过嘿，我可是奥林匹斯神啊！这意味着我想装就能装得很像。总之是段美好的时光，兄弟！很高兴一切都顺利。
HermesExpectingMiscOlympian01|Hermes Expecting Misc Olympian 01|Hermes|你期待的那位奥林匹斯之神恐怕是来不了了，因为我先到了，老大！
HermesExpectingMiscOlympian02|Hermes Expecting Misc Olympian 02|Hermes|或许你想叫的人不是我，老大，可我就是忍不住想赶在他们之前帮你的忙！
HermesExpectingMiscOlympian03|Hermes Expecting Misc Olympian 03|Hermes|我尽可能快地赶过来了，兄弟。看来我比我的亲戚们要快一些啊！
HermesExpectingMiscOlympian04|Hermes Expecting Misc Olympian 04|Hermes|我敢肯定，你带来的那件信物很快就能派上用场了，老大！
HermesExpectingMiscOlympian05|Hermes Expecting Misc Olympian 05|Hermes|通常来说，我的亲戚们很快就会注意到有人戴着他们的信物！哈！
HermesExpectingMiscOlympian06|Hermes Expecting Misc Olympian 06|Hermes|或许你想找的神明并不是我，老大，但我马上就能带你去见你要找的那个！
HermesAboutZeus01|Hermes About Zeus 01|Hermes|你听说我父亲的消息了，是吗，兄弟？我的好哥哥。不过，不要花太多时间在一起！你知道这是怎么回事。好吧，再见！
HermesAboutZeus02|Hermes About Zeus 02|Hermes|说真的，兄弟，我老爸从来都没给过我他的闪电祝福！他真的很在乎你的处境，不是吗？
HermesAboutPoseidon01|Hermes About Poseidon 01|Hermes|我想告诉你一个消息，老大。波塞冬叔叔之所以能在我之前先找到你，是因为我故意放水了。他还以为是他自己宝刀未老呢！{#DialogueItalicFormat}哈！{#PreviousFormat}
HermesAboutAthena01|Hermes About Athena 01|Hermes|所以，雅典娜是对你有所提防的，很好，很好！她喜欢在每件事上都花很多心思，如果你问我，我会说她有点过于谨慎了！
HermesAboutAres01|Hermes About Ares 01|Hermes|你知道是谁让我这么忙吗，兄弟？那就是阿瑞斯。没有什么比一场人类之间的古老战争更能让信息满天飞！
HermesAboutArtemis01|Hermes About Artemis 01|Hermes|阿尔忒弥斯找到你了吗，老大？我不得不说，她很擅长找人。我更快了！但是她速度也很快，相当快。
HermesAboutAphrodite01|Hermes About Aphrodite 01|Hermes|阿弗洛狄忒真的很了不起，你不这么认为吗，兄弟？通常，我不会为任何人在这里停留。但说到她，我肯定会破例！
HermesAboutDionysus01|Hermes About Dionysus 01|Hermes|你有没有感觉生活节奏太快了，老大？你可能知道，迪奥尼索司并没有这种感觉。不过，这可真是一场盛宴！
HermesAboutDemeter01|Hermes About Demeter 01|Hermes|最近这里突然变得好冷啊，兄弟！应该是得墨忒尔搞的鬼吧！至于我嘛，我尽可能地打算离她远点，因为她觉得我对她派不上用场。不过我敢肯定，她对你还是很温和的！
HermesAboutHadesKeepsake01|Hermes About Hades Keepsake 01|Hermes|我说，你身上的不就是你父亲的祝福吗，兄弟？！我简直都不敢相信了。不过想想看，你把事情都做得这么好，他又怎么能{#DialogueItalicFormat}不{#PreviousFormat}支持你呢？
HermesBackstory01|Hermes Backstory 01|Hermes|哇，有什么好消息吗，兄弟？不过，怎么可能有好消息，别闲聊了。我这人脾气急，我总是打断兄弟姐妹们的话！
HermesBackstory02|Hermes Backstory 02|Hermes|老大，你可能会想：{#DialogueItalicFormat}既然赫尔墨斯跑得这么快，那他怎么这么久才出现呢？{#PreviousFormat}嗯，这件事的原因恐怕就不是你该知道的了。不过！这绝对不是因为我来晚了，我这辈子就没晚过。
HermesBackstory03|Hermes Backstory 03|Hermes|嘿，呃，兄弟，能帮我个忙吗？我的兄弟姐妹、家人、亲属们，他们不知道我和你有联系。没什么大不了的，继续保持联系，好吗？
HermesBackstory04|Hermes Backstory 04|Hermes|老大，我只是恰好路过这里而已！因为这里的凡人不断死去，所以现在必须有人把他们的灵魂带到你的领地。
HermesBackstory05|Hermes Backstory 05|Hermes|你知道{#DialogueItalicFormat}欲速则不达{#PreviousFormat}这句话吗，老大？这句话就是我说的，我是说真的！我把这句话说得像是至理名言一样，这样就能免得有人比我还快了。那些愚蠢的凡人真是什么话都信！
