Id|Description|Speaker|Text
HypnosFirstMeeting|Hypnos First Meeting|Hypnos|欢迎来到冥王圣殿，在这里…等下我认识*你*！这说明你在外面死过，对吧？不要伤心啦，每个人都会死的！
HypnosMiscMeeting01|Hypnos Misc Meeting 01|Hypnos|噢！你好。本想问问你情况如何，不过既然你又回来了，那我也没什么好问了！噢，来吧来吧进来吧！
HypnosMiscMeeting02|Hypnos Misc Meeting 02|Hypnos|啊，很好，你已经回来了嘛？我们有几个人打了个赌，赌你能在外头撑多久。不过我早就知道，你用不了多久就会回来！
HypnosMiscMeeting03|Hypnos Misc Meeting 03|Hypnos|嗨！*唔*，欢迎回来！又一次！快去前面吧，不过我认为你父亲正在为某些事情抓狂。
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Hypnos|哇哦，你应该已经死了有五次了吧？死亡对整个生态系统来说是一件好事呢，所以，谢谢你！你在帮助这冥界变得更完善呢！
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Zagreus|好！你只管死就好啦，事情会越来越好的。
HypnosMiscMeeting05|Hypnos Misc Meeting 05|Hypnos|观察冥池还是很有意思的，你知道吗？血和所有一切事物产生的波纹，有时候，会有人跟你一样，从里面浮出来！圣殿内的员工和贵宾，没其他的了。我帮他们入住，然后确定他们享受这个地方！
HypnosMiscMeeting06|Hypnos Misc Meeting 06|Hypnos|*噢*，你竟然一路通向了水仙花平原，太厉害了！尽管你还是跟以前一样死了又死，不过没那么快了，这也算是种进步吧。
HypnosRunProgress01_A|Hypnos Run Progress 01 A|Hypnos|嘿，哇哦，你做到了！根据我的记录显示，你已经死了，呃，*至少*五十次了！你死的次数已经比所有人都多了，我觉得！
HypnosRunProgress01|Hypnos Run Progress 01|Hypnos|哎，我要第一个对你说：*恭喜*！从我开始计数以来，你已经死了一百次啦！我可是一直有在数的噢。虽然我没有奖励给你，不过这旅程本身就是一种奖励，对吧？
HypnosRunProgress02|Hypnos Run Progress 02|Hypnos|我要说的事情恐怕会让你大吃一惊，你准备好了吗？三百……*次*！！没错！你已经死过三百次了！这就像是……比地震对村子造成的伤亡还多，都是你一个人努力赴死的结果！
HypnosRunProgress03|Hypnos Run Progress 03|Hypnos|哦，虽然我明白我的清单绝不会撒谎，可我还是不敢相信！你已经死了五*百*次了！*五百*次啊！！我简直想不出来比这更大的数字了！
HypnosMegDefeated01|Hypnos Meg Defeated 01|Hypnos|平时在这里看着冥池的时候，通常都很安静。但是很明显最近开始忙起来了！为什么呢，前阵子有人来了！当我发现那不是你的时候，你真得看看我的表情。
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|嘿，你死了这么多次！在外面的时候有没有碰巧遇到过我的兄弟啊？我已经好多年没有见过他了，真是搞不明白。
HypnosAboutThanatos01|Hypnos About Thanatos 01|Zagreus|是关于一场战争的。父亲派塔纳托斯去查看情况，不过你说得对，确实过了很长时间。我想从那以后应该发生了很多事情。
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|是啊！休息室重新开放，我看看，还有什么…不管怎样！你在外面看到他的话，告诉他，这里的一切都相安无事！
HypnosAboutThanatos02|Hypnos About Thanatos 02|Hypnos|嘿，看到了吗？我的兄弟，他回来了！他来了！老塔纳托斯，他就在这里的某个地方！他一直忙着工作，从来不跟我说话！感觉就像*你*跟你父亲一样！
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|*哇啊*！哦，哈，你吓了我一大跳。我刚刚只是在……呃……就是……
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|嘿，呃，一切都还好吧，修普诺斯？
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|哦，当然了！一切都*好极了*。只是……只是塔纳托斯，他和我说了些话，我……我现在不太确定自己做得到底好不好了，你明白的吧？
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|我敢肯定，他不是有意想让你难过的。等等，我在瞎说什么呢，他一直都对你很严苛，不是吗？
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|嘿，如果他不喜欢我了怎么办？他可还有别的兄弟呢！
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|哦，嘿！呃，这可能有点奇怪，不过我，*呃*……谢谢。我是说，你和塔纳托斯聊过我的事情，是吗？一开始我还以为他是在逗我玩呢，不过最近，他对我的态度确实好了不少！
HypnosAboutThanatos04|Hypnos About Thanatos 04|Zagreus|你说笑了，修普诺斯，这件事情和我一点关系都没有。你似乎工作得特别卖力，也因此得到了你想要的答复。我觉得塔纳托斯真的很吃这一套，又有谁不吃呢？
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|我也说不好！但我真的很感谢你费心来帮忙，我是说……我只不过是站在这里，给来这里的死人做做登记罢了！可你呢？你是我真正的朋友！
HypnosAboutThanatosRelationship01|Hypnos About Thanatos Relationship 01|Hypnos|嘿，你来啦！所以说，那是真的吗？！我是说，你和塔纳托斯之间的事情？因为他告诉我的时候，我只说了句：*哇啊啊啊啊*。后来呢？一切都还说得通吗？
HypnosAboutThanatosRelationship01|Hypnos About Thanatos Relationship 01|Zagreus|虽然不知道他是怎么说的，但我敢说都是真的。没错，修普诺斯。
HypnosAboutSleeperSeat01|Hypnos About Sleeper Seat 01|Hypnos|嗨，看见了吗？谁给我在这摆了一把新的、上好的睡椅！但是，我不会上班时躺下嘀！我能稳稳地站着睡！
HypnosPostFlashback01|Hypnos Post Flashback 01|Zagreus|嗨，修普诺斯？要怎样才能让我进去大厅那头被锁上的门？
HypnosPostFlashback01|Hypnos Post Flashback 01|Hypnos|噢，*哈哈哈*，问得好。你也知道，我不能再让你进入你老爸的私人房间了，因为你辜负了他对你的信任，还想着离家出走！很抱歉，这都是大人的命令！
HypnosPostEnding01|Hypnos Post Ending 01|Hypnos|嘿，你看到了吗？！冥后回来了！不过，不知道她到底喜不喜欢这个地方！
HypnosPostEnding01|Hypnos Post Ending 01|Zagreus|嘿，注意点，修普诺斯，你说的那个人可是我的母亲！
HypnosPostEnding01|Hypnos Post Ending 01|Hypnos|什么，真的吗？哈！看来，*你的*母亲也从来没陪过你！咱们这一点上还是挺像的！
HypnosPostEnding02|Hypnos Post Ending 02|Hypnos|等等，等等，等等，所以说你其实是在这里*工作*的吗？我还以为他们把你开除了，所以你一气之下才跑了呢！
HypnosPostEnding02|Hypnos Post Ending 02|Zagreus|修普诺斯……你觉得我死了那么多次是因为我很沮丧，是因为我失去了一份令人讨厌的工作，是吗？
HypnosPostEpilogue01|Hypnos Post Epilogue 01|Hypnos|我听说你们在这里举办的盛宴了，那可真是绝了！所有的神都聚在一起，尽情享受美酒美食，不必互相厮杀！那肯定是相当奇妙的一幕吧。
HypnosPostEpilogue01|Hypnos Post Epilogue 01|Zagreus|你当时也应该去才对，修普诺斯！虽然我并没注意到你缺席了，不过发生什么事情了？有更重要的事情要做吗？
HypnosPostEpilogue01|Hypnos Post Epilogue 01|Hypnos|我一直在呼呼大睡！
HypnosAutograph01|Hypnos Autograph 01|Zagreus|嗨，修普诺斯？感谢你一直以来给我的好建议。是从你的偶像，一位高大威猛挥舞着双头斧的牛头怪物那里拿到的。
