Id|Description|Speaker|Text
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|噢，你好，扎格列欧斯。你知道是你把我从永世的惩罚当中解救出来。所以我回来为你的父亲服务。谢谢你。
OrpheusFirstMeeting|Orpheus First Meeting|Zagreus|俄耳甫斯，你回来了！听着，只要别惹父亲发火，你就不会有事的。而且……现在更让他生气的人是我。
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|真是替你难过，我的朋友。但是就算是你来要求我歌唱一首，我的答案还是不会变的。
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Orpheus|噢你好啊，扎格列欧斯。我想问问你，你有没有见过哪个宫廷乐师一点也不想奏乐歌唱的？你父亲让我解释一下情况，但是真的很难开口。
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Zagreus|如果能安慰你的话，伙计，我敢肯定，每一个侍奉死亡之神的活着的宫廷乐师都会经历你现在的处境。
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Orpheus|这里太安静了，你知道吗，就在你离开的时候。这让我有点难为情，说实话，我这样的乐师只能是个摆设。
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Zagreus|听我说，如果你打算再次奏响里拉琴的话，我敢肯定这里没人会介意的。不过你要多保重，好吗？
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|噢，你好，扎格列欧斯。你看上去有点沮丧啊，我在想，你现在想不想听我唱首歌？
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Zagreus|不如就{#DialogueItalicFormat}《哀婉之歌》{#PreviousFormat}吧？你以前总喜欢唱这首！
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|哦，你喜欢那首，是吗？可惜我已经无心再唱那首了，不过你喜欢，我还是很开心。
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|俄耳甫斯，可能我有点太直白了，但我要问问你。你为什么不想唱歌？你可是个传奇人物啊，伙计！你是我们的宫廷乐师！
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|为什么呢，因为我失去了自己的缪斯女神，我的朋友。这很难说清楚。你有没有经历过一些事情，然后失去了逐梦的热情？
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|我，我应该有吧。但是最近我又找回来了，这就是为什么我要离开这里。
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|我真心为你感到高兴，朋友。唉，但是我就没你这么好运了，所以我也不会再去寻找了，我就在这里，好吗？
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|有什么我能帮忙的吗，帮你找到自己的缪斯？
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|恐怕我的缪斯早就离我而去了，我的朋友，但还是谢谢你的好意。我想她应该还在这个地方，因为有一次我去寻找她的时候，我找到了。但那是很久以前了。
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|等等，你找到她了？然后呢？
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|嗯，这是我还活着的时候的事了，你明白吗。你父亲，他不准任何人离开这个地方，所以我也困在这里了！从此我再也没见过她，我也就不怎么旅行了。
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|那可真是……听到这些，我很难过。谢谢你能向我倾诉这些。希望你能早日与她再相见。
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|感谢你的好意，我的朋友，但是请不要为我或者她担心。我是说，我们都是死人了！不会有事的。
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Zagreus|朋友，如果你不介意的话，我想听你说说更多你的缪斯的事。
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Orpheus|我的缪斯女神……我从来没见过像我的欧律狄刻那样了不起的人……！想想看吧，她是如此温柔，却又如此坚强，甚至会让你的心感到疼痛。是她启发了我，让我创作出了无数歌曲。
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Zagreus|那还蛮多的。听上去她确实是一个不错的人。很抱歉你失去了她。感谢你告诉我你与她的事。
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Orpheus|感谢你的倾听，我的朋友。欧律狄克，她总是在听我歌唱…
